class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Place,subkind,subkind,False,False,True,2,2,15
OperacionalDelay,subkind,subkind,False,True,False,1,0,3
ConditionTermination,subkind,subkind,False,True,False,1,0,3
FinishedBy,subkind,subkind,False,True,False,1,0,12
PhysicalAgent,subkind,subkind,False,False,True,1,1,2
SocialObject,subkind,subkind,False,False,True,1,2,15
MetBy,subkind,subkind,False,True,False,1,0,12
Output,subkind,subkind,False,True,False,3,0,15
ResourceUsage,subkind,subkind,False,True,False,1,0,4
SocialAgent,kind,kind,True,False,False,0,2,2
Agent,kind,kind,True,False,False,0,2,2
ExecutionState,kind,kind,True,False,False,0,3,3
PhysicalObject,kind,kind,True,False,False,0,15,15
Objective_Situation,subkind,subkind,False,True,False,1,0,1
AtomicAgentAction,subkind,subkind,False,True,False,1,0,4
Before,subkind,subkind,False,True,False,1,0,12
Interaction,subkind,subkind,False,True,False,2,0,4
Organization,subkind,subkind,False,False,True,1,1,2
Worker,subkind,subkind,False,True,False,2,0,2
ObjectAgentInteraction,subkind,subkind,False,True,False,2,0,4
ConditionCreation,subkind,subkind,False,True,False,1,0,3
ResourceCreation,subkind,subkind,False,True,False,1,0,4
NormativeDescription,subkind,subkind,False,False,True,2,1,15
Input,subkind,subkind,False,True,False,3,0,15
TimeIntervalRelation,kind,kind,True,False,False,0,12,12
ExceptionEvent,subkind,subkind,False,True,False,1,0,4
Field,subkind,subkind,False,True,False,3,0,15
OrdinaryEvent,subkind,subkind,False,False,True,1,2,4
Finishes,subkind,subkind,False,True,False,1,0,12
Overlapped,subkind,subkind,False,True,False,1,0,12
ServiceOrder,subkind,subkind,False,True,False,3,0,15
PlannedOrdinaryEvent,subkind,subkind,False,True,False,2,0,4
Meets,subkind,subkind,False,True,False,1,0,12
Overlaps,subkind,subkind,False,True,False,1,0,12
ResourceParticipation,kind,kind,True,False,False,0,4,4
Powered,subkind,subkind,False,True,False,3,0,15
TriggerEvent,kind,kind,True,False,False,0,4,4
StartedBy,subkind,subkind,False,True,False,1,0,12
ComplexAgentAction,subkind,subkind,False,False,True,1,2,4
ResourceTermination,subkind,subkind,False,True,False,1,0,4
UnplannedOrdinaryEvent,subkind,subkind,False,True,False,2,0,4
AgentAction,kind,kind,True,False,False,0,4,4
Building,subkind,subkind,False,True,False,3,0,15
ConditionChange,subkind,subkind,False,True,False,1,0,3
ConditionAction,kind,kind,True,False,False,0,3,3
During,subkind,subkind,False,True,False,1,0,12
After,subkind,subkind,False,True,False,1,0,12
ResourceChange,subkind,subkind,False,True,False,1,0,4
Cancelation,subkind,subkind,False,True,False,1,0,3
Interruption,subkind,subkind,False,True,False,1,0,3
Product,subkind,subkind,False,False,True,2,2,15
Vehicle,subkind,subkind,False,True,False,3,0,15
Situation,kind,kind,True,False,False,0,1,1
Contains,subkind,subkind,False,True,False,1,0,12
Machinery,subkind,subkind,False,False,True,2,4,15
Starts,subkind,subkind,False,True,False,1,0,12
Tool,subkind,subkind,False,True,False,3,0,15
Company,subkind,subkind,False,True,False,2,0,2
Resource,subkind,subkind,False,False,True,1,11,15
Implement,subkind,subkind,False,True,False,3,0,15
