class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
After,subkind,subkind,False,True,False,1,0
Before,subkind,subkind,False,True,False,1,0
Contains,subkind,subkind,False,True,False,1,0
Contemporal,subkind,subkind,False,True,False,1,0
During,subkind,subkind,False,True,False,1,0
FinishedBy,subkind,subkind,False,True,False,1,0
Finishes,subkind,subkind,False,True,False,1,0
Meets,subkind,subkind,False,True,False,1,0
MetBy,subkind,subkind,False,True,False,1,0
Overlapped,subkind,subkind,False,True,False,1,0
Overlaps,subkind,subkind,False,True,False,1,0
StartedBy,subkind,subkind,False,True,False,1,0
Starts,subkind,subkind,False,True,False,1,0
TimeIntervalRelation,kind,kind,True,False,False,0,13
