execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.00013619998935610056,0.009268400026485324,0.010470699984580278,1.7200014553964138e-05,0.044472299865446985,0.002969800145365298,1.8799793906509876e-05,1.7600017599761486e-05,1.7100130207836628e-05,2.4400069378316402e-05,1.0899966582655907e-05,1.3699987903237343e-05,0.007309800013899803,0.0015257000923156738,1.2599863111972809e-05,0.07628519996069372
2,8.019991219043732e-05,0.009163899929262698,0.010746800107881427,1.789990346878767e-05,0.0444499000441283,0.003002700163051486,1.9300030544400215e-05,1.8299906514585018e-05,1.7400016076862812e-05,2.5000073947012424e-05,1.0999967344105244e-05,9.100069291889668e-06,0.007339200004935265,0.0015133999986574054,1.27000967040658e-05,0.07642680022399873
3,8.17000400274992e-05,0.009296000003814697,0.010612300015054643,2.380006480962038e-05,0.04381809977348894,0.0030673998408019543,1.919991336762905e-05,1.8600141629576683e-05,1.750001683831215e-05,2.6099965907633305e-05,1.1399970389902592e-05,8.70006624609232e-06,0.007476399885490537,0.0015057000564411283,1.300009898841381e-05,0.07599589985329658
4,8.060003165155649e-05,0.00995049998164177,0.010768799809738994,1.7600017599761486e-05,0.04380360012874007,0.0029455999610945582,1.9200029782950878e-05,1.810002140700817e-05,1.7000013031065464e-05,2.4700071662664413e-05,1.0899966582655907e-05,8.70006624609232e-06,0.0071937000611796975,0.0014715999132022262,1.2699863873422146e-05,0.0763432999374345
5,8.390005677938461e-05,0.009270900045521557,0.010657899896614254,2.050003968179226e-05,0.04398569988552481,0.0033985001500695944,1.9799917936325073e-05,4.4599990360438824e-05,1.7799902707338333e-05,4.6699889935553074e-05,1.379998866468668e-05,8.800067007541656e-06,0.007308500004000962,0.0014733999269083142,1.27000967040658e-05,0.07636349985841662
6,8.119991980493069e-05,0.009077199851162732,0.010923500172793865,1.8200022168457508e-05,0.04406630003359169,0.002932000090368092,1.9199680536985397e-05,1.8600141629576683e-05,1.7600134015083313e-05,2.4699722416698933e-05,1.0899966582655907e-05,9.00006853044033e-06,0.007318599964492023,0.001474799937568605,1.2699980288743973e-05,0.07600449968595058
7,8.360017091035843e-05,0.009518099948763847,0.010808099992573261,1.7800135537981987e-05,0.04401689989026636,0.0030254999874159694,1.9000028260052204e-05,1.9099912606179714e-05,1.7700018361210823e-05,2.52000754699111e-05,1.089985016733408e-05,8.70006624609232e-06,0.007397499983198941,0.001522500067949295,1.2699980288743973e-05,0.07650330010801554
8,8.140003774315119e-05,0.009374700020998716,0.010412400239147246,1.7699901945888996e-05,0.0439205999718979,0.0029993999050930142,1.919991336762905e-05,1.850002445280552e-05,1.740013249218464e-05,2.459995448589325e-05,1.109996810555458e-05,9.299954399466515e-06,0.007303499965928495,0.0014736999291926622,1.2400094419717789e-05,0.07569590001367033
9,8.510018233209848e-05,0.009230899857357144,0.011070099892094731,1.8200138583779335e-05,0.04423590004444122,0.003225299995392561,2.0000035874545574e-05,1.919991336762905e-05,1.9300030544400215e-05,2.619996666908264e-05,1.089985016733408e-05,1.00000761449337e-05,0.007509500021114945,0.001590800005942583,1.309998333454132e-05,0.07708449999336153
10,8.059979882091284e-05,0.009260899969376624,0.010429800138808787,1.7600017599761486e-05,0.044142099912278354,0.0029860998038202524,3.290013410151005e-05,1.850002445280552e-05,1.7500133253633976e-05,2.429983578622341e-05,1.0500079952180386e-05,8.70006624609232e-06,0.0072027998976409435,0.0014703000197187066,1.2400094419717789e-05,0.0757149999262765
11,9.819993283599615e-05,0.009211499942466617,0.010702200117520988,1.810002140700817e-05,0.04379740008153021,0.003084499971009791,1.950003206729889e-05,1.8599792383611202e-05,1.7300015315413475e-05,2.510007470846176e-05,1.0900082997977734e-05,1.1399970389902592e-05,0.007421999936923385,0.0015479999128729105,1.2600095942616463e-05,0.07599729998037219
12,8.320016786456108e-05,0.009167700074613094,0.010511599946767092,1.7900136299431324e-05,0.04588229989167303,0.002937600016593933,1.9099912606179714e-05,1.880002673715353e-05,1.71000137925148e-05,2.5000073947012424e-05,1.109996810555458e-05,8.899951353669167e-06,0.007328300038352609,0.0014836000045761466,1.2900098226964474e-05,0.07752510032150894
13,8.020014502108097e-05,0.009104699827730656,0.010348000098019838,1.810002140700817e-05,0.04360270011238754,0.003126900061033666,3.799994010478258e-05,1.919991336762905e-05,1.7800135537981987e-05,3.9899954572319984e-05,1.1100084520876408e-05,9.299954399466515e-06,0.007283300161361694,0.0015051999362185597,1.2600095942616463e-05,0.07521700044162571
14,7.619999814778566e-05,0.009301000041887164,0.010551700019277632,9.399955160915852e-06,0.04647980001755059,6.829993799328804e-05,9.09995287656784e-06,9.200070053339005e-06,8.900067768990993e-06,1.219986006617546e-05,5.599926225841045e-06,4.500034265220165e-06,0.0016234000213444233,0.0013453999999910593,6.400048732757568e-06,0.06951109995134175
