execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,9.399838745594025e-06,7.360009476542473e-05,9.300070814788342e-06,8.499831892549992e-06,7.040007039904594e-05,0.0021389999892562628,9.400071576237679e-06,1.600012183189392e-06,8.900067768990993e-06,1.2599863111972809e-05,5.599926225841045e-06,7.200054824352264e-06,0.00017559994012117386,0.0001553000183776021,6.800051778554916e-06,0.002693199901841581
2,9.600073099136353e-06,7.970002479851246e-05,1.0100076906383038e-05,8.799834176898003e-06,7.090007420629263e-05,0.0022296999813988805,9.500072337687016e-06,1.600012183189392e-06,9.299954399466515e-06,1.3800105080008507e-05,5.699926987290382e-06,4.400033503770828e-06,0.00018149998504668474,0.00014979997649788857,8.699949830770493e-06,0.0027931000804528594
3,9.699841029942036e-06,7.160007953643799e-05,9.499955922365189e-06,8.699949830770493e-06,6.820005364716053e-05,0.002092099981382489,9.500072337687016e-06,1.500011421740055e-06,9.199953638017178e-06,1.309998333454132e-05,5.900044925510883e-06,4.799920134246349e-06,0.00017640006262809038,0.00011639995500445366,6.09993003308773e-06,0.00260269979480654
4,9.19983722269535e-06,7.479998748749495e-05,9.399955160915852e-06,8.500064723193645e-06,6.820005364716053e-05,0.00212009996175766,9.399955160915852e-06,1.500011421740055e-06,9.200070053339005e-06,1.2899981811642647e-05,5.599926225841045e-06,4.300032742321491e-06,0.00018019997514784336,0.00011300004553049803,6.100046448409557e-06,0.0026323999045416713
5,1.009996049106121e-05,8.359993807971478e-05,1.0200077667832375e-05,8.999835699796677e-06,7.490010466426611e-05,0.0024546999484300613,1.0499963536858559e-05,1.8998980522155762e-06,9.800074622035027e-06,1.3999990187585354e-05,6.200047209858894e-06,4.900037311017513e-06,0.00019829999655485153,0.00012750003952533007,6.800051778554916e-06,0.00302239996381104
6,1.3999990187585354e-05,0.00016740011051297188,1.7699901945888996e-05,1.6500125639140606e-05,0.0001330000814050436,0.0028988999547436833,1.2999982573091984e-05,1.9000144675374031e-06,1.279998105019331e-05,1.7999904230237007e-05,6.500049494206905e-06,5.00003807246685e-06,0.0002033999189734459,0.0001444000517949462,6.7999353632330894e-06,0.0036593000404536724
7,9.599956683814526e-06,7.229996845126152e-05,1.1999974958598614e-05,8.500064723193645e-06,6.880005821585655e-05,0.002282699919305742,9.499955922365189e-06,1.4998950064182281e-06,8.899951353669167e-06,1.2899981811642647e-05,5.600042641162872e-06,4.399917088449001e-06,0.00018209998961538076,0.0001561999088153243,6.3999323174357414e-06,0.0028413995169103146
8,1.2300093658268452e-05,7.129996083676815e-05,9.399955160915852e-06,8.500064723193645e-06,7.100007496774197e-05,0.0023904000408947468,9.699841029942036e-06,1.800013706088066e-06,9.500072337687016e-06,1.379998866468668e-05,2.9499991796910763e-05,4.800036549568176e-06,0.00018309999722987413,0.00011550006456673145,6.299931555986404e-06,0.0029369001276791096
9,1.00000761449337e-05,8.120003622025251e-05,9.89984255284071e-06,8.900067768990993e-06,7.299997378140688e-05,0.0022677999222651124,9.500072337687016e-06,1.600012183189392e-06,9.09995287656784e-06,1.4499993994832039e-05,5.699926987290382e-06,4.400033503770828e-06,0.00018400000408291817,0.0001159000676125288,9.09995287656784e-06,0.0028045999351888895
10,9.400071576237679e-06,7.230008486658335e-05,9.100069291889668e-06,8.199946023523808e-06,7.360009476542473e-05,0.0021328999428078532,9.599956683814526e-06,1.600012183189392e-06,9.00006853044033e-06,1.2899981811642647e-05,5.700043402612209e-06,4.600035026669502e-06,0.00017950008623301983,0.00011729996185749769,6.00004568696022e-06,0.002651700400747359
11,9.699841029942036e-06,7.1900081820786e-05,9.200070053339005e-06,8.70006624609232e-06,7.139996159821749e-05,0.002308499999344349,9.399955160915852e-06,1.600012183189392e-06,1.0900082997977734e-05,1.3400102034211159e-05,5.699926987290382e-06,4.500034265220165e-06,0.0001852000132203102,0.00011469994205981493,6.400048732757568e-06,0.002831200137734413
12,9.499955922365189e-06,7.210008334368467e-05,9.7999582067132e-06,8.599832653999329e-06,6.880005821585655e-05,0.0023932999465614557,9.900075383484364e-06,1.700012944638729e-06,9.00006853044033e-06,1.289986539632082e-05,5.499925464391708e-06,4.600035026669502e-06,0.00018179998733103275,0.00011340004857629538,6.3999323174357414e-06,0.002907299785874784
13,9.400071576237679e-06,7.46001023799181e-05,9.199953638017178e-06,8.400063961744308e-06,7.239996921271086e-05,0.0021380999824032187,1.2500095181167126e-05,1.600012183189392e-06,9.100069291889668e-06,1.2799864634871483e-05,5.699926987290382e-06,4.200031980872154e-06,0.00017639994621276855,0.00011580006685107946,6.299931555986404e-06,0.0026565000880509615
14,7.350009400397539e-05,0.010019199922680855,0.01099939993582666,9.600073099136353e-06,0.05306309997104108,7.109995931386948e-05,9.199953638017178e-06,1.800013706088066e-06,9.300070814788342e-06,1.2999982573091984e-05,5.600042641162872e-06,4.600035026669502e-06,0.0017217999557033181,0.0014164999593049288,6.8999361246824265e-06,0.07742459990549833
