execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0699965059757233e-05,1.1100084520876408e-05,1.0699965059757233e-05,6.400048732757568e-06,0.00030940002761781216,7.6000578701496124e-06,4.999921657145023e-06,9.70007386058569e-06,1.9000144675374031e-06,0.006870599929243326,8.010002784430981e-05,8.020002860575914e-05,0.00022839999292045832,1.71000137925148e-05,1.079996582120657e-05,0.007659700117073953
2,1.070008147507906e-05,1.0600080713629723e-05,1.0399962775409222e-05,6.500049494206905e-06,0.0003098000306636095,7.2999391704797745e-06,5.00003807246685e-06,9.500072337687016e-06,1.800013706088066e-06,0.006796699948608875,7.98000255599618e-05,7.579999510198832e-05,0.000224200077354908,1.6400008462369442e-05,1.0299962013959885e-05,0.007574800285510719
3,1.1399853974580765e-05,1.1299969628453255e-05,1.0699848644435406e-05,6.700051017105579e-06,0.0003298999508842826,7.70005863159895e-06,5.100038833916187e-06,9.800074622035027e-06,1.9000144675374031e-06,0.007213899865746498,8.530006743967533e-05,7.970014121383429e-05,0.00024750002194195986,1.7600017599761486e-05,1.109996810555458e-05,0.008049599942751229
4,1.1299969628453255e-05,1.1199968867003918e-05,1.0399962775409222e-05,6.500049494206905e-06,0.0003261000383645296,7.79994297772646e-06,5.599926225841045e-06,9.999843314290047e-06,1.800013706088066e-06,0.007076699985191226,8.359993807971478e-05,8.0699915997684e-05,0.00023690005764365196,1.7300131730735302e-05,1.1100084520876408e-05,0.007896999828517437
5,1.9399914890527725e-05,1.559988595545292e-05,1.8600025214254856e-05,1.1199968867003918e-05,0.002254400053061545,1.650000922381878e-05,9.200070053339005e-06,1.7999904230237007e-05,2.300017513334751e-06,0.007098000030964613,0.0047114999033510685,0.025392599985934794,0.001289700041525066,2.8399983420968056e-05,2.010003663599491e-05,0.04090549983084202
6,1.8699909560382366e-05,1.7700018361210823e-05,1.7700018361210823e-05,1.0600080713629723e-05,0.0008397999918088317,1.1500087566673756e-05,8.899951353669167e-06,1.7499900422990322e-05,2.400018274784088e-06,0.007192699937149882,0.001459800056181848,0.007025400060229003,0.0005871000466868281,2.629996743053198e-05,1.9300030544400215e-05,0.017255400074645877
7,1.4100107364356518e-05,1.1399853974580765e-05,1.7600017599761486e-05,8.00006091594696e-06,0.0003459000727161765,8.00006091594696e-06,5.400041118264198e-06,9.900075383484364e-06,1.800013706088066e-06,0.007286899955943227,8.349993731826544e-05,8.039991371333599e-05,0.00024170009419322014,2.6499968953430653e-05,1.070008147507906e-05,0.008151800255291164
8,1.0500079952180386e-05,8.559995330870152e-05,1.0699848644435406e-05,6.900052540004253e-06,0.003409800003282726,1.2899981811642647e-05,5.300040356814861e-06,1.0599964298307896e-05,2.300017513334751e-06,8.489994797855616e-05,0.019620299921371043,0.07309139997232705,0.003070399980060756,1.6500125639140606e-05,0.0019684999715536833,0.10140659986063838
9,1.1199968867003918e-05,1.0800082236528397e-05,1.0300078429281712e-05,6.9999368861317635e-06,0.000851999968290329,8.200062438845634e-06,5.299923941493034e-06,1.0299962013959885e-05,2.200016751885414e-06,0.004581400076858699,0.0018542999168857932,0.008295199950225651,0.0006558999884873629,1.7000013031065464e-05,1.1899974197149277e-05,0.01633299991954118
10,1.1899974197149277e-05,1.1400086805224419e-05,1.0499963536858559e-05,7.3999399319291115e-06,0.00032750004902482033,7.70005863159895e-06,5.00003807246685e-06,9.70007386058569e-06,1.9000144675374031e-06,0.007021399913355708,8.27001640573144e-05,8.190004155039787e-05,0.0002324000233784318,1.750001683831215e-05,1.0399962775409222e-05,0.007839300320483744
11,1.1100084520876408e-05,1.1200085282325745e-05,1.0699965059757233e-05,6.500049494206905e-06,0.0008448000298812985,8.00006091594696e-06,4.799920134246349e-06,1.0399962775409222e-05,1.999898813664913e-06,0.0045744001399725676,0.0018155000871047378,0.008309699944220483,0.000615099910646677,1.7900019884109497e-05,1.1599971912801266e-05,0.01625370013061911
