class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Artifact,category,category,True,False,False,0,25
Base_Table,subkind,subkind,False,True,False,5,0
Check_Constraint,subkind,subkind,False,True,False,6,0
Column_Constraint,subkind,subkind,False,False,True,5,4
Column_Type_Constraint,subkind,subkind,False,True,False,6,0
Constraint,kind,kind,False,False,True,4,6
DBMS,subkind,subkind,False,False,True,3,1
DBMS_Account,kind,kind,False,True,False,3,0
DBMS_Item,category,category,False,False,True,2,19
Data_File,kind,kind,False,True,False,2,0
Data_Schema,subkind,subkind,False,True,False,4,0
Data_Type_Constraint,subkind,subkind,False,True,False,5,0
Database,collective,kind,False,False,True,3,1
Derived_Table,subkind,subkind,False,True,False,5,0
Dictionary,kind,kind,False,True,False,3,0
Foreign_Key_Constraint,subkind,subkind,False,True,False,6,0
Information_Schema,subkind,subkind,False,True,False,4,0
Primary_Key_Constraint,subkind,subkind,False,True,False,6,0
RDBMS,subkind,subkind,False,True,False,4,0
RDBMS_Item,category,category,False,False,True,3,12
Relational_Database,subkind,subkind,False,True,False,5,0
Relational_Schema,subkind,subkind,False,True,False,5,0
Schema,kind,kind,False,False,True,3,3
Software_Item,category,category,False,False,True,1,24
Software_System,subkind,subkind,False,False,True,2,2
Table,kind,kind,False,False,True,4,2
