execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0200077667832375e-05,9.099836461246014e-06,9.7999582067132e-06,7.189996540546417e-05,9.09995287656784e-06,7.200008258223534e-05,9.600073099136353e-06,9.70007386058569e-06,9.09995287656784e-06,1.8999911844730377e-05,6.300047971308231e-06,0.0017507000593468547,5.09992241859436e-06,7.200054824352264e-06,7.4999406933784485e-06,0.002006299910135567
2,1.079996582120657e-05,7.680000271648169e-05,1.070008147507906e-05,9.399955160915852e-06,6.949994713068008e-05,0.010239099967293441,1.0600080713629723e-05,1.0200077667832375e-05,9.599840268492699e-06,1.970015000551939e-05,6.900052540004253e-06,4.800036549568176e-06,0.00037219992373138666,0.0002894001081585884,8.09994526207447e-06,0.0111478001344949
3,1.0500079952180386e-05,7.52998748794198e-05,1.0400079190731049e-05,9.199953638017178e-06,6.789993494749069e-05,0.01217409991659224,1.3199984095990658e-05,9.900075383484364e-06,9.09995287656784e-06,2.0000035874545574e-05,6.4999330788850784e-06,4.600035026669502e-06,0.0004957999335601926,0.00032760004978626966,1.0499963536858559e-05,0.013244599802419543
4,1.0499963536858559e-05,0.003083699964918196,1.1600088328123093e-05,9.999959729611874e-06,0.01466049998998642,0.010023499955423176,1.0800082236528397e-05,1.0400079190731049e-05,1.2899981811642647e-05,2.0300038158893585e-05,9.899958968162537e-06,5.100038833916187e-06,0.0019623999251052737,0.0015513000544160604,8.399947546422482e-06,0.03139130002819002
5,1.3199984095990658e-05,7.180008105933666e-05,1.0399962775409222e-05,9.499839507043362e-06,7.040007039904594e-05,0.013280499959364533,1.3500102795660496e-05,1.1699972674250603e-05,9.900075383484364e-06,2.529995981603861e-05,7.79994297772646e-06,5.199923180043697e-06,0.0005644999910145998,0.0003303999546915293,9.600073099136353e-06,0.014433699892833829
6,0.015117599978111684,0.0058862000005319715,0.007834200048819184,0.004775000037625432,0.024433199898339808,0.010052799945697188,1.070008147507906e-05,0.00047400000039488077,1.0399962775409222e-05,2.52000754699111e-05,7.100054062902927e-06,0.006722999969497323,0.0019669999601319432,0.0018038999987766147,8.200062438845634e-06,0.07912850007414818
7,1.0900082997977734e-05,0.0009472999954596162,1.1200085282325745e-05,9.70007386058569e-06,0.004079499980434775,0.006800399976782501,1.750001683831215e-05,1.8000020645558834e-05,1.4199875295162201e-05,2.750009298324585e-05,7.6000578701496124e-06,5.400041118264198e-06,0.0013855999568477273,0.0007952000014483929,1.1699972674250603e-05,0.014141700230538845
8,0.01289590005762875,7.919990457594395e-05,9.400001727044582e-05,0.0025278000393882394,0.00011899997480213642,0.008592900005169213,1.1399853974580765e-05,0.00040040002204477787,1.4300108887255192e-05,2.1900050342082977e-05,7.0999376475811005e-06,0.005786299938336015,6.100046448409557e-06,5.300040356814861e-06,7.3999399319291115e-06,0.030568999936804175
9,1.8000020645558834e-05,2.0300038158893585e-05,1.8900027498602867e-05,0.009418000117875636,1.0800082236528397e-05,0.00578280002810061,1.079996582120657e-05,0.0002706000814214349,1.100008375942707e-05,2.220005262643099e-05,7.100054062902927e-06,0.005995900020934641,6.00004568696022e-06,5.00003807246685e-06,8.699949830770493e-06,0.02160610060673207
10,0.007947400095872581,7.690000347793102e-05,0.00010870001278817654,0.0008843999821692705,7.280008867383003e-05,0.005255899857729673,1.0300078429281712e-05,0.0002443998819217086,1.009996049106121e-05,1.9200029782950878e-05,6.500049494206905e-06,0.004429400083608925,6.700051017105579e-06,1.179997343569994e-05,1.610000617802143e-05,0.019100600155070424
11,1.0500079952180386e-05,7.149996235966682e-05,1.2999866157770157e-05,9.200070053339005e-06,6.760004907846451e-05,0.008971900097094476,1.0600080713629723e-05,1.0299962013959885e-05,9.70007386058569e-06,2.0600040443241596e-05,6.500049494206905e-06,4.700035788118839e-06,0.00032210000790655613,0.0002720999764278531,8.00006091594696e-06,0.009808300412259996
12,1.0200077667832375e-05,7.150007877498865e-05,9.799841791391373e-06,8.79995059221983e-06,7.170008029788733e-05,0.010038899956271052,1.0300078429281712e-05,9.7999582067132e-06,9.399955160915852e-06,1.98000343516469e-05,6.4999330788850784e-06,4.800036549568176e-06,0.00039029994513839483,0.0002997000701725483,7.4999406933784485e-06,0.010968999937176704
13,0.011306999949738383,0.0008509999606758356,0.005945199984125793,0.002332799951545894,0.003665599972009659,0.008565300144255161,1.379998866468668e-05,0.00039489998016506433,2.8499984182417393e-05,2.2999942302703857e-05,6.600050255656242e-06,0.00494539993815124,0.00043720006942749023,0.0004133000038564205,7.899943739175797e-06,0.03893749986309558
14,1.0299845598638058e-05,8.889997843652964e-05,1.0300078429281712e-05,9.599956683814526e-06,6.880005821585655e-05,0.010968900052830577,1.0199961252510548e-05,2.859998494386673e-05,9.70007386058569e-06,2.0399922505021095e-05,6.4999330788850784e-06,4.500034265220165e-06,0.0003730000462383032,0.00037029990926384926,8.00006091594696e-06,0.011987999896518886
15,0.011311599984765053,0.000107599887996912,8.71000811457634e-05,0.0023158000549301505,7.51999905332923e-05,0.007764199981465936,1.0599964298307896e-05,0.0003630000865086913,1.0300078429281712e-05,2.0000035874545574e-05,6.700051017105579e-06,0.004974499926902354,5.600042641162872e-06,4.900037311017513e-06,7.2999391704797745e-06,0.027064400142990053
16,1.0499963536858559e-05,7.149996235966682e-05,1.0399962775409222e-05,9.599956683814526e-06,6.879994180053473e-05,0.012107099988497794,1.0699965059757233e-05,1.00000761449337e-05,9.500072337687016e-06,1.989991869777441e-05,6.500049494206905e-06,4.799920134246349e-06,0.0004133000038564205,0.000327100045979023,8.09994526207447e-06,0.013087799772620201
17,1.070008147507906e-05,7.1900081820786e-05,1.0499847121536732e-05,9.500072337687016e-06,6.929994560778141e-05,0.008122399915009737,1.0400079190731049e-05,9.699957445263863e-06,9.70007386058569e-06,1.9799917936325073e-05,6.5999338403344154e-06,4.800036549568176e-06,0.0003312999615445733,0.0002476000227034092,8.00006091594696e-06,0.008942199987359345
18,1.0600080713629723e-05,7.170008029788733e-05,1.0599847882986069e-05,9.900075383484364e-06,0.00010639999527484179,0.012268800055608153,1.0199961252510548e-05,9.899958968162537e-06,9.600073099136353e-06,2.0799925550818443e-05,6.700051017105579e-06,4.899920895695686e-06,0.000457499991171062,0.0003296999493613839,7.800059393048286e-06,0.013335100025869906
19,1.0399962775409222e-05,7.579999510198832e-05,1.0199961252510548e-05,9.299954399466515e-06,6.989995017647743e-05,0.007900799973867834,3.090000245720148e-05,9.999959729611874e-06,9.200070053339005e-06,1.98000343516469e-05,6.5999338403344154e-06,5.100038833916187e-06,0.00032350001856684685,0.000317899975925684,8.00006091594696e-06,0.008807399892248213
20,1.0499963536858559e-05,9.399955160915852e-06,1.0200077667832375e-05,0.012555899913422763,1.0400079190731049e-05,0.007617100025527179,1.0399846360087395e-05,0.0003626999678090215,1.0500079952180386e-05,1.9299914129078388e-05,6.6999346017837524e-06,0.006929400027729571,2.5399960577487946e-05,5.399924702942371e-06,2.1600048057734966e-05,0.027604899718426168
21,1.0300078429281712e-05,7.459998596459627e-05,1.0299962013959885e-05,9.500072337687016e-06,6.800005212426186e-05,0.012093600002117455,1.0699848644435406e-05,1.0500079952180386e-05,9.600073099136353e-06,1.989991869777441e-05,6.300047971308231e-06,4.799920134246349e-06,0.0004971000598743558,0.0004126999992877245,8.09994526207447e-06,0.013246000045910478
22,9.999959729611874e-06,7.229996845126152e-05,1.0100076906383038e-05,9.100069291889668e-06,6.770004983991385e-05,0.01206289988476783,1.0200077667832375e-05,9.70007386058569e-06,1.2599979527294636e-05,1.9900035113096237e-05,6.3999323174357414e-06,4.800036549568176e-06,0.0004946999251842499,0.0004110999871045351,7.699942216277122e-06,0.013209199998527765
