execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.3899989426136017e-05,2.2399937734007835e-05,1.4199875295162201e-05,9.999959729611874e-06,8.199946023523808e-06,1.0999967344105244e-05,0.0026307000080123544,0.00011000002268701792,2.400018274784088e-06,0.00011000013910233974,1.5800120308995247e-05,1.3999990187585354e-05,7.00005330145359e-06,2.8999987989664078e-05,1.4499993994832039e-05,0.0030131000094115734
2,2.989999484270811e-05,2.2300053387880325e-05,2.8199981898069382e-05,1.889991108328104e-05,0.0011233999393880367,2.41999514400959e-05,1.9900035113096237e-05,1.9999919459223747e-05,3.700028173625469e-06,0.021527300006709993,0.00017619994468986988,0.0001517999917268753,0.0008573000086471438,5.859998054802418e-05,2.180004958063364e-05,0.024083499796688557
3,4.4199987314641476e-05,2.410006709396839e-05,4.000007174909115e-05,3.520003519952297e-05,0.00266400002874434,3.600004129111767e-05,2.5300076231360435e-05,2.1300045773386955e-05,4.399917088449001e-06,0.08427310013212264,0.0009584999643266201,0.00021920003928244114,0.0013154000043869019,7.90000194683671e-05,2.6199850253760815e-05,0.0897659002803266
4,4.039984196424484e-05,1.9400031305849552e-05,3.560003824532032e-05,2.8699985705316067e-05,0.004927600035443902,1.9000028260052204e-05,1.6300007700920105e-05,3.200001083314419e-05,4.199915565550327e-06,0.03290579991880804,0.00917720003053546,0.048056500032544136,0.003922599949873984,7.080007344484329e-05,4.0100072510540485e-05,0.0992961999727413
5,1.7900136299431324e-05,1.7300015315413475e-05,1.5800120308995247e-05,1.1500087566673756e-05,0.0007133999606594443,1.4699995517730713e-05,7.900060154497623e-06,1.5299883671104908e-05,2.600019797682762e-06,0.027577799977734685,0.00012149999383836985,0.00011869997251778841,0.0005536999087780714,3.6800047382712364e-05,1.6700010746717453e-05,0.02924160019028932
6,3.2800016924738884e-05,0.07413720001932234,5.289993714541197e-05,1.2299977242946625e-05,0.006596500054001808,3.120000474154949e-05,0.02638290007598698,0.020759699982590973,3.900029696524143e-06,0.038269200013019145,0.022672099992632866,0.16452990006655455,0.006579300039447844,5.279993638396263e-05,0.09648389997892082,0.45659660012461245
7,2.7999980375170708e-05,2.22999369725585e-05,2.650008536875248e-05,1.8600025214254856e-05,0.0010525999823585153,1.4699995517730713e-05,8.199946023523808e-06,1.600012183189392e-05,2.900022082030773e-06,0.013409399893134832,0.0017352000577375293,0.008208399871364236,0.0007436999585479498,4.91999089717865e-05,1.8100137822329998e-05,0.025353799923323095
8,4.539999645203352e-05,0.029518899973481894,3.460003063082695e-05,1.1699972674250603e-05,2.0200037397444248e-05,3.0499999411404133e-05,0.012627199990674853,0.003820700105279684,4.400033503770828e-06,0.014029799844138324,0.00012209999840706587,0.00011899997480213642,1.8200022168457508e-05,6.160000339150429e-05,0.00015950016677379608,0.060623800149187446
9,1.71000137925148e-05,1.6300007700920105e-05,1.550000160932541e-05,1.009996049106121e-05,8.300063200294971e-06,1.1199968867003918e-05,0.007848899927921593,0.0127638999838382,2.400018274784088e-06,0.01113590004388243,1.3599870726466179e-05,1.6200006939470768e-05,6.6999346017837524e-06,3.360002301633358e-05,1.5500118024647236e-05,0.03191519994288683
10,3.190001007169485e-05,0.017495400039479136,2.0900042727589607e-05,2.529995981603861e-05,9.899958968162537e-06,1.170008908957243e-05,0.006805400014854968,0.0016752000665292144,2.700020559132099e-06,0.011299000005237758,0.0001479999627918005,0.0001417999155819416,7.899943739175797e-06,4.319986328482628e-05,0.00018259987700730562,0.03790089976973832
11,2.1799933165311813e-05,1.6799895092844963e-05,2.0699924789369106e-05,1.0499963536858559e-05,0.0005295000737532973,1.2699980288743973e-05,7.5999414548277855e-06,1.4600111171603203e-05,2.6999041438102722e-06,0.014815200003795326,0.00011939997784793377,0.00011040002573281527,0.0003983000060543418,4.000007174909115e-05,1.5900004655122757e-05,0.016136099817231297
12,1.6200006939470768e-05,1.580000389367342e-05,1.4699995517730713e-05,9.399955160915852e-06,0.0005650001112371683,1.2699980288743973e-05,7.300055585801601e-06,1.400010660290718e-05,2.700020559132099e-06,0.015391900087706745,0.0001088001299649477,0.00010370009113103151,0.0004419999895617366,3.190001007169485e-05,1.5399884432554245e-05,0.016751500428654253
13,1.8799910321831703e-05,0.02636090002488345,1.559988595545292e-05,1.0999967344105244e-05,0.0006929000373929739,1.4599994756281376e-05,0.007864399929530919,0.005368500016629696,2.600019797682762e-06,0.014142300002276897,0.0021331000607460737,0.008709699963219464,0.000659500015899539,3.270001616328955e-05,0.012000800110399723,0.07802739995531738
14,2.4799956008791924e-05,2.4999957531690598e-05,2.4399952962994576e-05,1.6200006939470768e-05,0.0008363999659195542,1.910002902150154e-05,1.2299977242946625e-05,2.4600187316536903e-05,2.900022082030773e-06,0.02157219999935478,0.00017419992946088314,0.00017099990509450436,0.000622499966993928,4.640000406652689e-05,2.659996971487999e-05,0.02359859982971102
15,1.650000922381878e-05,0.0166173999896273,1.4599878340959549e-05,1.0100076906383038e-05,8.500064723193645e-06,1.0800082236528397e-05,0.007408199948258698,0.0033490000059828162,2.400018274784088e-06,0.011197599931620061,0.00011049991007894278,0.00010639999527484179,7.2999391704797745e-06,3.0099996365606785e-05,0.0001404000213369727,0.03902979986742139
16,1.659989356994629e-05,1.550000160932541e-05,1.4699995517730713e-05,9.199953638017178e-06,0.000659500015899539,1.209997572004795e-05,6.900052540004253e-06,1.3600103557109833e-05,2.6999041438102722e-06,0.018087499891407788,0.00010829989332705736,0.0001056998735293746,0.000497999950312078,3.4199911169707775e-05,1.5099998563528061e-05,0.019599599414505064
17,1.7000013031065464e-05,1.5999889001250267e-05,1.4699879102408886e-05,9.699957445263863e-06,0.0004895000020042062,1.2999982573091984e-05,7.100054062902927e-06,1.3599987141788006e-05,2.399901859462261e-06,0.012557000038214028,0.00010699999984353781,0.0001023000804707408,0.00035560003016144037,3.2400013878941536e-05,1.5199999324977398e-05,0.013752499828115106
18,1.6700010746717453e-05,1.5600118786096573e-05,1.500011421740055e-05,9.800074622035027e-06,0.0006385999731719494,1.279998105019331e-05,7.4999406933784485e-06,1.379998866468668e-05,2.599903382360935e-06,0.01796289987396449,0.00010779988951981068,0.00010259984992444515,0.0005283999489620328,3.160000778734684e-05,1.5600118786096573e-05,0.01948129979427904
19,1.5400000847876072e-05,1.5199999324977398e-05,1.3500102795660496e-05,9.599956683814526e-06,0.0004672999493777752,1.1200085282325745e-05,6.900052540004253e-06,1.2999982573091984e-05,2.300017513334751e-06,0.012574899941682816,0.00010389997623860836,9.930005762726068e-05,0.00035500002559274435,2.9199989512562752e-05,1.4599994756281376e-05,0.013731300132349133
20,1.680001150816679e-05,1.5300116501748562e-05,1.370010431855917e-05,9.599956683814526e-06,8.499948307871819e-06,1.1600088328123093e-05,0.00941120006609708,0.017541300039738417,2.200016751885414e-06,0.010891000041738153,1.2799864634871483e-05,1.7600017599761486e-05,6.9999368861317635e-06,2.9399991035461426e-05,1.4199991710484028e-05,0.03800220019184053
21,1.5600002370774746e-05,1.610000617802143e-05,1.389987301081419e-05,9.200070053339005e-06,0.0007480999920517206,1.2299977242946625e-05,6.5999338403344154e-06,1.309998333454132e-05,2.299901098012924e-06,0.01785480009857565,0.00010709988418966532,0.00010039994958788157,0.0006380000850185752,3.069988451898098e-05,1.479999627918005e-05,0.01958299963735044
