execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.2699980288743973e-05,1.2100208550691605e-05,1.0400079190731049e-05,1.0800082236528397e-05,0.00046549970284104347,9.000301361083984e-06,5.700159817934036e-06,1.0699965059757233e-05,1.1699739843606949e-05,0.011611700057983398,7.970025762915611e-05,9.480072185397148e-05,0.00038029998540878296,2.5399960577487946e-05,1.1600088328123093e-05,0.01275210129097104
2,1.1600088328123093e-05,1.1700205504894257e-05,1.070043072104454e-05,8.299946784973145e-06,0.00046900007873773575,9.09995287656784e-06,5.6996941566467285e-06,1.0499730706214905e-05,1.1200085282325745e-05,0.010201399680227041,7.609976455569267e-05,7.25998543202877e-05,0.0003804001025855541,2.2999942302703857e-05,1.1700205504894257e-05,0.0113129997625947
3,1.3000797480344772e-05,1.1900439858436584e-05,1.0400079190731049e-05,8.499715477228165e-06,0.0005132998339831829,9.799841791391373e-06,5.499925464391708e-06,1.0099727660417557e-05,1.1200085282325745e-05,0.011452800128608942,7.590046152472496e-05,7.170019671320915e-05,0.0003147004172205925,2.569984644651413e-05,1.1200085282325745e-05,0.012545701581984758
4,1.1499971151351929e-05,1.1799857020378113e-05,1.0799616575241089e-05,8.400063961744308e-06,0.0009162998758256435,9.499955922365189e-06,5.700159817934036e-06,1.0599847882986069e-05,1.1300202459096909e-05,0.006074800156056881,0.0016788002103567123,0.007655299734324217,0.0006832997314631939,2.6500318199396133e-05,1.200009137392044e-05,0.017126599792391062
5,1.200009137392044e-05,0.008489999920129776,1.1599622666835785e-05,8.500181138515472e-06,0.0022766999900341034,9.600073099136353e-06,0.004200899973511696,0.00013859989121556282,0.0002655000425875187,0.005145899951457977,0.008944699540734291,0.03596100024878979,0.0020095999352633953,2.3900065571069717e-05,0.0171701000072062,0.08466859953477979
6,1.1499971151351929e-05,1.1799857020378113e-05,1.0499730706214905e-05,8.400063961744308e-06,0.0005234000273048878,8.800067007541656e-06,5.600042641162872e-06,1.0400079190731049e-05,1.1600088328123093e-05,0.01237480016425252,7.489975541830063e-05,0.00014360016211867332,0.0004463000223040581,2.41999514400959e-05,1.1600088328123093e-05,0.013677400071173906
7,1.3200566172599792e-05,1.2299977242946625e-05,1.1799857020378113e-05,8.899718523025513e-06,0.00034979963675141335,8.90018418431282e-06,6.00004568696022e-06,1.12997367978096e-05,1.200009137392044e-05,0.008652799762785435,8.04997980594635e-05,7.530022412538528e-05,0.00025529973208904266,3.040023148059845e-05,1.1700205504894257e-05,0.009540199767798185
8,1.1199619621038437e-05,1.1600088328123093e-05,1.0500196367502213e-05,8.400063961744308e-06,0.00028540007770061493,9.200070053339005e-06,5.3998082876205444e-06,1.0400079190731049e-05,1.1200550943613052e-05,0.006169600412249565,7.690023630857468e-05,7.279962301254272e-05,0.0002089003100991249,2.3999717086553574e-05,1.12997367978096e-05,0.006926800590008497
9,1.1700671166181564e-05,1.1699739843606949e-05,1.0699965059757233e-05,8.399598300457e-06,0.0023850002326071262,9.699724614620209e-06,5.499925464391708e-06,1.0800547897815704e-05,1.1899508535861969e-05,0.006522600073367357,0.004889700096100569,0.021422599907964468,0.001979100052267313,2.510054036974907e-05,1.5099532902240753e-05,0.037319600116461515
10,1.1499971151351929e-05,1.1700205504894257e-05,1.0500196367502213e-05,8.200295269489288e-06,0.0005659000016748905,2.8999987989664078e-05,8.400063961744308e-06,1.0400079190731049e-05,1.12997367978096e-05,0.014615899883210659,7.75996595621109e-05,7.16005451977253e-05,0.0005020000971853733,2.6899855583906174e-05,1.1199619621038437e-05,0.01597210019826889
