execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,3.650000144261867e-05,0.00033429999893996865,3.569999535102397e-05,3.2100011594593525e-05,0.00024580000899732113,0.031142499996349216,3.2099997042678297e-05,2.4299995857290924e-05,4.389999958220869e-05,6.240002403501421e-05,1.8999999156221747e-05,1.4200006262399256e-05,0.0012931000092066824,0.0011326000094413757,2.549999044276774e-05,0.03447400004370138
2,3.3499993151053786e-05,0.00020130000484641641,2.9799994081258774e-05,2.6400011847727e-05,0.0001976999919861555,0.026782899993122555,2.6699999580159783e-05,2.6000008801929653e-05,2.4900000425986946e-05,5.6199991377070546e-05,2.2499996703118086e-05,1.410000550094992e-05,0.0013527999981306493,0.001066600001649931,2.4499997380189598e-05,0.02988589998858515
3,4.430000262800604e-05,0.00019099999917671084,2.749999111983925e-05,2.4899985874071717e-05,0.0001770000089891255,0.028683400014415383,2.8800001018680632e-05,2.7299989596940577e-05,2.4599998141638935e-05,5.9200014220550656e-05,2.230000973213464e-05,1.4000004739500582e-05,0.0010115999903064221,0.000763599993661046,2.0000006770715117e-05,0.031119500010390766
4,2.8700000257231295e-05,0.004089400012162514,5.959998816251755e-05,2.6400011847727e-05,0.020369700010633096,0.01659309999377001,3.130000550299883e-05,2.890000178012997e-05,2.6900015654973686e-05,6.709998706355691e-05,2.269999822601676e-05,1.4500008546747267e-05,0.002658600002177991,0.0015974999987520278,2.1100000594742596e-05,0.04563550003513228
5,0.020265699989977293,0.02159499998379033,0.042381899984320626,0.000302100001135841,0.08962659999087919,0.014002399999299087,3.880000440403819e-05,0.0008341999928234145,3.0400013201870024e-05,6.349998875521123e-05,2.239999594166875e-05,0.011183300011907704,0.006027600000379607,0.005673299994668923,2.6299996534362435e-05,0.21207349994801916
6,3.0499999411404133e-05,0.00020319999021012336,3.020001167897135e-05,2.6999987312592566e-05,0.00029590001213364303,0.03199859999585897,2.4300010409206152e-05,2.340000355616212e-05,2.3300002794712782e-05,5.360000068321824e-05,2.239999594166875e-05,1.3600001693703234e-05,0.0014698000013595447,0.0012570000108098611,2.4600012693554163e-05,0.03549740003654733
7,5.0700007705017924e-05,0.0003041000018129125,3.580001066438854e-05,3.2099997042678297e-05,0.0002035000070463866,0.022338799986755475,2.8599999495781958e-05,2.5900008040480316e-05,2.47000134550035e-05,5.809999129269272e-05,2.230000973213464e-05,1.3900003978051245e-05,0.0009729000012157485,0.0007303000020328909,2.02999945031479e-05,0.02486200003477279
8,3.090000245720148e-05,0.00021349999587982893,3.260001540184021e-05,2.750000567175448e-05,0.00019640001119114459,0.016186900000320747,2.8499984182417393e-05,2.6399997295811772e-05,3.4200013033114374e-05,6.50999863864854e-05,2.169999061152339e-05,1.410000550094992e-05,0.0008129000052576885,0.0005048000020906329,2.0699997548945248e-05,0.018216200012830086
9,3.029999788850546e-05,0.012960599997313693,2.9300004825927317e-05,2.5899993488565087e-05,0.05357059999369085,0.015937999996822327,2.8299997211433947e-05,2.6200010324828327e-05,2.5900008040480316e-05,5.780000356025994e-05,2.2599997464567423e-05,1.4599994756281376e-05,0.006787100006476976,0.004816399989067577,2.5000001187436283e-05,0.09435859999211971
10,3.0199997127056122e-05,0.00021860000560991466,2.6699985028244555e-05,2.379999205004424e-05,0.00017880000814329833,0.03894259998924099,3.3499993151053786e-05,2.890000178012997e-05,2.789997961372137e-05,6.44999963697046e-05,2.239999594166875e-05,1.3600001693703234e-05,0.0016168000001925975,0.0011155000102007762,1.990000600926578e-05,0.04236369996215217
11,3.0399984098039567e-05,0.00020290000247769058,2.920000406447798e-05,2.61999957729131e-05,0.00021529998048208654,0.027576299995416775,2.680000034160912e-05,2.5200002710334957e-05,2.5200002710334957e-05,5.830000736750662e-05,1.8499995348975062e-05,1.1400014045648277e-05,0.0010183999984292313,0.0008246000070357695,2.4499997380189598e-05,0.030113199987681583
12,3.100000321865082e-05,0.006672199990134686,3.029999788850546e-05,3.239999932702631e-05,0.03043269999034237,0.017145699996035546,2.7399990358389914e-05,4.9700000090524554e-05,3.530000685714185e-05,6.699998630210757e-05,2.2599997464567423e-05,1.1799987987615168e-05,0.0034263999987160787,0.002977399999508634,2.510000194888562e-05,0.06098699994618073
13,2.9699993319809437e-05,0.000208800018299371,2.9999995604157448e-05,2.6000008801929653e-05,0.0002598999999463558,0.016395900005591102,2.9499991796910763e-05,2.7799993404187262e-05,2.680000034160912e-05,7.070001447573304e-05,2.130000211764127e-05,1.4199991710484028e-05,0.0008205000049201772,0.0004788000078406185,2.2799998987466097e-05,0.018462700027157553
14,3.429999924264848e-05,0.000231999991228804,2.749999111983925e-05,2.5200002710334957e-05,0.00018020001880358905,0.016745000015362166,2.7999994927085936e-05,2.6299996534362435e-05,2.4900000425986946e-05,7.539999205619097e-05,2.2200008970685303e-05,1.3999990187585354e-05,0.0008221999887609854,0.0006351999909384176,2.4200009647756815e-05,0.01891659999091644
15,3.9000005926936865e-05,0.006697100005112588,6.980000762268901e-05,3.7299992982298136e-05,0.035099400018225424,0.02503029999206774,3.0499999411404133e-05,3.7699996028095484e-05,3.71999922208488e-05,7.690000347793102e-05,3.429999924264848e-05,1.5900004655122757e-05,0.004864200003794394,0.004559799999697134,3.7999998312443495e-05,0.0766674000187777
16,2.7999994927085936e-05,0.00018820000695995986,2.7300004148855805e-05,2.8699985705316067e-05,0.0001787999935913831,0.022689199991873465,3.0099996365606785e-05,2.8299997211433947e-05,2.6200010324828327e-05,6.469999789260328e-05,2.1799991372972727e-05,1.4099990949034691e-05,0.0009274000040022656,0.0008252999978139997,2.510000194888562e-05,0.025103199965087697
17,2.8700000257231295e-05,0.00018719998479355127,2.6700014132075012e-05,2.439999661874026e-05,0.0001815000141505152,0.017138199997134507,3.8300000596791506e-05,3.710000601131469e-05,3.599999763537198e-05,8.020001405384392e-05,2.2199994418770075e-05,1.4399993233382702e-05,0.0007919000054243952,0.0005768999981228262,2.0099992980249226e-05,0.019203800009563565
18,2.6699999580159783e-05,2.3800006601959467e-05,2.570000651758164e-05,0.00017780000052880496,3.0199997127056122e-05,0.00021270000434014946,2.570000651758164e-05,3.200001083314419e-05,2.780000795610249e-05,6.079999729990959e-05,2.0799998310394585e-05,0.006058299986761995,1.5199999324977398e-05,1.3700002455152571e-05,2.2299995180219412e-05,0.006773500019335188
19,0.01963860000250861,0.035011999993002973,0.03470210000523366,0.00037119998887646943,0.11993500000971835,0.013391400018008426,2.9300019377842546e-05,0.0006603000074392185,2.749999111983925e-05,5.9999991208314896e-05,1.750000228639692e-05,0.011151099999551661,0.008493799992720596,0.007800100007443689,2.130000211764127e-05,0.2513112000306137
20,2.819999644998461e-05,0.0041486000118311495,3.069998638238758e-05,2.610000956337899e-05,0.02134469999873545,0.011090699990745634,2.9199989512562752e-05,2.580000727903098e-05,3.090000245720148e-05,6.53000024612993e-05,2.3200002033263445e-05,1.4200006262399256e-05,0.001992300007259473,0.0016208000015467405,2.78999941656366e-05,0.04049860000668559
21,2.829998265951872e-05,2.510000194888562e-05,2.5999994250014424e-05,0.00022570000146515667,2.61999957729131e-05,0.0002266000083182007,2.580000727903098e-05,2.5999994250014424e-05,2.469999890308827e-05,5.5599986808374524e-05,4.4200001866556704e-05,0.00620639999397099,1.610000617802143e-05,1.410000550094992e-05,2.2700012777931988e-05,0.006993499991949648
22,3.0099996365606785e-05,0.0002077999961329624,2.9300004825927317e-05,2.6200010324828327e-05,0.0001951000012923032,3.0400013201870024e-05,0.00019090001296717674,3.270000161137432e-05,2.7999980375170708e-05,6.049999501556158e-05,3.819999983534217e-05,1.3600001693703234e-05,0.0008756000024732202,0.0004891999997198582,2.0799998310394585e-05,0.0022684000141453
23,2.749999111983925e-05,0.00018790000467561185,3.440000000409782e-05,2.469999890308827e-05,0.00017830000433605164,0.017133500005002134,2.5600020308047533e-05,2.3600005079060793e-05,2.169999061152339e-05,5.320001218933612e-05,2.239999594166875e-05,1.4299992471933365e-05,0.0008016999927349389,0.0006064000044716522,2.3600005079060793e-05,0.019178800022928044
24,3.0499999411404133e-05,0.004681599995819852,3.200001083314419e-05,2.8099995688535273e-05,0.021137799994903617,0.016030700004193932,3.0700015486218035e-05,2.849999873433262e-05,2.7599991881288588e-05,6.990000838413835e-05,2.2100008209235966e-05,1.4300007023848593e-05,0.003896499998518266,0.002784100011922419,2.1100000594742596e-05,0.04883550004160497
25,5.09000092279166e-05,0.002691200003027916,3.270001616328955e-05,2.7000001864507794e-05,0.010633299985784106,0.015682199998991564,3.0399984098039567e-05,2.7699992642737925e-05,2.649999805726111e-05,6.439999560825527e-05,2.2599997464567423e-05,1.4199991710484028e-05,0.0018649999983608723,0.001672300000791438,2.5000001187436283e-05,0.03286539997498039
26,2.9999995604157448e-05,0.00020229999790899456,2.9700007871724665e-05,2.61999957729131e-05,0.000305800000205636,0.017806199990445748,2.5399989681318402e-05,2.36999912885949e-05,2.2100008209235966e-05,5.259999306872487e-05,1.8000006093643606e-05,1.1600001016631722e-05,0.000790600010077469,0.0006876999977976084,2.4299995857290924e-05,0.02005619998089969
27,0.00024349999148398638,0.035713499994017184,0.006596400009584613,5.420001980382949e-05,0.1131813000101829,0.008066399997915141,5.5800002883188426e-05,5.509998300112784e-05,5.269999383017421e-05,0.00011839999933727086,4.369999805931002e-05,2.5900008040480316e-05,0.023110399997676723,0.006449200009228662,5.0000002374872565e-05,0.19381650001741946
28,2.710000262595713e-05,0.00027869998302776366,2.469999890308827e-05,2.200000744778663e-05,0.0001984000118682161,0.022097299981396645,2.8000009479001164e-05,2.6400011847727e-05,2.5300003471784294e-05,5.840000812895596e-05,2.2499996703118086e-05,1.479999627918005e-05,0.0011468000011518598,0.0006569000106537715,2.0499996026046574e-05,0.0246478000190109
29,2.6599998818710446e-05,0.00018450000789016485,2.6400011847727e-05,2.3500004317611456e-05,0.00017809998826123774,2.7399990358389914e-05,0.00018149999959859997,2.5200002710334957e-05,2.400000812485814e-05,5.420000525191426e-05,2.2499996703118086e-05,1.3700002455152571e-05,0.0008709999965503812,0.0005893000052310526,5.26000076206401e-05,0.0023005000257398933
30,2.5999994250014424e-05,0.00018149999959859997,2.7799993404187262e-05,2.479999966453761e-05,0.00029490000451914966,3.330000618007034e-05,0.00020819998462684453,2.890000178012997e-05,2.7300004148855805e-05,5.839999357704073e-05,2.36999912885949e-05,1.4200006262399256e-05,0.0009491999953752384,0.0007436000014422461,2.439999661874026e-05,0.002666199972736649
31,2.7700007194653153e-05,2.439999661874026e-05,3.0499999411404133e-05,0.00019249999604653567,3.189999551977962e-05,0.00018810000619851053,2.5300003471784294e-05,2.580000727903098e-05,2.4299995857290924e-05,5.609999061562121e-05,2.1899992134422064e-05,0.00569299999915529,1.3899989426136017e-05,1.1899988749064505e-05,1.889999839477241e-05,0.006386199966073036
32,0.011344500002451241,0.01720350001414772,0.011170199999469332,0.00021009999909438193,0.07649579999269918,0.008276299995486625,3.949999518226832e-05,0.0005101999995531514,3.739999374374747e-05,7.420001202262938e-05,3.440000000409782e-05,0.006284200004301965,0.004839199988055043,0.003945999997085892,2.479999966453761e-05,0.1404902999929618
