execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.2299977242946625e-05,1.3200100511312485e-05,1.209997572004795e-05,9.09995287656784e-06,0.0005329999839887023,1.009996049106121e-05,5.899928510189056e-06,1.0899966582655907e-05,1.800013706088066e-06,0.011395699926652014,8.720008190721273e-05,8.180015720427036e-05,0.0004403999773785472,2.6699970476329327e-05,1.209997572004795e-05,0.012652299948967993
2,1.3499869965016842e-05,1.6799895092844963e-05,1.2899981811642647e-05,9.200070053339005e-06,0.0005524000152945518,1.079996582120657e-05,6.100046448409557e-06,1.1599855497479439e-05,1.9000144675374031e-06,0.012529399944469333,9.42000187933445e-05,8.739996701478958e-05,0.00045119994319975376,2.8999987989664078e-05,1.2699863873422146e-05,0.013839099439792335
3,1.3199867680668831e-05,1.3399985618889332e-05,1.209997572004795e-05,9.900075383484364e-06,0.000467000063508749,1.0899966582655907e-05,6.600050255656242e-06,1.2200092896819115e-05,2.100015990436077e-06,0.01235069998074323,0.00010039994958788157,8.649996016174555e-05,0.00035260000731796026,2.8199981898069382e-05,1.309998333454132e-05,0.013478899956680834
4,1.589988823980093e-05,1.5600118786096573e-05,1.4699995517730713e-05,1.1100084520876408e-05,0.0012481999583542347,1.3699987903237343e-05,7.1999384090304375e-06,1.3900105841457844e-05,2.100015990436077e-06,0.008404300082474947,0.0022640000097453594,0.014887100085616112,0.0009093000553548336,3.5100034438073635e-05,1.619989052414894e-05,0.027858400251716375
5,1.5600118786096573e-05,0.010719600017182529,1.4800112694501877e-05,1.1499971151351929e-05,0.0030212999554350972,1.9200029782950878e-05,0.005695000058040023,0.00018269999418407679,2.700020559132099e-06,0.006869599921628833,0.011593999923206866,0.04866759979631752,0.0027184999780729413,3.170000854879618e-05,0.023337300051935017,0.11290109995752573
6,1.4200108125805855e-05,1.4599878340959549e-05,1.3399985618889332e-05,1.0200077667832375e-05,0.0006687999702990055,1.1500087566673756e-05,6.4999330788850784e-06,1.2600095942616463e-05,2.200016751885414e-06,0.015464999945834279,9.620003402233124e-05,9.23998886719346e-05,0.0005548000335693359,3.070000093430281e-05,1.4200108125805855e-05,0.017007300164550543
7,1.3299984857439995e-05,1.4100107364356518e-05,1.27000967040658e-05,9.7999582067132e-06,0.00040909997187554836,1.3699987903237343e-05,6.09993003308773e-06,1.2100092135369778e-05,1.800013706088066e-06,0.01019950001500547,8.9899986051023e-05,8.60999571159482e-05,0.0003082000184804201,2.929999027401209e-05,1.3499986380338669e-05,0.011219200096093118
8,1.3599870726466179e-05,1.4099990949034691e-05,1.300009898841381e-05,9.899958968162537e-06,0.0003645999822765589,1.1200085282325745e-05,6.7999353632330894e-06,1.2199976481497288e-05,2.09989957511425e-06,0.007632699911482632,9.280000813305378e-05,8.829997386783361e-05,0.00025759998243302107,2.9999995604157448e-05,1.3499986380338669e-05,0.008562399656511843
9,1.3299868442118168e-05,1.3100099749863148e-05,1.2699980288743973e-05,1.0199961252510548e-05,0.002847299911081791,1.0999967344105244e-05,6.199930794537067e-06,1.2499978765845299e-05,2.00001522898674e-06,0.007317399955354631,0.005802999949082732,0.023513599997386336,0.002269800053909421,2.829998265951872e-05,1.4299876056611538e-05,0.04187469952739775
10,1.309998333454132e-05,1.2400094419717789e-05,1.179997343569994e-05,9.100069291889668e-06,0.0006346000591292977,1.0100076906383038e-05,5.700043402612209e-06,1.0999967344105244e-05,1.9000144675374031e-06,0.016397799947299063,8.669996168464422e-05,8.41999426484108e-05,0.0005359000060707331,2.750009298324585e-05,1.2600095942616463e-05,0.017854400328360498
11,1.2899981811642647e-05,1.2499978765845299e-05,1.1599971912801266e-05,9.399955160915852e-06,0.00043460004962980747,9.800074622035027e-06,5.699926987290382e-06,1.0900082997977734e-05,1.800013706088066e-06,0.011858099955134094,8.420005906373262e-05,8.050014730542898e-05,0.0003341999836266041,2.7300091460347176e-05,1.1799857020378113e-05,0.012905300129204988
12,1.189985778182745e-05,1.27000967040658e-05,1.1199968867003918e-05,8.699949830770493e-06,0.0014642999740317464,9.899958968162537e-06,5.399924702942371e-06,1.1299853213131428e-05,2.00001522898674e-06,0.006611599936150014,0.0026534999487921596,0.012270000064745545,0.0011474000057205558,2.5600078515708447e-05,1.2699980288743973e-05,0.024258199613541365
