execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.6600009985268116e-05,0.00010820000898092985,1.6700010746717453e-05,1.999997766688466e-05,0.00010619999375194311,0.0122440000413917,1.7799960914999247e-05,2.300017513334751e-06,1.2299977242946625e-05,2.9200047720223665e-05,9.200011845678091e-06,5.89998671784997e-06,0.0005695999716408551,0.000422299955971539,1.580000389367342e-05,0.013596099975984544
2,1.1999974958598614e-05,8.249998791143298e-05,1.209997572004795e-05,1.0899966582655907e-05,8.109997725114226e-05,0.011129099992103875,1.2100033927708864e-05,1.800013706088066e-06,1.1299969628453255e-05,2.629996743053198e-05,9.300012607127428e-06,5.900044925510883e-06,0.0005154000245966017,0.0004199999966658652,1.0100018698722124e-05,0.012339899956714362
3,1.2399978004395962e-05,8.699996396899223e-05,1.2599979527294636e-05,1.1200085282325745e-05,7.910002022981644e-05,0.011426499986555427,1.2400036212056875e-05,1.600012183189392e-06,1.1599971912801266e-05,2.989999484270811e-05,9.399955160915852e-06,5.89998671784997e-06,0.0005679999594576657,0.0003494000411592424,1.3899989426136017e-05,0.012630899960640818
4,1.2000033166259527e-05,0.0017973000067286193,1.309998333454132e-05,1.1299969628453255e-05,0.00814439996611327,0.006615700025577098,1.209997572004795e-05,1.8998980522155762e-06,1.1400086805224419e-05,2.6900030206888914e-05,8.999952115118504e-06,9.200011845678091e-06,0.000990099972113967,0.0007384999771602452,9.90001717582345e-06,0.01840279990574345
5,0.008132199989631772,0.008733699971344322,0.018777300021611154,0.00014589994680136442,0.03854270005831495,0.00545390002662316,1.2000033166259527e-05,2.00001522898674e-06,1.1599971912801266e-05,2.5800021830946207e-05,9.200011845678091e-06,0.004635399964172393,0.002412300033029169,0.002168399980291724,1.0299962013959885e-05,0.08907270000781864
6,1.209997572004795e-05,7.90000194683671e-05,1.179997343569994e-05,1.0699965059757233e-05,7.499998901039362e-05,0.013188899960368872,1.1700030881911516e-05,1.800013706088066e-06,1.1599971912801266e-05,2.6999972760677338e-05,8.90000956133008e-06,5.499983672052622e-06,0.0005570999928750098,0.0004477000329643488,9.800016414374113e-06,0.014458599907811731
7,1.179997343569994e-05,8.460000390186906e-05,1.1899974197149277e-05,1.0399962775409222e-05,7.770000956952572e-05,0.009335200011264533,1.2299977242946625e-05,1.9000144675374031e-06,1.1300027836114168e-05,2.7099973522126675e-05,9.500014130026102e-06,6.00004568696022e-06,0.00048379995860159397,0.0002845999551936984,1.109996810555458e-05,0.010379199869930744
8,1.1999974958598614e-05,8.040003012865782e-05,1.1500029359012842e-05,1.0600080713629723e-05,7.690000347793102e-05,0.006654300028458238,1.179997343569994e-05,1.800013706088066e-06,1.1199968867003918e-05,2.5699962861835957e-05,8.700008038431406e-06,5.599984433501959e-06,0.0003098000306636095,0.00022300001000985503,1.2400036212056875e-05,0.00745570013532415
9,1.2200034689158201e-05,0.005232300027273595,1.3300043065100908e-05,1.1399970389902592e-05,0.022951900027692318,0.006961300037801266,1.3399985618889332e-05,1.9000144675374031e-06,1.1899974197149277e-05,2.7799978852272034e-05,9.299954399466515e-06,5.799985956400633e-06,0.0025399999576620758,0.0021503999596461654,1.0800024028867483e-05,0.039953699975740165
10,1.1800031643360853e-05,7.959996582940221e-05,1.179997343569994e-05,1.0599964298307896e-05,7.609999738633633e-05,0.016355799976736307,1.650000922381878e-05,1.9000144675374031e-06,1.1299969628453255e-05,2.6699970476329327e-05,8.800008799880743e-06,5.499983672052622e-06,0.0006543999770656228,0.0005682999617420137,1.0599964298307896e-05,0.01784969976870343
