class_name,class_original_classification,classification_final_list
Abstract_Class,subkind,is
Abstract_Method,subkind,can
Accessor_Method,subkind,is
Attribute_(Member_Variable),subkind,can
Class,kind,can
Class_Method,subkind,can
Class_Variable,subkind,is
Concrete_Class,subkind,can
Concrete_Method,subkind,is
Constructor_Method,subkind,can
Destructor_Method,subkind,can
Extendable_Class,subkind,can
Generic_Class,subkind,can
Generic_Method,subkind,can
Instance_Method,subkind,can
Instance_Variable,subkind,is
Local_Variable,subkind,is
Member,category,can
Method_(Member_Function),kind,can
Method_Variable,subkind,is
Named_Element,category,can
Nested_Class,role,is
Non-Extendable_Class,subkind,is
Non-Overridable_Method,subkind,can
Overridable_Method,subkind,can
Parameter_Variabe,subkind,is
Primitive_Type,subkind,can
Root_Class,subkind,is
Subclass,role,can
Superclass,role,is
Type,category,is
Variable,kind,can
