class_name,class_original_classification,classification_final_list
Abstract_Class,subkind,is
Abstract_Method,subkind,can
Accessor_Method,subkind,is
Attribute_(Member_Variable),subkind,is
Class,kind,can
Class_Method,subkind,is
Class_Variable,subkind,can
Concrete_Class,subkind,can
Concrete_Method,subkind,can
Constructor_Method,subkind,is
Destructor_Method,subkind,can
Extendable_Class,subkind,is
Generic_Class,subkind,is
Generic_Method,subkind,can
Instance_Method,subkind,can
Instance_Variable,subkind,is
Local_Variable,subkind,is
Member,category,can
Method_(Member_Function),kind,can
Method_Variable,subkind,can
Named_Element,category,is
Nested_Class,role,is
Non-Extendable_Class,subkind,can
Non-Overridable_Method,subkind,is
Overridable_Method,subkind,can
Parameter_Variabe,subkind,is
Primitive_Type,subkind,is
Root_Class,subkind,can
Subclass,role,can
Superclass,role,can
Type,category,is
Variable,kind,is
