class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Cerrado,subkind,subkind,False,True,False,5,0,48
MataAtlantica,subkind,subkind,False,True,False,4,0,48
Location,kind,kind,False,False,True,3,13,38
LowLuminosity,mode,kind,False,True,False,1,0,3
TrapCollection,relator,kind,False,True,False,2,0,4
Tropical,category,category,False,True,False,3,0,38
MicorEcosystem,subkind,subkind,False,True,False,2,0,48
SocialPoliticalRegion,category,category,False,False,True,2,17,38
FirstQuarterMoon,mode,kind,False,True,False,1,0,4
CocaisRegion,category,category,False,True,False,3,0,38
Unknown,category,category,False,True,False,1,0,7
Igapo,subkind,subkind,False,True,False,1,0,48
ObjectClassifier,role,role,False,True,False,4,0,48
Restinga,subkind,subkind,False,True,False,1,0,48
Male,category,category,False,True,False,1,0,7
Saltwater,subkind,subkind,False,True,False,3,0,48
Juvenile,mixin,mixin,False,True,False,1,0,7
Country,kind,kind,False,True,False,3,0,38
NetCollection,relator,kind,False,True,False,2,0,4
IndiandLand,subkind,subkind,False,True,False,5,0,38
ResearcherParticipant,role,role,False,False,True,6,1,48
LifeStage,mixin,mixin,True,False,False,0,7,7
Clearwater,subkind,subkind,False,True,False,4,0,48
AtlanticRegion,category,category,False,True,False,3,0,38
Hydromorphic,subkind,subkind,False,True,False,3,0,48
Species,type,other,False,True,False,1,0,3
Taxon,type,other,True,False,False,0,3,3
BioticEntity,category,category,False,False,True,1,13,48
Researcher,role,role,False,False,True,4,2,48
LastQuarterMoon,mode,kind,False,True,False,1,0,4
AssistantInCollection,role,role,False,True,False,5,0,48
Litholic,subkind,subkind,False,True,False,3,0,48
EntityInStudy,role,role,False,False,True,2,2,48
Settlement,subkind,subkind,False,True,False,4,0,38
CostalRegion,category,category,False,True,False,3,0,38
PrivateLocation,subkind,subkind,False,True,False,4,0,38
Biome,subkind,subkind,False,False,True,3,6,48
InstrumentedCollection,relator,kind,False,True,False,1,0,4
ParticipantInCollection,role,role,False,False,True,4,3,48
CostalZone,subkind,subkind,False,True,False,4,0,48
Collection,relator,kind,True,False,False,0,4,4
Vegetation,kind,kind,True,False,False,0,8,48
Sunny,mode,kind,False,True,False,1,0,3
BrackishWater,subkind,subkind,False,True,False,3,0,48
Rocky,subkind,subkind,False,True,False,3,0,48
ResponsibleForCollection,role,role,False,True,False,7,0,48
Asexual,category,category,False,True,False,1,0,7
FieldsRegion,category,category,False,True,False,3,0,38
HumidSubtropical,category,category,False,True,False,3,0,38
DevoluteLand,subkind,subkind,False,True,False,6,0,38
Bisexual,category,category,False,True,False,1,0,7
Luminosity,mode,kind,True,False,False,0,3,3
Clayey,subkind,subkind,False,True,False,3,0,48
MesoEcosystem,subkind,subkind,False,True,False,2,0,48
MacroEnvironment,mode,kind,False,True,False,1,0,2
WhiteWater,subkind,subkind,False,True,False,4,0,48
FederalLand,subkind,subkind,False,True,False,6,0,38
State,kind,kind,False,True,False,3,0,38
MacroEcosystem,subkind,subkind,False,False,True,2,7,48
Environment,mode,kind,True,False,False,0,2,2
Capoeira,subkind,subkind,False,True,False,1,0,48
MicroEnvironment,mode,kind,False,True,False,1,0,2
Pantanal,subkind,subkind,False,True,False,4,0,48
ClassifiedEntity,role,role,False,True,False,3,0,48
Hermaphrodite,category,category,False,True,False,1,0,7
CerradoRegion,category,category,False,True,False,3,0,38
TropicalWetAndDry,category,category,False,True,False,3,0,38
BlackWater,subkind,subkind,False,True,False,4,0,48
Semiarid,category,category,False,True,False,3,0,38
Ecosystem,kind,kind,False,False,True,1,10,48
Unknown_,mixin,mixin,False,True,False,1,0,7
HighLuminosity,mode,kind,False,True,False,1,0,3
Soil,quantity,kind,False,False,True,2,6,48
CollectionThroughFraction,relator,kind,False,True,False,1,0,4
Rainy,mode,kind,False,True,False,1,0,3
CaatingaRegion,category,category,False,True,False,3,0,38
Female,category,category,False,True,False,1,0,7
MoonPhase,mode,kind,True,False,False,0,4,4
Water,quantity,kind,False,False,True,2,6,48
