execution_number,input_class_name,input_class_stereotype
1,AmazonicRegion,category
2,AraucariasRegion,category
3,AtlanticRegion,category
4,CaatingaRegion,category
5,CerradoRegion,category
6,City,kind
7,CityLand,subkind
8,ClimateRegion,category
9,CocaisRegion,category
10,CollectionLocation,role
11,Community,subkind
12,ConservationUnity,subkind
13,CostalRegion,category
14,Country,kind
15,DevoluteLand,subkind
16,Equatorial,category
17,FederalArea,subkind
18,FederalLand,subkind
19,FieldsRegion,category
20,GeographicPoint,category
21,GeographicSpace,category
22,HumidSubtropical,category
23,IndiandLand,subkind
24,Location,kind
25,PatanalRegion,category
26,PhytophysiognomicRegion,category
27,PrivateLocation,subkind
28,PublicLocation,subkind
29,Semiarid,category
30,Settlement,subkind
31,SocialPoliticalRegion,category
32,SpatialLocation,category
33,State,kind
34,StateLand,subkind
35,Temperate,category
36,Thorp,subkind
37,Tropical,category
38,TropicalWetAndDry,category
39,Village,subkind
