execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.3499986380338669e-05,1.1899974197149277e-05,1.3299984857439995e-05,0.004641399951651692,1.3899989426136017e-05,0.002801000024192035,1.3299984857439995e-05,0.0001653000363148749,1.2700038496404886e-05,3.91000066883862e-05,1.0200019460171461e-05,0.006796700006816536,6.999995093792677e-06,6.100046448409557e-06,1.1100026313215494e-05,0.014556500071194023
2,0.00933839997742325,8.179998258128762e-05,0.0001233000075444579,0.0009726999560371041,7.910002022981644e-05,0.005811499955598265,1.3699987903237343e-05,0.00030290003633126616,1.2999982573091984e-05,4.0899962186813354e-05,1.0400020983070135e-05,0.006945300032384694,6.799993570894003e-06,5.89998671784997e-06,1.0500021744519472e-05,0.023756199923809618
3,1.260003773495555e-05,0.00011129997437819839,1.27000967040658e-05,1.1299969628453255e-05,7.460004417225718e-05,0.008292999991681427,1.2399978004395962e-05,1.279998105019331e-05,1.200009137392044e-05,3.609992563724518e-05,9.700015652924776e-06,5.89998671784997e-06,0.00033439998514950275,0.00025150005239993334,1.1000025551766157e-05,0.009201300155837089
4,2.5999965146183968e-05,1.1699972674250603e-05,1.279998105019331e-05,0.0084080999949947,1.2699980288743973e-05,0.005668800033163279,1.2999982573091984e-05,0.0003380000125616789,1.309998333454132e-05,3.670004662126303e-05,1.090002479031682e-05,0.011126299970783293,6.499991286545992e-06,5.89998671784997e-06,1.0399962775409222e-05,0.02570089988876134
5,1.2200034689158201e-05,7.430004188790917e-05,1.2399978004395962e-05,1.0900082997977734e-05,7.14000198058784e-05,1.3299984857439995e-05,7.070001447573304e-05,1.190003240481019e-05,1.160003012046218e-05,3.4400029107928276e-05,9.300012607127428e-06,5.700043402612209e-06,0.0005241999751888216,0.0003500000457279384,1.3999990187585354e-05,0.0012263003154657781
6,1.4499993994832039e-05,0.004834800027310848,1.390004763379693e-05,1.179997343569994e-05,0.02380650001578033,0.0065469000255689025,1.4099990949034691e-05,1.3500044587999582e-05,1.2800097465515137e-05,4.0500075556337833e-05,2.829998265951872e-05,7.099995855242014e-06,0.0024292999878525734,0.0018340999959036708,1.309998333454132e-05,0.03962120023788884
7,1.2400036212056875e-05,1.1000025551766157e-05,1.2299977242946625e-05,0.004681199963670224,1.3499986380338669e-05,0.00280180003028363,1.2500095181167126e-05,0.00014859996736049652,1.209997572004795e-05,3.5800039768218994e-05,9.700015652924776e-06,0.0068514999584294856,6.89999433234334e-06,5.699985194951296e-06,1.309998333454132e-05,0.014628100034315139
8,1.379998866468668e-05,8.729996625334024e-05,1.3999990187585354e-05,1.2300093658268452e-05,7.839995669201016e-05,0.009649099956732243,2.0400038920342922e-05,1.5400000847876072e-05,1.4200049918144941e-05,6.830005440860987e-05,1.0400020983070135e-05,6.599992047995329e-06,0.0003638000343926251,0.0002720999764278531,1.2599979527294636e-05,0.010638700099661946
9,1.2899981811642647e-05,7.429998368024826e-05,1.2400036212056875e-05,1.1300086043775082e-05,7.119996007531881e-05,0.006530699960421771,1.2999982573091984e-05,1.2200034689158201e-05,1.109996810555458e-05,3.5800039768218994e-05,9.800016414374113e-06,5.900044925510883e-06,0.0002826999989338219,0.00020289997337386012,1.1500029359012842e-05,0.007297700096387416
10,1.4399993233382702e-05,8.03999719209969e-05,1.810002140700817e-05,1.539994264021516e-05,7.639999967068434e-05,0.011431699967943132,1.379998866468668e-05,1.2899981811642647e-05,1.1599971912801266e-05,3.890006337314844e-05,1.550000160932541e-05,6.699992809444666e-06,0.00038870004937052727,0.00031569995917379856,2.0199979189783335e-05,0.012460399884730577
