execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.550000160932541e-05,1.550000160932541e-05,1.4600344002246857e-05,1.0099727660417557e-05,7.6000578701496124e-06,1.1400319635868073e-05,0.01245129993185401,0.018983700312674046,0.0005290000699460506,0.009983299765735865,1.3300217688083649e-05,2.769986167550087e-05,6.6999346017837524e-06,3.3999793231487274e-05,1.4699995517730713e-05,0.04211840033531189
2,1.4699995517730713e-05,1.4899764209985733e-05,1.4299992471933365e-05,1.00000761449337e-05,7.700175046920776e-06,1.1799857020378113e-05,0.012046500109136105,0.016509999986737967,0.0005085999146103859,0.009599200449883938,1.29002146422863e-05,1.490022987127304e-05,6.9998204708099365e-06,3.5200268030166626e-05,1.4400109648704529e-05,0.03882210096344352
3,1.4100223779678345e-05,1.4100223779678345e-05,1.3400334864854813e-05,9.399838745594025e-06,7.4999406933784485e-06,1.0899733752012253e-05,0.011363500263541937,0.01461039949208498,0.00048809964209795,0.009029900189489126,1.2299977242946625e-05,1.4000572264194489e-05,6.299931555986404e-06,3.2499898225069046e-05,1.3499986380338669e-05,0.035639900248497725
4,1.4099758118391037e-05,1.4199875295162201e-05,1.3799872249364853e-05,9.300187230110168e-06,7.3998235166072845e-06,1.400010660290718e-05,0.01144389994442463,0.01592039968818426,0.00048449961468577385,0.008934599813073874,1.2400560081005096e-05,1.4099758118391037e-05,6.5998174250125885e-06,3.280024975538254e-05,1.3599172234535217e-05,0.03693569824099541
5,1.3399869203567505e-05,1.3699755072593689e-05,1.3100448995828629e-05,9.09995287656784e-06,7.000286132097244e-06,1.019984483718872e-05,0.01106759998947382,0.013988399878144264,0.0004686000756919384,0.00871549965813756,1.180032268166542e-05,1.3600103557109833e-05,6.00004568696022e-06,3.0699651688337326e-05,1.3200100511312485e-05,0.03438189998269081
6,1.3799872249364853e-05,0.013032699935138226,1.5700235962867737e-05,9.200070053339005e-06,7.3998235166072845e-06,1.0600313544273376e-05,0.008288000244647264,0.002634899690747261,0.0004384000785648823,0.00868750037625432,8.589960634708405e-05,8.499948307871819e-05,6.400048732757568e-06,3.100000321865082e-05,0.00010270019993185997,0.033449199981987476
7,1.3299752026796341e-05,1.3499986380338669e-05,1.2600328773260117e-05,9.499955922365189e-06,0.000435700174421072,1.1300202459096909e-05,6.600283086299896e-06,1.219986006617546e-05,1.3100448995828629e-05,0.011584099847823381,8.540041744709015e-05,8.179992437362671e-05,0.0003349999897181988,3.169989213347435e-05,1.8700025975704193e-05,0.012664501089602709
8,1.2899748980998993e-05,1.659989356994629e-05,1.2499745935201645e-05,9.000301361083984e-06,6.9998204708099365e-06,1.3000331819057465e-05,0.008526300080120564,0.010087200440466404,0.0002920003607869148,0.0059324000030756,1.2600328773260117e-05,1.8299557268619537e-05,6.00004568696022e-06,3.149965777993202e-05,1.750001683831215e-05,0.024994800332933664
9,1.3499520719051361e-05,1.400010660290718e-05,1.2800097465515137e-05,9.09995287656784e-06,7.199589163064957e-06,1.0400079190731049e-05,0.010744999628514051,0.01402119966223836,0.00046839984133839607,0.008576400578022003,1.1900439858436584e-05,1.3899989426136017e-05,6.4997002482414246e-06,3.400025889277458e-05,1.3000331819057465e-05,0.033957299776375294
10,0.0001826002262532711,0.00010140053927898407,2.8499867767095566e-05,1.8099788576364517e-05,0.020496599841862917,3.1600240617990494e-05,1.2899748980998993e-05,2.8600450605154037e-05,2.989964559674263e-05,0.00010719988495111465,0.06018689973279834,0.2053884998895228,0.009690800216048956,6.51990994811058e-05,0.002879700157791376,0.2992484993301332
