class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Place,category,category,False,False,True,2,11,48
Point,subkind,subkind,False,True,False,1,0,6
Sponsor,rolemixin,rolemixin,False,True,False,2,0,48
Closed,phasemixin,phasemixin,False,True,False,3,0,48
Area_Owner,rolemixin,rolemixin,False,True,False,2,0,48
License_Holder,rolemixin,rolemixin,False,True,False,2,0,48
Snowpark,subkind,subkind,False,True,False,4,0,48
Trail,kind,kind,False,False,True,3,2,48
Composite_Area,subkind,subkind,False,True,False,4,0,48
Composite_Event,subkind,subkind,False,True,False,2,0,48
Category,type,other,False,False,True,1,9,48
Organizer,rolemixin,rolemixin,False,True,False,2,0,48
Contributor,rolemixin,rolemixin,False,True,False,2,0,48
In-Person_Event,phase,phase,False,True,False,2,0,48
Snowpark_Feature,subkind,subkind,False,True,False,2,0,48
Event_Plan,relator,kind,False,False,True,1,7,48
Agent,category,category,False,False,True,1,9,48
Permanently_Closed,phasemixin,phasemixin,False,True,False,3,0,48
Organization,kind,kind,False,True,False,2,0,48
Author,rolemixin,rolemixin,False,True,False,2,0,48
Published,phase,phase,False,True,False,2,0,48
SimpleArea,subkind,subkind,False,True,False,4,0,48
Snowpark_Category,subkind,subkind,False,True,False,2,0,48
Person,kind,kind,False,True,False,2,0,48
Media_Object,category,category,False,False,True,1,3,48
Hybrid_Event,phase,phase,False,True,False,2,0,48
Feature,type,other,False,False,True,1,1,48
Video_Object,kind,kind,False,True,False,2,0,48
Event_Plan_Category,subkind,subkind,False,False,True,2,1,48
Ski_Slope,subkind,subkind,False,True,False,4,0,48
Multi_Line_String,subkind,subkind,False,True,False,1,0,6
Operational,phasemixin,phasemixin,False,True,False,3,0,48
Line_String,subkind,subkind,False,True,False,1,0,6
Audio_Object,kind,kind,False,True,False,2,0,48
Geospatial_Feature,category,category,True,False,False,0,13,48
Snow_Measurement,relator,kind,False,True,False,1,0,48
Image_Object,kind,kind,False,True,False,2,0,48
Mountain_Area,kind,kind,False,False,True,3,2,48
Media_Object_Category,subkind,subkind,False,True,False,2,0,48
Mountain_Area_Category,subkind,subkind,False,True,False,2,0,48
Geometry,quality,kind,True,False,False,0,6,6
Ski_Slope_Category,subkind,subkind,False,True,False,2,0,48
Multi-Point,subkind,subkind,False,True,False,1,0,6
Event_Series,subkind,subkind,False,True,False,3,0,48
Publisher,rolemixin,rolemixin,False,True,False,2,0,48
Venue,rolemixin,rolemixin,False,True,False,3,0,48
Multi-Polygon,subkind,subkind,False,True,False,1,0,6
Lift_Category,subkind,subkind,False,True,False,2,0,48
Polygon,subkind,subkind,False,True,False,1,0,6
Simple_Event,subkind,subkind,False,True,False,2,0,48
Virtual_Event,phase,phase,False,True,False,2,0,48
Trail_Category,subkind,subkind,False,True,False,2,0,48
Event_Series_Category,subkind,subkind,False,True,False,2,0,48
Lift,kind,kind,False,True,False,3,0,48
Cancelled,phase,phase,False,True,False,2,0,48
Named_Entity,category,category,True,False,False,0,46,48
