execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,23,2,1,88.46153846153845,7.6923076923076925,3.8461538461538463,364,350,14,364,332,32,96.15384615384616,3.8461538461538463,91.20879120879121,8.791208791208792,-2,2,0,-7.692307692307708,7.6923076923076925,0.0,-18,18,-4.945054945054949,4.945054945054945,3
2,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,21,4,1,80.76923076923077,15.384615384615385,3.8461538461538463,364,350,14,364,326,38,96.15384615384616,3.8461538461538463,89.56043956043956,10.43956043956044,-4,4,0,-15.384615384615387,15.384615384615385,0.0,-24,24,-6.593406593406598,6.593406593406593,5
3,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,17,7,2,65.38461538461539,26.923076923076923,7.6923076923076925,364,350,14,364,281,83,96.15384615384616,3.8461538461538463,77.1978021978022,22.802197802197803,-8,7,1,-30.769230769230774,26.923076923076923,3.8461538461538463,-69,69,-18.956043956043956,18.956043956043956,4
4,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,21,4,1,80.76923076923077,15.384615384615385,3.8461538461538463,364,350,14,364,314,50,96.15384615384616,3.8461538461538463,86.26373626373626,13.736263736263737,-4,4,0,-15.384615384615387,15.384615384615385,0.0,-36,36,-9.890109890109898,9.89010989010989,5
5,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,22,3,1,84.61538461538461,11.538461538461538,3.8461538461538463,364,350,14,364,323,41,96.15384615384616,3.8461538461538463,88.73626373626374,11.263736263736265,-3,3,0,-11.538461538461547,11.538461538461538,0.0,-27,27,-7.417582417582423,7.417582417582418,4
6,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,364,350,14,364,350,14,96.15384615384616,3.8461538461538463,96.15384615384616,3.8461538461538463,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
7,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,21,4,1,80.76923076923077,15.384615384615385,3.8461538461538463,364,350,14,364,314,50,96.15384615384616,3.8461538461538463,86.26373626373626,13.736263736263737,-4,4,0,-15.384615384615387,15.384615384615385,0.0,-36,36,-9.890109890109898,9.89010989010989,5
8,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,22,3,1,84.61538461538461,11.538461538461538,3.8461538461538463,364,350,14,364,323,41,96.15384615384616,3.8461538461538463,88.73626373626374,11.263736263736265,-3,3,0,-11.538461538461547,11.538461538461538,0.0,-27,27,-7.417582417582423,7.417582417582418,4
9,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,18,7,1,69.23076923076923,26.923076923076923,3.8461538461538463,364,350,14,364,311,53,96.15384615384616,3.8461538461538463,85.43956043956044,14.560439560439562,-7,7,0,-26.923076923076934,26.923076923076923,0.0,-39,39,-10.714285714285722,10.714285714285715,3
10,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,364,350,14,364,350,14,96.15384615384616,3.8461538461538463,96.15384615384616,3.8461538461538463,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
11,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,22,3,1,84.61538461538461,11.538461538461538,3.8461538461538463,364,350,14,364,323,41,96.15384615384616,3.8461538461538463,88.73626373626374,11.263736263736265,-3,3,0,-11.538461538461547,11.538461538461538,0.0,-27,27,-7.417582417582423,7.417582417582418,4
12,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,20,5,1,76.92307692307693,19.230769230769234,3.8461538461538463,364,350,14,364,325,39,96.15384615384616,3.8461538461538463,89.28571428571429,10.714285714285714,-5,5,0,-19.230769230769226,19.230769230769234,0.0,-25,25,-6.868131868131869,6.868131868131867,1
13,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,23,1,2,88.46153846153845,3.8461538461538463,7.6923076923076925,364,350,14,364,327,37,96.15384615384616,3.8461538461538463,89.83516483516483,10.164835164835164,-2,1,1,-7.692307692307708,3.8461538461538463,3.8461538461538463,-23,23,-6.318681318681328,6.3186813186813175,3
14,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,24,1,1,92.3076923076923,3.8461538461538463,3.8461538461538463,364,350,14,364,341,23,96.15384615384616,3.8461538461538463,93.68131868131869,6.318681318681318,-1,1,0,-3.846153846153854,3.8461538461538463,0.0,-9,9,-2.4725274725274744,2.472527472527472,2
15,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,23,2,1,88.46153846153845,7.6923076923076925,3.8461538461538463,364,350,14,364,332,32,96.15384615384616,3.8461538461538463,91.20879120879121,8.791208791208792,-2,2,0,-7.692307692307708,7.6923076923076925,0.0,-18,18,-4.945054945054949,4.945054945054945,3
16,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,22,3,1,84.61538461538461,11.538461538461538,3.8461538461538463,364,350,14,364,323,41,96.15384615384616,3.8461538461538463,88.73626373626374,11.263736263736265,-3,3,0,-11.538461538461547,11.538461538461538,0.0,-27,27,-7.417582417582423,7.417582417582418,4
17,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,20,4,2,76.92307692307693,15.384615384615385,7.6923076923076925,364,350,14,364,310,54,96.15384615384616,3.8461538461538463,85.16483516483517,14.835164835164836,-5,4,1,-19.230769230769226,15.384615384615385,3.8461538461538463,-40,40,-10.989010989010993,10.989010989010989,3
18,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,26,25,0,1,96.15384615384616,0.0,3.8461538461538463,364,350,14,364,350,14,96.15384615384616,3.8461538461538463,96.15384615384616,3.8461538461538463,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
