class_name,class_original_classification,classification_final_list
Agent,category,not
Agent_Trustee,rolemixin,not
Aspectual_Belief,kind,not
Atomic_Intention,category,not
Belief,category,not
Capability_Belief,role,can
Complex_Intention,category,not
Desire,category,not
Disposition_Belief,subkind,can
Endurant,category,can
Intention,category,not
Intention_Belief,subkind,can
Mental_Moment,category,not
Moment,category,not
Object,category,is
Perception,category,not
Social_System,kind,is
Social_System_Trustee,role,can
Substantial,category,can
Trust-Warranting_Signal,rolemixin,not
Trust_Calibration_Signal,rolemixin,not
Trustee,rolemixin,not
Trustor,rolemixin,not
Trustworthiness_Evidence,category,not
Uncertainty_Signal,rolemixin,not
Vulnerability_Belief,role,can
