execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1800089851021767e-05,1.0599964298307896e-05,1.2199976481497288e-05,0.009095399989746511,1.3399985618889332e-05,0.005798599915578961,1.2899981811642647e-05,1.9000144675374031e-06,1.1300086043775082e-05,2.3399945348501205e-05,7.79994297772646e-06,0.005682599963620305,6.6999346017837524e-06,5.800044164061546e-06,9.09995287656784e-06,0.02070349978748709
2,1.200009137392044e-05,1.0599964298307896e-05,1.1599971912801266e-05,0.020797899924218655,1.1900090612471104e-05,1.2899981811642647e-05,7.730000652372837e-05,1.800013706088066e-06,1.1600088328123093e-05,2.189993392676115e-05,1.0500079952180386e-05,0.009110300103202462,6.300047971308231e-06,5.499925464391708e-06,8.400063961744308e-06,0.030110500287264585
3,0.01593330001924187,0.0038031998556107283,0.00773389998357743,0.004737999988719821,0.016105600050650537,0.010717900120653212,1.2499978765845299e-05,1.800013706088066e-06,1.109996810555458e-05,2.1699932403862476e-05,7.5999414548277855e-06,0.007109199999831617,0.0014054999919608235,0.0013083999510854483,8.899951353669167e-06,0.06891859974712133
4,1.1399970389902592e-05,1.070008147507906e-05,1.1299853213131428e-05,0.02060439996421337,1.1600088328123093e-05,0.011118100141175091,1.1499971151351929e-05,1.700012944638729e-06,1.0999967344105244e-05,2.1400046534836292e-05,7.400056347250938e-06,0.009052100009284914,5.800044164061546e-06,5.400041118264198e-06,7.70005863159895e-06,0.04089150030631572
5,1.1600088328123093e-05,1.0599847882986069e-05,1.1800089851021767e-05,0.014941400033421814,1.189985778182745e-05,0.008651999989524484,1.2800097465515137e-05,2.00001522898674e-06,1.1299853213131428e-05,2.3799948394298553e-05,7.3999399319291115e-06,0.007465200033038855,6.100046448409557e-06,5.500041879713535e-06,8.200062438845634e-06,0.03118159994482994
6,1.1499971151351929e-05,7.95999076217413e-05,1.1300086043775082e-05,1.019984483718872e-05,7.580011151731014e-05,1.1599971912801266e-05,7.620011456310749e-05,1.5998957678675652e-06,1.0600080713629723e-05,2.0400038920342922e-05,7.1999384090304375e-06,5.400041118264198e-06,0.0004731999943032861,0.0003749000607058406,8.70006624609232e-06,0.0011782001238316298
7,1.589988823980093e-05,1.4399876818060875e-05,1.309998333454132e-05,0.02059119986370206,1.2899981811642647e-05,0.011961499927565455,1.5199999324977398e-05,2.100015990436077e-06,1.1800089851021767e-05,2.5600078515708447e-05,7.900060154497623e-06,0.00988540006801486,6.3999323174357414e-06,5.600042641162872e-06,8.899951353669167e-06,0.04257789975963533
8,1.1299969628453255e-05,1.3699987903237343e-05,1.4999881386756897e-05,0.013903100043535233,1.1499971151351929e-05,0.008764800033532083,1.1600088328123093e-05,1.800013706088066e-06,1.089985016733408e-05,2.0900159142911434e-05,7.300055585801601e-06,0.007382899988442659,6.00004568696022e-06,5.400041118264198e-06,7.79994297772646e-06,0.030174000072292984
9,1.1599971912801266e-05,0.0018022999865934253,1.2900098226964474e-05,1.1199968867003918e-05,0.008528700098395348,0.011093399953097105,1.309998333454132e-05,2.200016751885414e-06,1.489988062530756e-05,2.41999514400959e-05,8.200062438845634e-06,5.500041879713535e-06,0.0015985999489203095,0.0010748000349849463,1.1400086805224419e-05,0.024213000084273517
10,1.2400094419717789e-05,1.0500079952180386e-05,1.189985778182745e-05,8.379993960261345e-05,1.0500079952180386e-05,0.00011220003943890333,1.170008908957243e-05,1.9000144675374031e-06,1.9000028260052204e-05,4.219985567033291e-05,7.4999406933784485e-06,0.0019099999917671084,5.799927748739719e-06,5.500041879713535e-06,8.599949069321156e-06,0.002253499929793179
11,1.2100092135369778e-05,1.070008147507906e-05,1.170008908957243e-05,0.015409499988891184,1.2299977242946625e-05,0.012310000020079315,1.2900098226964474e-05,2.100015990436077e-06,1.1500087566673756e-05,2.4600070901215076e-05,7.70005863159895e-06,0.007835700060240924,6.5999338403344154e-06,5.800044164061546e-06,9.00006853044033e-06,0.035682200687006116
12,1.1800089851021767e-05,8.290004916489124e-05,1.200009137392044e-05,1.0699848644435406e-05,8.25000461190939e-05,0.011696500005200505,1.179997343569994e-05,1.800013706088066e-06,1.4900113455951214e-05,2.3900065571069717e-05,7.400056347250938e-06,5.400041118264198e-06,0.00042949989438056946,0.0003391000209376216,8.999952115118504e-06,0.012739200261421502
13,1.2900098226964474e-05,1.100008375942707e-05,1.189985778182745e-05,0.01043500006198883,1.209997572004795e-05,0.006447399966418743,1.3199984095990658e-05,2.600019797682762e-06,1.1699972674250603e-05,2.4300068616867065e-05,7.6000578701496124e-06,0.006045699934475124,6.4999330788850784e-06,5.800044164061546e-06,9.200070053339005e-06,0.02305690012872219
14,1.2599979527294636e-05,1.1100084520876408e-05,1.2400094419717789e-05,0.004502999945543706,1.2699980288743973e-05,0.002955000032670796,1.2499978765845299e-05,2.00001522898674e-06,1.1699972674250603e-05,2.429995220154524e-05,7.699942216277122e-06,0.004036700003780425,7.500057108700275e-06,5.899928510189056e-06,9.299954399466515e-06,0.01162439992185682
15,1.2400094419717789e-05,1.1300086043775082e-05,1.2099859304726124e-05,0.011504699941724539,1.3499869965016842e-05,0.005998699925839901,1.2699980288743973e-05,2.100015990436077e-06,1.2599863111972809e-05,2.5999965146183968e-05,8.200062438845634e-06,0.005991699988953769,6.700051017105579e-06,5.700043402612209e-06,8.999952115118504e-06,0.023627399699762464
16,1.1899974197149277e-05,1.079996582120657e-05,1.1999974958598614e-05,0.015294799930416048,1.1900090612471104e-05,0.008590399869717658,1.2899981811642647e-05,1.800013706088066e-06,1.1599855497479439e-05,2.259993925690651e-05,7.79994297772646e-06,0.007492000004276633,5.999929271638393e-06,8.70006624609232e-06,8.500064723193645e-06,0.03150369960349053
17,0.012449499918147922,0.0009186000097543001,0.005497500067576766,0.002445799997076392,0.004062000080011785,0.00829280016478151,1.2400094419717789e-05,1.9000144675374031e-06,1.1099851690232754e-05,2.2300053387880325e-05,7.5999414548277855e-06,0.005461700027808547,0.0004331000382080674,0.000404000049456954,8.800067007541656e-06,0.04002910037524998
18,1.179997343569994e-05,0.0001175999641418457,1.1900090612471104e-05,1.2600095942616463e-05,8.089991752058268e-05,1.2200092896819115e-05,8.080014958977699e-05,1.9000144675374031e-06,1.1099851690232754e-05,2.0400038920342922e-05,7.999944500625134e-06,5.699926987290382e-06,0.0005320999771356583,0.0004126999992877245,8.900067768990993e-06,0.0013286001048982143
19,1.1599971912801266e-05,1.0300078429281712e-05,1.0800082236528397e-05,0.004118400043807924,1.0800082236528397e-05,0.0027470000786706805,1.1399970389902592e-05,1.7998972907662392e-06,1.0500079952180386e-05,2.1099927835166454e-05,6.7999353632330894e-06,0.0035815000301226974,5.799927748739719e-06,5.200039595365524e-06,8.400063961744308e-06,0.01056140020955354
20,1.179997343569994e-05,1.0399962775409222e-05,1.2999982573091984e-05,0.00912949990015477,1.2299977242946625e-05,1.2600095942616463e-05,8.009991142898798e-05,1.800013706088066e-06,1.0900082997977734e-05,2.22999369725585e-05,7.1999384090304375e-06,0.005719600012525916,6.3999323174357414e-06,5.700043402612209e-06,8.599949069321156e-06,0.015052199712954462
21,1.2200092896819115e-05,1.0800082236528397e-05,1.1999858543276787e-05,0.004568500095047057,1.2200092896819115e-05,1.27000967040658e-05,0.012599099893122911,2.200016751885414e-06,1.279998105019331e-05,2.5099958293139935e-05,8.200062438845634e-06,0.0039654000429436564,6.5999338403344154e-06,5.800044164061546e-06,8.900067768990993e-06,0.021262500318698585
22,1.5199882909655571e-05,1.1299969628453255e-05,1.209997572004795e-05,0.009741900023072958,1.2499862350523472e-05,1.3399985618889332e-05,0.011661100084893405,2.200016751885414e-06,1.2500095181167126e-05,2.420006785541773e-05,7.699942216277122e-06,0.005943899974226952,6.9999368861317635e-06,5.900044925510883e-06,8.70006624609232e-06,0.027479599928483367
23,1.219986006617546e-05,1.0999967344105244e-05,1.2200092896819115e-05,0.014141299994662404,1.2199976481497288e-05,1.300009898841381e-05,8.130003698170185e-05,2.100015990436077e-06,1.1499971151351929e-05,2.259993925690651e-05,7.5999414548277855e-06,0.008351799915544689,9.999959729611874e-06,9.400071576237679e-06,1.3399985618889332e-05,0.022711599827744067
24,1.1499971151351929e-05,1.0999967344105244e-05,1.1599971912801266e-05,0.004218499991111457,1.170008908957243e-05,0.002860700013116002,1.179997343569994e-05,1.700012944638729e-06,1.0999967344105244e-05,2.1400046534836292e-05,7.6000578701496124e-06,0.0036868000170215964,6.100046448409557e-06,5.700043402612209e-06,8.200062438845634e-06,0.010885300231166184
25,1.2100092135369778e-05,1.0699965059757233e-05,1.1399970389902592e-05,0.009590100031346083,1.9099912606179714e-05,1.659989356994629e-05,0.00012860004790127277,2.299901098012924e-06,1.4499993994832039e-05,2.6600086130201817e-05,7.500057108700275e-06,0.0059662999119609594,6.300047971308231e-06,5.500041879713535e-06,8.699949830770493e-06,0.01582629990298301
26,1.3399985618889332e-05,8.499994874000549e-05,1.279998105019331e-05,1.0999967344105244e-05,8.070014882832766e-05,1.2499978765845299e-05,8.010002784430981e-05,1.800013706088066e-06,1.1300086043775082e-05,2.189993392676115e-05,7.900060154497623e-06,5.900044925510883e-06,0.0005171000957489014,0.0003839000128209591,9.399955160915852e-06,0.0012547002406790853
