execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.1899974197149277e-05,1.2899981811642647e-05,1.1699972674250603e-05,7.3999399319291115e-06,6.300047971308231e-06,8.79995059221983e-06,0.005873699905350804,0.009650200023315847,2.200016751885414e-06,0.005934100016020238,1.0999967344105244e-05,1.1699856258928776e-05,5.600042641162872e-06,2.2699940018355846e-05,1.1699856258928776e-05,0.021581899491138756
2,8.100003469735384e-05,1.2299977242946625e-05,1.1100084520876408e-05,7.400056347250938e-06,6.5999338403344154e-06,8.399947546422482e-06,0.009512100019492209,0.02142260002437979,1.800013706088066e-06,1.279998105019331e-05,1.0800082236528397e-05,1.209997572004795e-05,5.700043402612209e-06,2.1999934688210487e-05,1.1499971151351929e-05,0.031138200080022216
3,1.27000967040658e-05,0.016415800084359944,1.2199976481497288e-05,7.6000578701496124e-06,0.001502299914136529,9.499955922365189e-06,0.007574400049634278,0.004814300104044378,2.00001522898674e-06,0.011524599976837635,0.0039776001358404756,0.01762080006301403,0.0013788000214844942,2.41999514400959e-05,0.008002100163139403,0.07287890056613833
4,1.2399978004395962e-05,1.2599979527294636e-05,1.1400086805224419e-05,7.900060154497623e-06,6.09993003308773e-06,8.399947546422482e-06,0.009484300040639937,0.02015000011306256,1.800013706088066e-06,0.011483300128020346,1.0500079952180386e-05,1.200009137392044e-05,5.500041879713535e-06,2.1900050342082977e-05,1.1400086805224419e-05,0.041239500627852976
5,1.179997343569994e-05,1.1499971151351929e-05,1.109996810555458e-05,7.400056347250938e-06,6.100046448409557e-06,8.499948307871819e-06,0.007630100008100271,0.01473630010150373,1.700012944638729e-06,0.008446299936622381,9.999959729611874e-06,1.170008908957243e-05,6.9999368861317635e-06,2.2000051103532314e-05,1.1300086043775082e-05,0.030932800145819783
6,7.51999905332923e-05,1.1900090612471104e-05,1.0600080713629723e-05,7.0999376475811005e-06,0.0004705000901594758,8.899951353669167e-06,5.400041118264198e-06,9.899958968162537e-06,1.600012183189392e-06,1.1399970389902592e-05,7.810001261532307e-05,7.43999844416976e-05,0.00037240004166960716,2.0300038158893585e-05,1.1299969628453255e-05,0.0011690001701936126
7,1.2599979527294636e-05,1.650000922381878e-05,1.1400086805224419e-05,7.400056347250938e-06,6.500049494206905e-06,8.800067007541656e-06,0.009569299989379942,0.02143740002065897,2.100015990436077e-06,0.011792299919761717,1.400010660290718e-05,1.3499869965016842e-05,5.599926225841045e-06,2.4099950678646564e-05,1.54001172631979e-05,0.04293690016493201
8,1.7600134015083313e-05,1.8300022929906845e-05,1.8300022929906845e-05,1.1699972674250603e-05,9.299954399466515e-06,1.2899981811642647e-05,0.009569799993187189,0.01994850009214133,2.100015990436077e-06,0.01328280009329319,1.780001912266016e-05,1.840014010667801e-05,9.09995287656784e-06,3.0800001695752144e-05,1.9499915651977062e-05,0.04298690031282604
9,1.1500087566673756e-05,1.1399970389902592e-05,1.0999850928783417e-05,7.2999391704797745e-06,0.0013059000484645367,9.299954399466515e-06,5.499925464391708e-06,1.0300078429281712e-05,1.700012944638729e-06,0.011221399996429682,0.0017591000068932772,0.008075499907135963,0.0010340999579057097,2.150004729628563e-05,1.1799857020378113e-05,0.02349729964043945
10,1.0100076906383038e-05,1.1400086805224419e-05,1.0300078429281712e-05,7.00005330145359e-06,5.699926987290382e-06,8.09994526207447e-06,0.0018894000677391887,7.950013969093561e-05,1.700012944638729e-06,7.740012370049953e-05,1.0399962775409222e-05,1.0199961252510548e-05,5.300040356814861e-06,2.0099920220673084e-05,1.1100084520876408e-05,0.0021577004808932543
