class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Value_Experience,event,other,True,False,False,0,1,1
Outcome,event,other,False,True,False,1,0,1
Risk_Event,event,other,False,False,True,1,2,7
Threat_Event,event,other,False,True,False,3,0,7
Resulting_Situation,situation,other,True,False,False,0,2,2
Loss_Event,event,other,False,True,False,3,0,7
Successful_Situation,situation,other,False,True,False,1,0,2
Game_Player,rolemixin,rolemixin,False,True,False,1,0,1
Gain_Event,event,other,False,True,False,2,0,7
Trigger_Event,event,other,False,False,True,1,1,7
Impact_Event,event,other,False,False,True,1,2,7
Value_Event,event,other,True,False,False,0,7,7
Threatening_Situation,situation,other,False,True,False,1,0,2
Action_Profile,event,other,False,True,False,1,0,7
Agent,category,category,True,False,False,0,1,1
