execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,15,3,1,78.94736842105263,15.789473684210526,5.263157894736842,266,252,14,266,234,32,94.73684210526315,5.263157894736842,87.96992481203007,12.030075187969924,-3,3,0,-15.78947368421052,15.789473684210526,0.0,-18,18,-6.766917293233078,6.7669172932330826,4
2,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,16,2,1,84.21052631578947,10.526315789473683,5.263157894736842,266,252,14,266,240,26,94.73684210526315,5.263157894736842,90.22556390977444,9.774436090225564,-2,2,0,-10.526315789473685,10.526315789473683,0.0,-12,12,-4.511278195488714,4.511278195488722,3
3,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,16,2,1,84.21052631578947,10.526315789473683,5.263157894736842,266,252,14,266,234,32,94.73684210526315,5.263157894736842,87.96992481203007,12.030075187969924,-2,2,0,-10.526315789473685,10.526315789473683,0.0,-18,18,-6.766917293233078,6.7669172932330826,2
4,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,16,2,1,84.21052631578947,10.526315789473683,5.263157894736842,266,252,14,266,234,32,94.73684210526315,5.263157894736842,87.96992481203007,12.030075187969924,-2,2,0,-10.526315789473685,10.526315789473683,0.0,-18,18,-6.766917293233078,6.7669172932330826,2
5,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,16,2,1,84.21052631578947,10.526315789473683,5.263157894736842,266,252,14,266,240,26,94.73684210526315,5.263157894736842,90.22556390977444,9.774436090225564,-2,2,0,-10.526315789473685,10.526315789473683,0.0,-12,12,-4.511278195488714,4.511278195488722,3
6,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,13,5,1,68.42105263157895,26.31578947368421,5.263157894736842,266,252,14,266,214,52,94.73684210526315,5.263157894736842,80.45112781954887,19.548872180451127,-5,5,0,-26.315789473684205,26.31578947368421,0.0,-38,38,-14.285714285714278,14.285714285714285,2
7,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,15,3,1,78.94736842105263,15.789473684210526,5.263157894736842,266,252,14,266,225,41,94.73684210526315,5.263157894736842,84.58646616541353,15.413533834586465,-3,3,0,-15.78947368421052,15.789473684210526,0.0,-27,27,-10.150375939849624,10.150375939849624,4
8,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,16,2,1,84.21052631578947,10.526315789473683,5.263157894736842,266,252,14,266,234,32,94.73684210526315,5.263157894736842,87.96992481203007,12.030075187969924,-2,2,0,-10.526315789473685,10.526315789473683,0.0,-18,18,-6.766917293233078,6.7669172932330826,3
9,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,15,3,1,78.94736842105263,15.789473684210526,5.263157894736842,266,252,14,266,234,32,94.73684210526315,5.263157894736842,87.96992481203007,12.030075187969924,-3,3,0,-15.78947368421052,15.789473684210526,0.0,-18,18,-6.766917293233078,6.7669172932330826,4
10,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,18,0,1,94.73684210526315,0.0,5.263157894736842,266,252,14,266,252,14,94.73684210526315,5.263157894736842,94.73684210526315,5.263157894736842,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
11,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,14,4,1,73.68421052631578,21.052631578947366,5.263157894736842,266,252,14,266,224,42,94.73684210526315,5.263157894736842,84.21052631578947,15.789473684210526,-4,4,0,-21.05263157894737,21.052631578947366,0.0,-28,28,-10.526315789473685,10.526315789473685,3
12,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,14,4,1,73.68421052631578,21.052631578947366,5.263157894736842,266,252,14,266,224,42,94.73684210526315,5.263157894736842,84.21052631578947,15.789473684210526,-4,4,0,-21.05263157894737,21.052631578947366,0.0,-28,28,-10.526315789473685,10.526315789473685,3
13,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,17,1,1,89.47368421052632,5.263157894736842,5.263157894736842,266,252,14,266,243,23,94.73684210526315,5.263157894736842,91.35338345864662,8.646616541353383,-1,1,0,-5.263157894736835,5.263157894736842,0.0,-9,9,-3.383458646616532,3.3834586466165417,2
14,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,15,3,1,78.94736842105263,15.789473684210526,5.263157894736842,266,252,14,266,234,32,94.73684210526315,5.263157894736842,87.96992481203007,12.030075187969924,-3,3,0,-15.78947368421052,15.789473684210526,0.0,-18,18,-6.766917293233078,6.7669172932330826,4
15,19,18,0,1,94.73684210526315,0.0,5.263157894736842,19,15,3,1,78.94736842105263,15.789473684210526,5.263157894736842,266,252,14,266,234,32,94.73684210526315,5.263157894736842,87.96992481203007,12.030075187969924,-3,3,0,-15.78947368421052,15.789473684210526,0.0,-18,18,-6.766917293233078,6.7669172932330826,4
