class_name,class_original_classification,classification_final_list
Bidirectional_Flow_VC_Token,rolemixin,can
Closed_VC_Token,rolemixin,is
Currency,kind,can
Currency_Quality_Space_Structure,kind,can
Digital_Monetary_Object,rolemixin,can
Monetary_Object,rolemixin,is
Money_Status_Function_Description,category,can
Normative_Description,category,is
Not_Valid_Monetary_Object,phasemixin,is
Object,category,is
Physical_Monetary_Object,rolemixin,can
Purchaseble_VC_Token,rolemixin,can
Social_Object,category,can
Unidirectional_Flow_VC_Token,rolemixin,is
Valid_Monetary_Object,phasemixin,can
Virtual_Currency_Quality_Structure,kind,can
Virtual_Currency_Scheme_Description,category,can
Virtual_Currency_Token,rolemixin,can
Virtual_currency,kind,can
