class_name,class_original_classification,classification_final_list
Bidirectional_Flow_VC_Token,rolemixin,can
Closed_VC_Token,rolemixin,is
Currency,kind,is
Currency_Quality_Space_Structure,kind,is
Digital_Monetary_Object,rolemixin,can
Monetary_Object,rolemixin,is
Money_Status_Function_Description,category,is
Normative_Description,category,can
Not_Valid_Monetary_Object,phasemixin,is
Object,category,can
Physical_Monetary_Object,rolemixin,can
Purchaseble_VC_Token,rolemixin,can
Social_Object,category,is
Unidirectional_Flow_VC_Token,rolemixin,can
Valid_Monetary_Object,phasemixin,is
Virtual_Currency_Quality_Structure,kind,can
Virtual_Currency_Scheme_Description,category,is
Virtual_Currency_Token,rolemixin,is
Virtual_currency,kind,can
