execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0800082236528397e-05,1.070008147507906e-05,1.0499963536858559e-05,5.899928510189056e-06,5.599926225841045e-06,6.09993003308773e-06,0.0034365999745205045,0.014405200025066733,0.0004227999597787857,0.00862780015449971,8.999952115118504e-06,1.079996582120657e-05,4.700035788118839e-06,1.370010431855917e-05,9.7999582067132e-06,0.026990000042133033
2,1.1199968867003918e-05,1.0399962775409222e-05,1.0699965059757233e-05,6.6999346017837524e-06,5.699926987290382e-06,6.3999323174357414e-06,0.0036202999763190746,0.0146795999025926,0.0004186000442132354,0.008813499938696623,9.299954399466515e-06,1.1300086043775082e-05,5.100038833916187e-06,1.479999627918005e-05,1.0400079190731049e-05,0.02763399970717728
3,1.27000967040658e-05,1.0800082236528397e-05,1.0999967344105244e-05,6.300047971308231e-06,5.900044925510883e-06,6.199930794537067e-06,0.003315199981443584,0.014719299972057343,0.0004498999333009124,0.009813799988478422,9.400071576237679e-06,1.0999967344105244e-05,5.100038833916187e-06,1.4300108887255192e-05,1.3699871487915516e-05,0.028404600103385746
4,1.2500095181167126e-05,1.0899966582655907e-05,1.089985016733408e-05,6.200047209858894e-06,5.300040356814861e-06,5.700043402612209e-06,0.003136599902063608,0.01464290008880198,0.0004594998899847269,0.008826300036162138,8.999952115118504e-06,1.079996582120657e-05,4.699919372797012e-06,1.400010660290718e-05,1.070008147507906e-05,0.027165999985300004
5,1.0900082997977734e-05,1.079996582120657e-05,1.00000761449337e-05,8.300063200294971e-06,5.499925464391708e-06,5.600042641162872e-06,0.0031865000491961837,0.015274100005626678,0.000408099964261055,0.008651599986478686,9.200070053339005e-06,9.999959729611874e-06,4.700035788118839e-06,1.3200100511312485e-05,9.999959729611874e-06,0.027618500287644565
6,1.1399970389902592e-05,1.070008147507906e-05,1.219986006617546e-05,6.100046448409557e-06,5.999929271638393e-06,6.200047209858894e-06,0.0028073000721633434,0.009871600079350173,0.00632070004940033,0.0063041000394150615,9.300070814788342e-06,1.0300078429281712e-05,5.00003807246685e-06,1.5600002370774746e-05,1.0499847121536732e-05,0.02540700021199882
7,1.0599964298307896e-05,1.0800082236528397e-05,1.0599847882986069e-05,5.800044164061546e-06,5.500041879713535e-06,6.09993003308773e-06,0.001608200022019446,0.004454099922440946,0.0030339000513777137,0.0029533999040722847,8.900067768990993e-06,1.0100076906383038e-05,5.00003807246685e-06,1.370010431855917e-05,1.1400086805224419e-05,0.0121481001842767
8,1.3200100511312485e-05,1.4300108887255192e-05,1.1399970389902592e-05,5.899928510189056e-06,5.900044925510883e-06,6.3999323174357414e-06,0.0034773999359458685,0.014607599936425686,0.0004653000505641103,0.011314800009131432,1.0200077667832375e-05,2.3400061763823032e-05,4.700035788118839e-06,1.5199999324977398e-05,1.0599964298307896e-05,0.02998630015645176
9,1.179997343569994e-05,1.4899997040629387e-05,1.1500087566673756e-05,6.8999361246824265e-06,6.100046448409557e-06,6.6999346017837524e-06,0.0036643000785261393,0.015696900081820786,0.0004608000162988901,0.009605900035239756,1.070008147507906e-05,1.2299977242946625e-05,5.100038833916187e-06,1.4699995517730713e-05,1.2999982573091984e-05,0.029541600262746215
10,9.699957445263863e-06,1.0899966582655907e-05,9.900075383484364e-06,6.300047971308231e-06,5.799927748739719e-06,6.300047971308231e-06,0.000937200034968555,8.570007048547268e-05,1.079996582120657e-05,8.509994950145483e-05,9.899958968162537e-06,9.800074622035027e-06,5.400041118264198e-06,1.3999873772263527e-05,1.0800082236528397e-05,0.001217600074596703
