execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0299962013959885e-05,9.300012607127428e-06,9.800016414374113e-06,0.015520800021477044,1.0299962013959885e-05,0.008495699963532388,1.0999967344105244e-05,2.100015990436077e-06,1.0100018698722124e-05,1.2999982573091984e-05,5.89998671784997e-06,0.003070899983868003,5.199981387704611e-06,4.799978341907263e-06,5.599984433501959e-06,0.027184799837414175
2,1.0600022505968809e-05,1.2699980288743973e-05,1.4699995517730713e-05,0.016581100004259497,1.3700046110898256e-05,0.010078099963720888,2.0300038158893585e-05,1.9999570213258266e-06,1.0999967344105244e-05,1.580000389367342e-05,6.399990525096655e-06,0.0034756000386551023,5.699985194951296e-06,5.099980626255274e-06,6.300047971308231e-06,0.03025910002179444
3,1.0600022505968809e-05,9.300012607127428e-06,9.899958968162537e-06,0.015552499971818179,1.079996582120657e-05,0.008712499984540045,1.160003012046218e-05,2.00001522898674e-06,1.0199961252510548e-05,1.4199991710484028e-05,6.199989002197981e-06,0.003133899997919798,5.399982910603285e-06,4.8999791033566e-06,5.999987479299307e-06,0.027499999850988388
4,1.0499963536858559e-05,9.100011084228754e-06,1.009996049106121e-05,0.015819800028111786,1.1999974958598614e-05,0.008792500011622906,1.1499971151351929e-05,2.00001522898674e-06,1.0300078429281712e-05,1.4099990949034691e-05,6.099988240748644e-06,0.0036973999813199043,5.699985194951296e-06,4.799978341907263e-06,6.399990525096655e-06,0.028412299929186702
5,1.0699965059757233e-05,9.500014130026102e-06,1.0600022505968809e-05,0.016457199992146343,1.1100026313215494e-05,0.00901839998550713,1.0699965059757233e-05,1.999898813664913e-06,1.0599964298307896e-05,1.4699995517730713e-05,6.299989763647318e-06,0.0033132999669760466,5.600042641162872e-06,4.999979864805937e-06,1.0500021744519472e-05,0.028896199830342084
6,1.0599964298307896e-05,9.300012607127428e-06,1.0000017937272787e-05,0.00904359994456172,1.1400028597563505e-05,0.006263800023589283,1.2300035450607538e-05,1.700012944638729e-06,1.390004763379693e-05,1.4100049156695604e-05,6.100046448409557e-06,0.0023653999669477344,5.299982149153948e-06,4.699977580457926e-06,6.099988240748644e-06,0.017778300098143518
7,1.0299962013959885e-05,9.400071576237679e-06,1.0000017937272787e-05,0.0043901000171899796,1.0300020221620798e-05,0.002945799962617457,1.0600080713629723e-05,1.800013706088066e-06,9.7999582067132e-06,1.3499986380338669e-05,6.199989002197981e-06,0.0015931999660097063,5.599984433501959e-06,4.900037311017513e-06,5.999987479299307e-06,0.00902750005479902
8,1.0500079952180386e-05,1.1700030881911516e-05,9.899958968162537e-06,0.015022199950180948,1.1000025551766157e-05,0.009136000007856637,1.1000025551766157e-05,2.0999577827751637e-06,9.700015652924776e-06,1.3499986380338669e-05,5.800044164061546e-06,0.0031353000085800886,5.600042641162872e-06,4.900037311017513e-06,5.799985956400633e-06,0.02739500015741214
9,9.699957445263863e-06,8.79995059221983e-06,9.399955160915852e-06,0.014750399976037443,1.0699965059757233e-05,0.008412699971813709,1.0199961252510548e-05,1.9000144675374031e-06,9.90001717582345e-06,2.3800006601959467e-05,6.300047971308231e-06,0.0030710999853909016,5.299982149153948e-06,4.699977580457926e-06,5.599984433501959e-06,0.026340499753132463
10,9.800016414374113e-06,8.700008038431406e-06,9.399955160915852e-06,7.910002022981644e-05,8.999952115118504e-06,7.870001718401909e-05,8.699949830770493e-06,1.800013706088066e-06,9.100011084228754e-06,1.5400000847876072e-05,5.699985194951296e-06,0.0008142999722622335,5.399982910603285e-06,4.699977580457926e-06,5.89998671784997e-06,0.0010656998492777348
