execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.009750699624419212,1.0500196367502213e-05,9.700190275907516e-06,9.899958968162537e-06,0.0006992998532950878,7.0999376475811005e-06,4.600267857313156e-06,9.399838745594025e-06,1.9995495676994324e-06,1.0999850928783417e-05,0.0016948999837040901,0.007598499767482281,0.00042269984260201454,0.0019704001024365425,1.0800082236528397e-05,0.0222114990465343
2,8.459994569420815e-05,1.00000761449337e-05,9.200070053339005e-06,6.6999346017837524e-06,0.00029350025579333305,6.899703294038773e-06,4.500150680541992e-06,8.399598300457e-06,1.7997808754444122e-06,1.0400079190731049e-05,8.670007809996605e-05,6.92000612616539e-05,0.0001647002063691616,1.4099758118391037e-05,9.499490261077881e-06,0.0007801991887390614
3,0.0001292000524699688,1.180032268166542e-05,3.1999778002500534e-05,8.90018418431282e-06,0.0005644997581839561,1.3200100511312485e-05,4.800036549568176e-06,2.6999972760677338e-05,2.400018274784088e-06,1.1899508535861969e-05,0.00010609999299049377,9.930040687322617e-05,0.00023139966651797295,2.7199741452932358e-05,3.279978409409523e-05,0.0013024993240833282
4,0.009864500258117914,1.0600313544273376e-05,1.0300427675247192e-05,7.6000578701496124e-06,0.0008636000566184521,6.6999346017837524e-06,4.800036549568176e-06,9.499955922365189e-06,2.00001522898674e-06,1.1100433766841888e-05,0.0017420998774468899,0.007969599682837725,0.000645000021904707,0.0019291997887194157,1.1399853974580765e-05,0.0230880007147789
5,0.00010659964755177498,1.3300217688083649e-05,1.820037141442299e-05,9.700190275907516e-06,0.00042079994454979897,6.800051778554916e-06,4.800036549568176e-06,1.0500196367502213e-05,2.400483936071396e-06,1.1899974197149277e-05,8.889986202120781e-05,0.00010449998080730438,0.0002949000336229801,4.519987851381302e-05,1.270044595003128e-05,0.0011512013152241707
6,7.29002058506012e-05,1.0400079190731049e-05,9.700190275907516e-06,6.6999346017837524e-06,0.0003156997263431549,6.6999346017837524e-06,4.3995678424835205e-06,1.3799872249364853e-05,2.100132405757904e-06,1.0299962013959885e-05,7.990049198269844e-05,8.96994024515152e-05,0.00020539993420243263,1.910002902150154e-05,1.0400079190731049e-05,0.0008571995422244072
7,6.810016930103302e-05,1.0099727660417557e-05,9.100418537855148e-06,6.9998204708099365e-06,0.00033800024539232254,6.9998204708099365e-06,4.600267857313156e-06,8.699949830770493e-06,1.6996636986732483e-06,9.499955922365189e-06,7.200008258223534e-05,6.959959864616394e-05,0.00025349995121359825,1.4399643987417221e-05,9.799841791391373e-06,0.0008830991573631763
8,0.006449900101870298,1.0599847882986069e-05,1.6299542039632797e-05,7.6000578701496124e-06,0.0005616997368633747,6.90016895532608e-06,4.800036549568176e-06,9.200070053339005e-06,3.9995647966861725e-06,1.58003531396389e-05,0.001281800214201212,0.004962500184774399,0.00040089990943670273,0.0011273999698460102,1.109996810555458e-05,0.014870499726384878
9,1.1400319635868073e-05,1.0099727660417557e-05,9.200535714626312e-06,6.399583071470261e-06,5.200039595365524e-06,6.299931555986404e-06,0.0012330999597907066,7.040007039904594e-05,1.7997808754444122e-06,7.379986345767975e-05,8.499715477228165e-06,8.699484169483185e-06,4.500150680541992e-06,1.4699995517730713e-05,9.200070053339005e-06,0.001473299227654934
10,1.00000761449337e-05,0.007851899601519108,9.500421583652496e-06,6.4997002482414246e-06,5.300156772136688e-06,6.00004568696022e-06,0.0023981002159416676,0.000855699647217989,1.700129359960556e-06,0.0052499002777040005,7.309997454285622e-05,7.310044020414352e-05,4.600267857313156e-06,1.640012487769127e-05,8.770031854510307e-05,0.016649501398205757
11,1.0999385267496109e-05,0.009757899679243565,9.699724614620209e-06,8.100178092718124e-06,6.800051778554916e-06,7.0999376475811005e-06,0.002769799903035164,0.0009063002653419971,1.7997808754444122e-06,0.00590420002117753,7.520057260990143e-05,7.71000050008297e-05,4.999805241823196e-06,1.7600134015083313e-05,0.00012310035526752472,0.019680699799209833
12,9.200070053339005e-06,7.910048589110374e-05,9.300187230110168e-06,6.500165909528732e-06,0.0008598999120295048,7.4999406933784485e-06,4.500150680541992e-06,9.700190275907516e-06,1.7997808754444122e-06,7.819989696145058e-05,0.00486359978094697,0.01648679981008172,0.0007389001548290253,1.4699995517730713e-05,0.0025635994970798492,0.025733300019055605
13,6.820028647780418e-05,9.799841791391373e-06,8.999835699796677e-06,6.6999346017837524e-06,0.00020560016855597496,6.70040026307106e-06,4.500150680541992e-06,8.400529623031616e-06,1.700129359960556e-06,9.700190275907516e-06,7.109995931386948e-05,6.850017234683037e-05,0.0001684003509581089,1.3899989426136017e-05,9.400304406881332e-06,0.0006616022437810898
14,1.0100193321704865e-05,8.270004764199257e-05,9.900424629449844e-06,6.4997002482414246e-06,0.0013482999056577682,1.0699965059757233e-05,5.200039595365524e-06,3.100000321865082e-05,1.5099532902240753e-05,8.470006287097931e-05,0.00824299966916442,0.03223560005426407,0.0013571996241807938,1.7200130969285965e-05,0.004044999834150076,0.047502199187874794
