execution_number,input_class_name,input_class_stereotype
1,Agriculture,subkind
2,Arts,subkind
3,AstronomicalTheory,subkind
4,Biology,subkind
5,Botany,subkind
6,Dance,subkind
7,Ethics,subkind
8,FirstPhilosophy-Metaphysics,subkind
9,Mathematics,subkind
10,Medicine,subkind
11,Music,subkind
12,NaturalPhilosophy-Physics,subkind
13,Politics,subkind
14,PracticalSciences,kind
15,ProductiveSciences,kind
16,Psychology,subkind
17,Science-Knowledge,category
18,Ship-building,subkind
19,SpecialSciences,subkind
20,Theatre,subkind
21,TheoreticalSciences,kind
