execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.1199968867003918e-05,7.819995516911149e-05,1.1400028597563505e-05,1.0300020221620798e-05,7.940002251416445e-05,0.004634800017811358,1.1100026313215494e-05,1.1200027074664831e-05,1.0200019460171461e-05,1.8199963960796595e-05,6.89999433234334e-06,5.199981387704611e-06,0.0002494999789632857,0.0001781000173650682,8.400005754083395e-06,0.005324100027792156
2,1.109996810555458e-05,0.002420599979814142,1.1899974197149277e-05,1.0400020983070135e-05,0.011590200010687113,0.00430259999120608,1.090002479031682e-05,1.0700023267418146e-05,9.899958968162537e-06,1.7900019884109497e-05,6.89999433234334e-06,5.200039595365524e-06,0.0010733000235632062,0.0007862999918870628,8.500006515532732e-06,0.020276400027796626
3,1.0800024028867483e-05,7.589999586343765e-05,1.0499963536858559e-05,9.999959729611874e-06,7.370003731921315e-05,0.008636099984869361,1.0700023267418146e-05,1.0700023267418146e-05,9.800016414374113e-06,1.8200022168457508e-05,6.699992809444666e-06,5.00003807246685e-06,0.00034690002212300897,0.0003085000207647681,8.500006515532732e-06,0.009542000130750239
4,1.090002479031682e-05,7.740000728517771e-05,1.0699965059757233e-05,9.700015652924776e-06,7.380003808066249e-05,0.009160400019027293,1.0800082236528397e-05,1.0800082236528397e-05,1.0000017937272787e-05,1.829996472224593e-05,6.800051778554916e-06,4.999979864805937e-06,0.0004479999770410359,0.0003476000274531543,8.300004992634058e-06,0.010208500258158892
5,1.1599971912801266e-05,8.649996016174555e-05,1.5099940355867147e-05,1.0500021744519472e-05,7.830001413822174e-05,0.01055790000827983,1.530005829408765e-05,1.4599994756281376e-05,1.070008147507906e-05,2.1899992134422064e-05,1.0300020221620798e-05,5.099980626255274e-06,0.00045870000030845404,0.0002796000335365534,8.800008799880743e-06,0.01158490008674562
6,1.1599971912801266e-05,8.279999019578099e-05,1.1499971151351929e-05,1.0400020983070135e-05,7.920002099126577e-05,0.007184500049334019,1.179997343569994e-05,1.1699972674250603e-05,1.079996582120657e-05,2.0000035874545574e-05,7.399998139590025e-06,5.399982910603285e-06,0.0003225999535061419,0.00023499998496845365,8.600007276982069e-06,0.008013299899175763
7,1.1499971151351929e-05,8.220004383474588e-05,1.1399970389902592e-05,1.0399962775409222e-05,8.139997953549027e-05,0.00475739996181801,1.1300027836114168e-05,1.1100026313215494e-05,1.0599964298307896e-05,1.880002673715353e-05,7.099995855242014e-06,5.399982910603285e-06,0.00025779998395591974,0.0001829999964684248,8.300004992634058e-06,0.0054676998988725245
8,1.1000025551766157e-05,7.810001261532307e-05,1.109996810555458e-05,1.009996049106121e-05,7.639999967068434e-05,0.004478699993342161,1.2999982573091984e-05,1.1200027074664831e-05,1.0200019460171461e-05,1.8399907276034355e-05,7.099995855242014e-06,5.200039595365524e-06,0.000251100049354136,0.0001742999884299934,8.300004992634058e-06,0.005164199974387884
9,1.1300027836114168e-05,7.92999635450542e-05,1.0800024028867483e-05,9.999959729611874e-06,7.599999662488699e-05,0.004491200030315667,1.1100026313215494e-05,1.1000025551766157e-05,1.0200019460171461e-05,1.850002445280552e-05,6.799993570894003e-06,4.999979864805937e-06,0.0002627999638207257,0.000172699976246804,1.1300027836114168e-05,0.0051880000391975045
10,1.1000025551766157e-05,7.880001794546843e-05,1.0600022505968809e-05,1.0000017937272787e-05,7.82000133767724e-05,0.004537600034382194,1.109996810555458e-05,1.0899966582655907e-05,1.0299962013959885e-05,2.0099978428333998e-05,6.999995093792677e-06,4.900037311017513e-06,0.0002495000371709466,0.00017549999756738544,8.200004231184721e-06,0.005223700078204274
