execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0899966582655907e-05,8.480000542476773e-05,1.1199968867003918e-05,1.0000017937272787e-05,7.599993841722608e-05,0.005098699999507517,1.4499993994832039e-05,1.9999570213258266e-06,1.0699965059757233e-05,1.869996776804328e-05,7.700000423938036e-06,5.200039595365524e-06,0.00030280003556981683,0.00017860002117231488,8.100003469735384e-06,0.005839899880811572
2,1.4199991710484028e-05,0.002655500022228807,1.1700030881911516e-05,9.90001717582345e-06,0.012893600040115416,0.004945299995597452,1.0800082236528397e-05,1.800013706088066e-06,1.0599964298307896e-05,1.880002673715353e-05,6.999995093792677e-06,5.700043402612209e-06,0.001122299989219755,0.000833700003568083,8.700008038431406e-06,0.022549600224010646
3,1.1699972674250603e-05,8.189998334273696e-05,1.1300027836114168e-05,1.0200077667832375e-05,7.770000956952572e-05,0.009758800035342574,1.2100092135369778e-05,1.800013706088066e-06,1.0399962775409222e-05,2.0600040443241596e-05,7.299997378140688e-06,5.499983672052622e-06,0.0003667999990284443,0.00027950003277510405,8.400005754083395e-06,0.010664000234100968
4,1.1200027074664831e-05,8.040003012865782e-05,1.0599964298307896e-05,9.599956683814526e-06,7.920002099126577e-05,0.009773399913683534,1.3399985618889332e-05,1.700012944638729e-06,1.0300020221620798e-05,1.8899969290941954e-05,7.100054062902927e-06,5.200039595365524e-06,0.0003567000385373831,0.00029659998835995793,8.200004231184721e-06,0.01068250002572313
5,1.1500029359012842e-05,8.379999781027436e-05,1.0600022505968809e-05,1.0000017937272787e-05,8.079997496679425e-05,0.01016980002168566,1.5799945686012506e-05,2.600019797682762e-06,1.3700046110898256e-05,2.2699940018355846e-05,1.71000137925148e-05,1.479999627918005e-05,0.00043569999979808927,0.00027439999394118786,9.800016414374113e-06,0.011173100036103278
6,1.1699972674250603e-05,8.140003774315119e-05,1.1100026313215494e-05,1.0299962013959885e-05,7.589999586343765e-05,0.007193399942480028,1.170008908957243e-05,1.9000144675374031e-06,1.0999967344105244e-05,2.3100001271814108e-05,7.099995855242014e-06,5.300040356814861e-06,0.0003155000158585608,0.00023279996821656823,8.200004231184721e-06,0.008000400033779442
7,1.1100084520876408e-05,8.230004459619522e-05,1.079996582120657e-05,9.7999582067132e-06,7.569999434053898e-05,0.004667899978812784,1.0999967344105244e-05,1.9000144675374031e-06,1.0400079190731049e-05,1.8600025214254856e-05,6.89999433234334e-06,4.999979864805937e-06,0.0002560000284574926,0.00017900002421811223,1.0299962013959885e-05,0.005356700101401657
8,1.1100026313215494e-05,8.300004992634058e-05,1.0999967344105244e-05,9.90001717582345e-06,7.71000050008297e-05,0.00471599999582395,1.4599994756281376e-05,1.9000144675374031e-06,1.079996582120657e-05,1.910002902150154e-05,7.099995855242014e-06,5.299982149153948e-06,0.0002626000205054879,0.00017950002802535892,8.200004231184721e-06,0.0054172000964172184
9,1.1899974197149277e-05,8.319999324157834e-05,1.109996810555458e-05,1.179997343569994e-05,8.329993579536676e-05,0.004949600028339773,1.1599971912801266e-05,1.8999562598764896e-06,1.0899966582655907e-05,1.9799917936325073e-05,7.299997378140688e-06,5.299982149153948e-06,0.00026300002355128527,0.0001873000292107463,8.600007276982069e-06,0.005666599725373089
10,1.379998866468668e-05,8.460006210952997e-05,1.1399970389902592e-05,1.0100076906383038e-05,7.790001109242439e-05,0.0046938000014051795,1.160003012046218e-05,1.9000144675374031e-06,1.0699965059757233e-05,1.8900027498602867e-05,6.999995093792677e-06,5.199981387704611e-06,0.00026459997752681375,0.00018159998580813408,8.500006515532732e-06,0.005401600094046444
11,1.1300086043775082e-05,8.38999985717237e-05,1.1400028597563505e-05,1.0200019460171461e-05,7.810001261532307e-05,0.007544499996583909,2.500001573935151e-05,2.00001522898674e-06,1.1599971912801266e-05,2.219993621110916e-05,7.199996616691351e-06,5.399982910603285e-06,0.0003288000007160008,0.00023989996407181025,9.500014130026102e-06,0.008391000039409846
12,1.1399970389902592e-05,0.005438799969851971,1.2100033927708864e-05,1.0699965059757233e-05,0.021763600001577288,0.004656600009184331,1.1299969628453255e-05,2.00001522898674e-06,1.0699965059757233e-05,2.4200009647756815e-05,7.099995855242014e-06,5.500041879713535e-06,0.0020157000399194658,0.0015447000041604042,1.1599971912801266e-05,0.03552599996328354
13,1.1299969628453255e-05,8.059997344389558e-05,1.090002479031682e-05,9.90001717582345e-06,7.840001489967108e-05,0.004649700014851987,1.079996582120657e-05,2.00001522898674e-06,1.0499963536858559e-05,1.8899969290941954e-05,7.099995855242014e-06,5.099980626255274e-06,0.00025240000104531646,0.00018020003335550427,1.0199961252510548e-05,0.00533799990080297
14,0.00422249996336177,0.0017187000485137105,0.0034677000367082655,7.960002403706312e-05,0.00838740001199767,0.0029950999887660146,1.1400028597563505e-05,1.8999562598764896e-06,1.0700023267418146e-05,1.9199971575289965e-05,6.799993570894003e-06,0.0015236000181175768,0.00039090000791475177,0.0003426000475883484,8.300004992634058e-06,0.023186400125268847
15,0.00617980002425611,0.0070553999976255,0.007733799982815981,8.820003131404519e-05,0.0326475000474602,0.003058200003579259,1.4000048395246267e-05,2.500019036233425e-06,1.2299977242946625e-05,2.050003968179226e-05,1.209997572004795e-05,0.002061599981971085,0.0025609000003896654,0.0019063999643549323,1.6000005416572094e-05,0.06336920009925961
16,1.4199991710484028e-05,0.00011389999417588115,2.589996438473463e-05,2.1299987565726042e-05,0.00017640000442042947,0.00903629994718358,1.5600002370774746e-05,2.300017513334751e-06,1.3299984857439995e-05,2.4799956008791924e-05,9.200011845678091e-06,6.499991286545992e-06,0.00040879996959120035,0.00038049998693168163,2.2799998987466097e-05,0.010271799808833748
17,3.260001540184021e-05,3.120000474154949e-05,3.400002606213093e-05,0.0002440999960526824,3.160000778734684e-05,0.0002397999633103609,3.6999990697950125e-05,3.400025889277458e-06,3.1400006264448166e-05,5.5999960750341415e-05,2.0299979951232672e-05,0.0042354000033810735,1.610000617802143e-05,1.5499943401664495e-05,2.459995448589325e-05,0.005052999884355813
18,1.3399985618889332e-05,9.729998419061303e-05,1.3199984095990658e-05,1.209997572004795e-05,9.960000170394778e-05,0.0056598000228405,1.3400043826550245e-05,2.300017513334751e-06,1.2599979527294636e-05,2.9199989512562752e-05,9.200011845678091e-06,6.699992809444666e-06,0.0003233000170439482,0.0003323000273667276,1.4499993994832039e-05,0.006638900027610362
19,1.73999578692019e-05,0.0032999999821186066,2.559996210038662e-05,1.6400008462369442e-05,0.017118099960498512,0.00922289997106418,1.3499986380338669e-05,2.300017513334751e-06,1.2999982573091984e-05,2.3300002794712782e-05,8.500006515532732e-06,6.00004568696022e-06,0.0015317999641411006,0.0011710000107996166,9.899958968162537e-06,0.03247969981748611
20,1.2399978004395962e-05,8.919998072087765e-05,1.2399978004395962e-05,1.1300027836114168e-05,8.590001380071044e-05,0.007706400065217167,1.2899981811642647e-05,2.200016751885414e-06,1.1700030881911516e-05,2.389994915574789e-05,7.700000423938036e-06,5.799985956400633e-06,0.0003378000110387802,0.0002462999545969069,9.400013368576765e-06,0.008575299987569451
21,0.004533300059847534,0.009727600030601025,0.005625099933240563,8.680002065375447e-05,0.03990410006372258,0.0029730999376624823,1.1800031643360853e-05,2.00001522898674e-06,1.1699972674250603e-05,1.9099912606179714e-05,7.499998901039362e-06,0.001577500021085143,0.001988500007428229,0.00177210004767403,9.400013368576765e-06,0.06824960006633773
