execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0200310498476028e-05,8.29002819955349e-05,1.0100193321704865e-05,6.00004568696022e-06,0.0013776998966932297,6.90016895532608e-06,5.300156772136688e-06,1.2999400496482849e-05,1.3499986380338669e-05,7.959967479109764e-05,0.007908799219876528,0.03758909972384572,0.0011613997630774975,1.309998333454132e-05,0.006397800054401159,0.054675398860126734
2,2.12998129427433e-05,9.889993816614151e-05,2.2099819034337997e-05,1.2200325727462769e-05,0.007753599900752306,1.4199875295162201e-05,1.0200310498476028e-05,1.950003206729889e-05,2.0700041204690933e-05,0.003370700404047966,0.007905100006610155,0.035038100089877844,0.0012886999174952507,2.640020102262497e-05,0.006457699928432703,0.06205940060317516
3,2.0999927073717117e-05,9.010033681988716e-05,1.9399449229240417e-05,1.2099742889404297e-05,0.007529299706220627,1.29002146422863e-05,1.0099727660417557e-05,1.9199680536985397e-05,2.0700041204690933e-05,0.0032295999117195606,0.007657300215214491,0.03402950009331107,0.001276399940252304,2.840021625161171e-05,0.006234600208699703,0.060190599411726
4,1.039961352944374e-05,1.0699965059757233e-05,9.400304406881332e-06,6.0996972024440765e-06,0.00024820026010274887,9.599607437849045e-06,5.000270903110504e-06,8.90018418431282e-06,9.899958968162537e-06,0.004619299899786711,8.830009028315544e-05,7.450021803379059e-05,0.00017170002683997154,1.3400334864854813e-05,9.999610483646393e-06,0.00529540004208684
5,1.0499730706214905e-05,1.1000316590070724e-05,9.699724614620209e-06,6.00004568696022e-06,0.0002500000409781933,6.400048732757568e-06,5.09992241859436e-06,9.600073099136353e-06,1.0099727660417557e-05,0.004517400171607733,7.649976760149002e-05,7.410021498799324e-05,0.00017670029774308205,1.3000331819057465e-05,1.0200310498476028e-05,0.005186300724744797
6,2.130027860403061e-05,9.109964594244957e-05,1.879967749118805e-05,1.1400319635868073e-05,0.007821599952876568,1.380033791065216e-05,9.600073099136353e-06,1.9600149244070053e-05,2.0600389689207077e-05,0.0032112007029354572,0.009852300398051739,0.03583099925890565,0.0016145003028213978,2.560066059231758e-05,0.006087199784815311,0.06464960193261504
7,2.1299347281455994e-05,8.930033072829247e-05,1.8899794667959213e-05,1.1500436812639236e-05,0.007365799974650145,1.2499745935201645e-05,9.899958968162537e-06,2.149958163499832e-05,2.0401086658239365e-05,0.003209299873560667,0.0076086996123194695,0.03341490030288696,0.0012479997240006924,2.5600194931030273e-05,0.006081700790673494,0.05915930075570941
8,4.550023004412651e-05,9.070010855793953e-05,1.9399914890527725e-05,1.1799857020378113e-05,0.007758899591863155,1.3000331819057465e-05,9.900424629449844e-06,2.00001522898674e-05,2.0500272512435913e-05,0.0038306000642478466,0.007593799848109484,0.03430210007354617,0.0012728995643556118,2.640020102262497e-05,0.0063760001212358475,0.061391500756144524
9,2.039968967437744e-05,8.819997310638428e-05,1.8300022929906845e-05,1.180032268166542e-05,0.007452100049704313,1.2600328773260117e-05,9.899958968162537e-06,1.910002902150154e-05,2.3200176656246185e-05,0.003145500086247921,0.007539999671280384,0.033551900647580624,0.0012398003600537777,2.5199726223945618e-05,0.00612399959936738,0.05928200064226985
10,2.090027555823326e-05,8.930033072829247e-05,1.879967749118805e-05,1.9199680536985397e-05,0.0076871998608112335,1.4499761164188385e-05,1.2800097465515137e-05,1.9200146198272705e-05,2.0100269466638565e-05,0.003335100132972002,0.008577500004321337,0.03449850017204881,0.001312199980020523,2.5599729269742966e-05,0.00654279999434948,0.06219370011240244
