execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.700190275907516e-06,9.099999442696571e-05,1.00000761449337e-05,5.499925464391708e-06,0.0013763997703790665,7.299706339836121e-06,4.90015372633934e-06,9.699724614620209e-06,2.100132405757904e-06,0.00010909978300333023,0.00766320014372468,0.0369850997813046,0.001138600055128336,1.2899748980998993e-05,0.006238300818949938,0.0536638000048697
2,1.0100193321704865e-05,1.0200310498476028e-05,9.699724614620209e-06,5.6996941566467285e-06,0.0001958003267645836,6.399583071470261e-06,4.600267857313156e-06,8.699949830770493e-06,1.80024653673172e-06,0.0022796005941927433,7.720012217760086e-05,7.970025762915611e-05,0.00012539979070425034,1.2699980288743973e-05,9.80030745267868e-06,0.0028374013490974903
3,1.0499730706214905e-05,1.0100193321704865e-05,9.80030745267868e-06,5.7998113334178925e-06,0.00019160006195306778,6.400048732757568e-06,7.700175046920776e-06,8.799601346254349e-06,1.8994323909282684e-06,0.0022909999825060368,7.700035348534584e-05,7.509998977184296e-05,0.0001289001666009426,1.270044595003128e-05,9.900424629449844e-06,0.0028472007252275944
4,1.0400079190731049e-05,1.0100193321704865e-05,9.80030745267868e-06,5.7998113334178925e-06,0.00025219982489943504,6.299931555986404e-06,4.800036549568176e-06,9.300187230110168e-06,1.700129359960556e-06,0.004606299567967653,7.849978283047676e-05,7.859990000724792e-05,0.0001738998107612133,1.2699514627456665e-05,9.999610483646393e-06,0.005270398687571287
5,1.0200310498476028e-05,1.019984483718872e-05,9.80030745267868e-06,5.899928510189056e-06,0.00024269986897706985,6.100162863731384e-06,4.699919372797012e-06,9.000301361083984e-06,1.8998980522155762e-06,0.004460700321942568,7.760012522339821e-05,7.530022412538528e-05,0.0001713000237941742,1.2699514627456665e-05,9.399838745594025e-06,0.0051075005903840065
6,1.0400079190731049e-05,1.0300427675247192e-05,9.599607437849045e-06,8.800067007541656e-06,0.0006596995517611504,6.6999346017837524e-06,7.80029222369194e-06,9.29972156882286e-06,1.80024653673172e-06,0.002406999934464693,0.0017369994893670082,0.009065800346434116,0.0005010999739170074,1.2599863111972809e-05,1.0699965059757233e-05,0.014458599500358105
7,9.900424629449844e-06,1.039961352944374e-05,9.500421583652496e-06,6.0996972024440765e-06,0.0001938999630510807,6.200280040502548e-06,4.90015372633934e-06,8.899718523025513e-06,1.6996636986732483e-06,0.0023532998748123646,7.860036566853523e-05,7.410021498799324e-05,0.00012899981811642647,1.29002146422863e-05,9.500421583652496e-06,0.00290890084579587
8,1.4999881386756897e-05,1.0100193321704865e-05,1.2699980288743973e-05,6.00004568696022e-06,0.0002001998946070671,9.499955922365189e-06,4.699919372797012e-06,1.1899508535861969e-05,1.80024653673172e-06,0.0025300001725554466,7.820036262273788e-05,9.62996855378151e-05,0.00012899981811642647,1.2699980288743973e-05,9.800773113965988e-06,0.003127900417894125
9,1.0100193321704865e-05,1.019984483718872e-05,9.499955922365189e-06,5.499925464391708e-06,0.000197600107640028,6.1998143792152405e-06,4.599802196025848e-06,8.800532668828964e-06,1.900363713502884e-06,0.0023672995157539845,7.769977673888206e-05,7.409974932670593e-05,0.00012460025027394295,1.2999866157770157e-05,9.399838745594025e-06,0.002920499537140131
10,1.0299496352672577e-05,1.0100193321704865e-05,1.0400079190731049e-05,6.1998143792152405e-06,0.00020670006051659584,6.4997002482414246e-06,4.999805241823196e-06,9.000301361083984e-06,1.9995495676994324e-06,0.0025067999958992004,7.939990609884262e-05,7.659988477826118e-05,0.00013280007988214493,1.3699755072593689e-05,9.999610483646393e-06,0.003085498232394457
