class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
A-FP,category,category,False,False,True,3,3,387
A-FP_Binding,relator,kind,False,True,False,1,0,18
AP_Forwarding,relator,kind,False,True,False,1,0,12
A_-_LPF_Source_Connected,role,role,False,True,False,7,0,387
A_-_Layer_Processor_Sink_Connected,role,role,False,True,False,7,0,387
A_Sk_-_Termination_Sink_Connected,role,role,False,True,False,7,0,387
A_Sk_-_Uni_Matrix_Connected,role,role,False,True,False,7,0,387
A_Sk_-_Uni_Subnetwork_Connected,role,role,False,True,False,6,0,387
A_Sk_Input_-_Sk_AP_Bound,role,role,False,True,False,4,0,387
A_Sk_Output_-_A-FP_Bound,role,role,False,True,False,11,0,387
A_Sk_Output_-_Sk_A-FEP_Bound,role,role,False,True,False,4,0,387
A_Sk_Output_-_Sk_LP-FP_Bound,role,role,False,True,False,4,0,387
A_Sk_Output_-_Sk_LPF-FP_Bound,role,role,True,False,False,0,23,387
A_Sk_Output_-_Sk_M-FP_Bound,role,role,False,False,True,6,2,387
A_Sk_Output_-_Sk_SN-FP_Bound,role,role,False,False,True,5,16,387
A_So_-_Adaptation_Sink_Connected,role,role,False,True,False,7,0,387
A_So_-_Termination_Source_Connected,role,role,False,True,False,7,0,387
A_So_-_Uni_Matrix_Connected,role,role,False,True,False,7,0,387
A_So_-_Uni_Subnetwork_Connected,role,role,False,True,False,6,0,387
A_So_Input_-_A-FP_Bound,role,role,False,True,False,6,0,387
A_So_Input_-_So_A-FEP_Bound,role,role,False,True,False,4,0,387
A_So_Input_-_So_L-FP_Bound,role,role,False,True,False,4,0,387
A_So_Input_-_So_LPF-FP_Bound,role,role,True,False,False,0,10,387
A_So_Input_-_So_M-FP_Bound,role,role,False,False,True,5,2,387
A_So_Input_-_So_SN-FP_Bound,role,role,False,False,True,5,2,387
A_So_Output_-_So_AP_Bound,role,role,False,True,False,4,0,387
Access_Group,kind,kind,False,False,True,3,2,387
Access_Point,category,category,False,False,True,2,8,387
Access_Transport_Entity,kind,kind,False,False,True,2,4,387
Active_Bidirectional_AP,role,role,False,True,False,5,0,387
Active_Bidirectional_PM-FEP_-_PM_LC_Connected,role,role,False,True,False,6,0,387
Active_Bidirectional_PM-FEP_-_PM_NC_Connected,role,role,False,True,False,6,0,387
Active_Bidirectional_Path_FEP_-_Path_NC_Connected,rolemixin,rolemixin,False,True,False,6,0,387
Active_End_Bidirectional_SN-FEP,role,role,False,True,False,7,0,387
Active_Intermediate_Bidirectional_M-FP,role,role,False,True,False,7,0,387
Active_Intermediate_Bidirectional_SN-FP,role,role,False,True,False,7,0,387
Active_Path_Bidirectional_M-FEP,role,role,False,True,False,7,0,387
Active_Path_Bidirectional_M-FP,role,role,False,True,False,7,0,387
Active_Path_Bidirectional_SN-FEP,role,role,False,True,False,7,0,387
Active_Path_Bidirectional_SN-FP,role,role,False,True,False,7,0,387
Active_Possible_Bi_LC_Connected_RP,rolemixin,rolemixin,False,True,False,2,0,387
Active_Sink_AP,role,role,False,True,False,5,0,387
Active_Sk_M-FEP_-_Sk_MC_connected,role,role,False,True,False,7,0,387
Active_Sk_M-FP_-_Int_MC_connected,role,role,False,True,False,7,0,387
Active_Sk_M-FP_-_Sk_MC_connected,role,role,False,True,False,7,0,387
Active_Sk_PM-FEP_-_PM_LC_connected,role,role,False,True,False,6,0,387
Active_Sk_PM-FEP_-_PM_NC_connected,role,role,False,True,False,6,0,387
Active_Sk_Path-FEP_-_Path_NC_connected,rolemixin,rolemixin,False,True,False,6,0,387
Active_Sk_SN-FEP_-_End_CFTE_connected,role,role,False,True,False,7,0,387
Active_Sk_SN-FEP_-_Sk_CFTE_connected,role,role,False,True,False,7,0,387
Active_Sk_SN-FP_-_Int_CFTE_connected,role,role,False,True,False,7,0,387
Active_Sk_SN-FP_-_Sk_CFTE_connected,role,role,False,True,False,7,0,387
Active_So_M-FEP_-_So_MC_connected,role,role,False,True,False,7,0,387
Active_So_M-FP_-_Int_MC_connected,role,role,False,True,False,7,0,387
Active_So_M-FP_-_So_MC_connected,role,role,False,True,False,7,0,387
Active_So_PM-FEP_-_PM_LC_connected,role,role,False,True,False,6,0,387
Active_So_PM-FEP_-_PM_NC_connected,role,role,False,True,False,6,0,387
Active_So_Path-FEP_-_Path_NC_connected,rolemixin,rolemixin,False,True,False,6,0,387
Active_So_SN-FEP_-_End_CFTE_connected,role,role,False,True,False,7,0,387
Active_So_SN-FEP_-_So_CFTE_connected,role,role,False,True,False,7,0,387
Active_So_SN-FP_-_Int_CFTE_connected,role,role,False,True,False,7,0,387
Active_So_SN-FP_-_So_CFTE_connected,role,role,False,True,False,7,0,387
Active_Source_AP,role,role,False,True,False,5,0,387
Adaptation_Function,kind,kind,False,False,True,4,26,387
