execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,6.13001175224781e-05,6.720004603266716e-05,4.1500083170831203e-05,0.00010890001431107521,2.22999369725585e-05,5.9999991208314896e-05,0.4784844999667257,0.016981700086034834,0.0008152000373229384,0.009978699963539839,7.119996007531881e-05,4.509999416768551e-05,2.0700041204690933e-05,0.0010745999170467257,7.809989620000124e-05,0.5079110000515357
2,0.0001330000814050436,5.1800161600112915e-05,4.610000178217888e-05,0.00011389993596822023,0.0007542000385001302,6.89999433234334e-05,2.5000073947012424e-05,4.9900030717253685e-05,4.789989907294512e-05,6.339990068227053e-05,0.00014579994603991508,0.00014210003428161144,0.0005273000570014119,0.0011321001220494509,8.1100151874125e-05,0.0033826003782451153
3,0.0001308000646531582,4.789989907294512e-05,4.319986328482628e-05,0.00010930001735687256,0.0007270999485626817,6.689992733299732e-05,2.3499946109950542e-05,4.6200002543628216e-05,4.529999569058418e-05,6.079999729990959e-05,0.00014269992243498564,0.00012780004180967808,0.0005059998948127031,0.0011011000024154782,5.309993866831064e-05,0.0032316994620487094
4,0.00011560006532818079,6.530003156512976e-05,3.830005880445242e-05,9.8800053820014e-05,0.0006708999862894416,5.979998968541622e-05,2.1200045011937618e-05,4.0899962186813354e-05,3.899994771927595e-05,5.460018292069435e-05,0.00013229995965957642,0.00011470005847513676,0.00046170002315193415,0.00098840007558465,4.959991201758385e-05,0.0029511003522202373
5,0.00011230004020035267,4.309997893869877e-05,3.839994315057993e-05,9.679992217570543e-05,0.0006567999953404069,5.859998054802418e-05,2.0799925550818443e-05,4.10998472943902e-05,3.969995304942131e-05,5.389994475990534e-05,0.00016900000628083944,0.0001556000206619501,0.0004515999462455511,0.0009939000010490417,6.0799880884587765e-05,0.0029923993861302733
6,0.00010349997319281101,4.120008088648319e-05,3.699993249028921e-05,9.689992293715477e-05,0.0005590000655502081,5.5699958465993404e-05,2.010003663599491e-05,3.990007098764181e-05,3.8199941627681255e-05,5.180004518479109e-05,0.00011439993977546692,0.00010980002116411924,0.00039030006155371666,0.0009988000383600593,6.580003537237644e-05,0.0027224001241847873
7,0.00011669995728880167,4.730012733489275e-05,4.239985719323158e-05,0.00010760000441223383,0.0004981999518349767,6.980006583034992e-05,2.289994154125452e-05,4.5500113628804684e-05,4.37998678535223e-05,6.150000263005495e-05,0.0001273000380024314,0.000121300108730793,0.00031949998810887337,0.001051400089636445,5.140015855431557e-05,0.0027266002725809813
8,0.00011470005847513676,4.370009992271662e-05,4.089984577149153e-05,0.00010010006371885538,0.0013001000043004751,6.120000034570694e-05,2.080004196614027e-05,4.1499966755509377e-05,3.9800070226192474e-05,5.370017606765032e-05,0.00012720003724098206,0.00011490005999803543,0.0010329000651836395,0.0010140000376850367,5.039991810917854e-05,0.004155900445766747
9,0.00010510010179132223,4.169996827840805e-05,4.060007631778717e-05,9.490002412348986e-05,0.00043720006942749023,6.0699996538460255e-05,2.050003968179226e-05,3.990007098764181e-05,3.869994543492794e-05,5.1299924962222576e-05,0.00011739996261894703,0.00011180003639310598,0.00028799998108297586,0.000933599891141057,4.5699882321059704e-05,0.002427099971100688
10,0.00016950001008808613,4.3599982745945454e-05,3.879994619637728e-05,9.729992598295212e-05,0.0005500999977812171,5.8999983593821526e-05,2.0600040443241596e-05,4.1100080125033855e-05,3.999995533376932e-05,0.00011080002877861261,0.00012199999764561653,0.00023440015502274036,0.0003035999834537506,0.00101169990375638,4.7200010158121586e-05,0.002889700001105666
12,0.011221799883060157,7.65001168474555e-05,4.2500090785324574e-05,9.810004848986864e-05,0.0018588000675663352,6.449990905821323e-05,2.1700048819184303e-05,4.3599982745945454e-05,9.819993283599615e-05,7.539999205619097e-05,0.002352900104597211,0.008427499909885228,0.0012534999987110496,0.003331999876536429,5.450006574392319e-05,0.02902150002773851
