execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,0.004016800026874989,7.609999738633633e-05,9.240000508725643e-05,7.469998672604561e-05,7.309997454285622e-05,0.002766000048723072,1.0800082236528397e-05,0.00020359997870400548,1.0300020221620798e-05,1.2899981811642647e-05,6.199989002197981e-06,0.0009252000018022954,5.699985194951296e-06,5.099980626255274e-06,6.299989763647318e-06,0.0082852000487037
2,0.004119199991691858,7.589999586343765e-05,9.540002793073654e-05,7.689994527027011e-05,7.180002285167575e-05,0.002750599989667535,9.90001717582345e-06,0.0001973999897018075,9.999959729611874e-06,1.2899981811642647e-05,7.90000194683671e-06,0.0009258000063709915,7.199996616691351e-06,5.00003807246685e-06,6.299989763647318e-06,0.008372199954465032
3,8.240004535764456e-05,0.008944300003349781,0.010328800010029227,9.999959729611874e-06,0.046360199979972094,7.880001794546843e-05,9.500014130026102e-06,1.0100018698722124e-05,9.600014891475439e-06,1.309998333454132e-05,5.900044925510883e-06,4.700035788118839e-06,0.0016123999957926571,0.0013402999611571431,7.199996616691351e-06,0.06881730008171871
4,0.004107199958525598,7.819995516911149e-05,9.599997429177165e-05,7.529999129474163e-05,7.209996692836285e-05,0.0027323999674990773,1.0399962775409222e-05,0.00019889994291588664,9.899958968162537e-06,1.2999982573091984e-05,5.999987479299307e-06,0.0009313999908044934,5.400041118264198e-06,4.900037311017513e-06,6.099988240748644e-06,0.008347199705895036
5,0.004003399983048439,7.969996659085155e-05,9.390001650899649e-05,7.369997911155224e-05,7.319997530430555e-05,0.0027411000337451696,1.0300020221620798e-05,0.00019610003801062703,1.0100076906383038e-05,1.2999982573091984e-05,6.099988240748644e-06,0.0009224999812431633,5.699985194951296e-06,4.999979864805937e-06,6.200047209858894e-06,0.008240000053774565
6,0.003977000014856458,7.599999662488699e-05,9.150005644187331e-05,7.380003808066249e-05,7.219996768981218e-05,0.0027449000044725835,1.0100076906383038e-05,0.00019860005704686046,1.0400020983070135e-05,1.3200042303651571e-05,6.199989002197981e-06,0.0009183999500237405,1.0100018698722124e-05,4.800036549568176e-06,6.399990525096655e-06,0.008213600260205567
7,0.0040976000018417835,7.529999129474163e-05,9.759998647496104e-05,7.319997530430555e-05,7.159996312111616e-05,0.0028396000270731747,1.0200019460171461e-05,0.00020640000002458692,1.0100018698722124e-05,1.3400043826550245e-05,6.00004568696022e-06,0.0009400999988429248,5.599984433501959e-06,5.00003807246685e-06,6.299989763647318e-06,0.008458000083919615
8,0.004018100036773831,7.790001109242439e-05,9.42000187933445e-05,7.429998368024826e-05,7.639999967068434e-05,0.002745300007518381,1.0199961252510548e-05,0.0002025999710895121,1.399993197992444e-05,1.279998105019331e-05,6.199989002197981e-06,0.0009212999721057713,5.499983672052622e-06,5.00003807246685e-06,6.099988240748644e-06,0.00826989987399429
9,0.0040552999707870185,8.029997115954757e-05,9.320001117885113e-05,7.850001566112041e-05,7.259997073560953e-05,0.0027649999829009175,1.379998866468668e-05,0.0002001000102609396,1.0200019460171461e-05,1.2999982573091984e-05,6.099988240748644e-06,0.0009303999831900001,5.799985956400633e-06,4.799978341907263e-06,6.099988240748644e-06,0.00833519984735176
10,0.004094500036444515,8.029997115954757e-05,9.320001117885113e-05,7.479998748749495e-05,7.179996464401484e-05,0.0027913000085391104,9.700015652924776e-06,0.00019619998056441545,1.0499963536858559e-05,1.3199984095990658e-05,5.89998671784997e-06,0.0009468999924138188,5.499983672052622e-06,4.8999791033566e-06,5.999987479299307e-06,0.0084046998526901
11,0.004042099986691028,7.949996506795287e-05,9.42000187933445e-05,7.409998215734959e-05,7.389998063445091e-05,0.002757699985522777,1.0299962013959885e-05,0.000222100003156811,1.0299962013959885e-05,1.2699980288743973e-05,6.200047209858894e-06,0.0009383999858982861,5.500041879713535e-06,4.800036549568176e-06,6.099988240748644e-06,0.008337899926118553
12,0.004095999931450933,7.720006396993995e-05,9.28999506868422e-05,7.720000576227903e-05,7.200002437457442e-05,0.0027520000003278255,9.999959729611874e-06,0.00019380002049729228,9.90001717582345e-06,1.3399985618889332e-05,6.099988240748644e-06,0.0009291000314988196,5.499983672052622e-06,4.999979864805937e-06,6.199989002197981e-06,0.008346299931872636
13,0.0041044000536203384,7.670000195503235e-05,9.310001041740179e-05,8.070003241300583e-05,7.299997378140688e-05,0.0028182000387459993,1.0700023267418146e-05,0.00021319999359548092,1.0300020221620798e-05,1.3100041542202234e-05,6.099988240748644e-06,0.0009269999573007226,5.600042641162872e-06,5.099980626255274e-06,6.299989763647318e-06,0.008443500148132443
