class_name,class_original_classification,classification_final_list
A-FP_Binding,kind,not
Binding,kind,is
Sink_A-FEP_Binding,kind,not
Sink_AP_Binding,kind,not
Sink_LPF-FEP_Bound,kind,not
Sink_M-FEP_Binding,kind,not
Sink_M-FP_Binding,kind,not
Sink_PM-FEP_Binding,kind,not
Sink_SN-FEP_Binding,kind,not
Sink_SN-FP_Binding,kind,not
Source_A-FEP_Binding,kind,not
Source_AP_Binding,kind,not
Source_L-FP_Binding,kind,not
Source_LPF-FEP_Binding,kind,not
Source_M-FEP_Binding,kind,not
Source_M-FP_Binding,kind,not
Source_PM-FEP_Binding,kind,not
Source_SN-FEP_Binding,kind,not
Source_SN-FP_Binding,kind,not
