execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,4.3299864046275616e-05,4.5599997974932194e-05,4.120008088648319e-05,0.00011549994815140963,2.1799933165311813e-05,5.75000885874033e-05,0.44441290001850575,0.016937299980781972,1.9000144675374031e-06,0.009335699956864119,4.349998198449612e-05,4.5000109821558e-05,2.0200037397444248e-05,0.0010938000632449985,5.010003224015236e-05,0.47226530010811985
2,0.00010879989713430405,4.440010525286198e-05,3.9400067180395126e-05,9.50000248849392e-05,0.0006258999928832054,5.7999975979328156e-05,2.0700041204690933e-05,4.100007936358452e-05,1.700012944638729e-06,5.319993942975998e-05,0.00011639995500445366,0.00011170003563165665,0.0004387000808492303,0.0010036000749096274,4.689989145845175e-05,0.002805400174111128
3,0.00011110014747828245,4.309997893869877e-05,3.879982978105545e-05,9.520002640783787e-05,0.0006351999472826719,5.9399986639618874e-05,2.080004196614027e-05,4.049984272569418e-05,1.700012944638729e-06,5.3800176829099655e-05,0.0001191999763250351,0.00011309992987662554,0.0005268999375402927,0.0009555000578984618,4.77001303806901e-05,0.0028620000230148435
4,0.00010580010712146759,4.130008164793253e-05,3.6899931728839874e-05,9.460002183914185e-05,0.0006269000004976988,5.8699981309473515e-05,1.9900035113096237e-05,3.869994543492794e-05,1.600012183189392e-06,5.100015550851822e-05,0.00011120003182440996,0.0001078000059351325,0.0004368000663816929,0.0009516000282019377,4.4800108298659325e-05,0.0027276005130261183
5,0.00011039990931749344,4.4599990360438824e-05,3.850006032735109e-05,9.42000187933445e-05,0.0007230999181047082,6.009999196976423e-05,2.0200037397444248e-05,4.000007174909115e-05,1.700012944638729e-06,5.249993409961462e-05,0.0001710999058559537,0.0001460999483242631,0.00043510005343705416,0.0009781999979168177,4.670012276619673e-05,0.0029624999733641744
6,0.00010600010864436626,4.10998472943902e-05,3.6100042052567005e-05,9.059999138116837e-05,0.0006008000345900655,5.45999500900507e-05,1.910002902150154e-05,3.750005271285772e-05,1.600012183189392e-06,4.9200025387108326e-05,0.00011380005162209272,0.00010709988418966532,0.0003839000128209591,0.0009250000584870577,4.349986556917429e-05,0.002609899966046214
7,0.0001105000264942646,4.3400097638368607e-05,3.9499951526522636e-05,9.480002336204052e-05,0.00048070005141198635,5.989999044686556e-05,2.0499923266470432e-05,4.0599959902465343e-05,1.600012183189392e-06,5.340005736798048e-05,0.0001202999847009778,0.00011319993063807487,0.00029239989817142487,0.0009512000251561403,4.6800123527646065e-05,0.002468800055794418
8,0.00011090014595538378,4.279997665435076e-05,3.869994543492794e-05,9.699992369860411e-05,0.0012123000342398882,5.9299985878169537e-05,2.0799925550818443e-05,4.0599959902465343e-05,1.800013706088066e-06,5.360017530620098e-05,0.00011450005695223808,0.00011230004020035267,0.0009722000686451793,0.0009787000017240644,4.689989145845175e-05,0.0039024001453071833
9,0.00011010002344846725,4.339986480772495e-05,3.930006641894579e-05,9.69000393524766e-05,0.0004208999453112483,6.009999196976423e-05,2.0600040443241596e-05,4.0899962186813354e-05,1.700012944638729e-06,5.310005508363247e-05,0.0001183999702334404,0.00011280004400759935,0.00030519999563694,0.0009853000519797206,4.6900007873773575e-05,0.002455600071698427
10,0.00010659999679774046,4.170008469372988e-05,3.7499936297535896e-05,9.539991151541471e-05,0.0004135000053793192,5.800009239464998e-05,1.9700033590197563e-05,3.979995381087065e-05,1.600012183189392e-06,5.089992191642523e-05,0.00015030009672045708,0.00010810000821948051,0.0002839000662788749,0.0009689999278634787,4.549988079816103e-05,0.002421499928459525
