execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0600313544273376e-05,1.0799616575241089e-05,9.799841791391373e-06,6.299931555986404e-06,0.0003022998571395874,6.800051778554916e-06,5.300156772136688e-06,9.399838745594025e-06,1.0599847882986069e-05,0.006685599684715271,7.790001109242439e-05,7.450021803379059e-05,0.00022240029647946358,1.4599878340959549e-05,1.019984483718872e-05,0.007457099389284849
2,1.1000316590070724e-05,1.0599847882986069e-05,1.0100193321704865e-05,6.500165909528732e-06,0.00031640008091926575,7.0999376475811005e-06,4.999805241823196e-06,9.799841791391373e-06,1.0999850928783417e-05,0.007001600228250027,8.200015872716904e-05,7.750000804662704e-05,0.0002422998659312725,1.5099998563528061e-05,1.0299962013959885e-05,0.007816300261765718
3,1.090019941329956e-05,1.0799616575241089e-05,9.699724614620209e-06,6.500165909528732e-06,0.0002549001947045326,6.800051778554916e-06,4.90015372633934e-06,8.999835699796677e-06,1.0499730706214905e-05,0.0045267995446920395,7.869955152273178e-05,7.429998368024826e-05,0.00017799995839595795,1.4100223779678345e-05,1.0099727660417557e-05,0.005205998662859201
4,1.0699965059757233e-05,1.090019941329956e-05,1.00000761449337e-05,6.299931555986404e-06,0.001391800120472908,7.299706339836121e-06,4.800036549568176e-06,1.0299962013959885e-05,1.0400079190731049e-05,0.004461799748241901,0.0032428004778921604,0.01602970017120242,0.001026300247758627,1.4599878340959549e-05,1.1200085282325745e-05,0.026248900685459375
5,1.3600103557109833e-05,1.0800547897815704e-05,1.0100193321704865e-05,6.299931555986404e-06,0.0002478999085724354,6.9998204708099365e-06,4.90015372633934e-06,9.499955922365189e-06,1.0400079190731049e-05,0.004563300404697657,7.779989391565323e-05,7.600011304020882e-05,0.00017719995230436325,1.4200340956449509e-05,1.3300217688083649e-05,0.005242301616817713
6,1.0999850928783417e-05,1.0699965059757233e-05,9.799841791391373e-06,6.399583071470261e-06,0.0002486999146640301,6.800051778554916e-06,5.200039595365524e-06,9.600073099136353e-06,1.0599847882986069e-05,0.004533899948000908,7.749954238533974e-05,7.400009781122208e-05,0.00017919996753335,1.4399643987417221e-05,1.0699499398469925e-05,0.005208497866988182
7,9.799841791391373e-06,8.280016481876373e-05,9.700190275907516e-06,1.1799857020378113e-05,0.0021807998418807983,6.899703294038773e-06,7.6000578701496124e-06,1.0200310498476028e-05,1.0599847882986069e-05,8.169980719685555e-05,0.013086599763482809,0.05149210011586547,0.001955899875611067,1.6999896615743637e-05,0.0020871004089713097,0.07105059968307614
8,2.0700041204690933e-05,9.430013597011566e-05,1.949956640601158e-05,1.5600118786096573e-05,0.00946080032736063,1.3899989426136017e-05,1.0699499398469925e-05,1.9700266420841217e-05,2.0699575543403625e-05,0.0031054001301527023,0.021573100239038467,0.05503559950739145,0.0031241001561284065,2.7299858629703522e-05,0.0018481998704373837,0.09438959928229451
9,2.1399930119514465e-05,8.83997417986393e-05,1.9399914890527725e-05,1.2500211596488953e-05,0.008763200137764215,1.4100223779678345e-05,9.899493306875229e-06,2.0099803805351257e-05,2.1400395780801773e-05,0.00309569900855422,0.016114000231027603,0.04759289976209402,0.0024581998586654663,2.7399975806474686e-05,0.0018388000316917896,0.08009739872068167
10,1.3399869203567505e-05,1.0599847882986069e-05,9.499955922365189e-06,6.1998143792152405e-06,0.0002501998096704483,6.6999346017837524e-06,4.999805241823196e-06,9.09995287656784e-06,1.0099727660417557e-05,0.0044120000675320625,8.41999426484108e-05,7.269997149705887e-05,0.00017119990661740303,1.3699755072593689e-05,9.999610483646393e-06,0.00508459797129035
11,1.0299496352672577e-05,1.0800082236528397e-05,9.499955922365189e-06,6.100162863731384e-06,0.0002978001721203327,6.800051778554916e-06,5.09992241859436e-06,9.199604392051697e-06,1.019984483718872e-05,0.006583999842405319,7.639965042471886e-05,7.779989391565323e-05,0.00021700002253055573,1.4200340956449509e-05,1.0400079190731049e-05,0.0073455991223454475
12,1.12997367978096e-05,1.1000316590070724e-05,1.309998333454132e-05,6.5998174250125885e-06,0.0003486000932753086,6.800051778554916e-06,7.999595254659653e-06,9.499955922365189e-06,1.0600313544273376e-05,0.007126400247216225,7.930025458335876e-05,7.489975541830063e-05,0.00022589974105358124,1.5700235962867737e-05,1.3499986380338669e-05,0.007961200084537268
