execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.1999974958598614e-05,1.2199976481497288e-05,1.1300086043775082e-05,7.200054824352264e-06,0.00037029990926384926,8.09994526207447e-06,8.999952115118504e-06,1.0299962013959885e-05,2.100015990436077e-06,0.008094900054857135,9.380001574754715e-05,8.9899986051023e-05,0.00026869995053857565,1.6900128684937954e-05,1.179997343569994e-05,0.00901849998626858
2,1.1999974958598614e-05,1.279998105019331e-05,1.1999974958598614e-05,7.300055585801601e-06,0.00036669999826699495,8.100061677396297e-06,5.700043402612209e-06,1.100008375942707e-05,1.800013706088066e-06,0.008104900014586747,9.330001194030046e-05,9.620003402233124e-05,0.00026570004411041737,1.7400016076862812e-05,1.2500095181167126e-05,0.009027400403283536
3,1.2199976481497288e-05,1.9300030544400215e-05,1.1500087566673756e-05,7.6000578701496124e-06,0.0003111000405624509,8.100061677396297e-06,5.900044925510883e-06,1.0900082997977734e-05,2.199900336563587e-06,0.005690500023774803,9.640003554522991e-05,9.109999518841505e-05,0.00021900003775954247,1.750001683831215e-05,1.1800089851021767e-05,0.006515100481919944
4,1.2399978004395962e-05,1.2300093658268452e-05,1.1899974197149277e-05,7.4999406933784485e-06,0.0016277999384328723,8.400063961744308e-06,5.799927748739719e-06,1.1599971912801266e-05,1.8998980522155762e-06,0.005215400015003979,0.0039450000040233135,0.018577400012873113,0.0011958000250160694,1.650000922381878e-05,1.3399985618889332e-05,0.03066309983842075
5,1.2600095942616463e-05,1.1600088328123093e-05,1.1499971151351929e-05,6.800051778554916e-06,0.00029710005037486553,7.899943739175797e-06,5.400041118264198e-06,1.0599847882986069e-05,2.00001522898674e-06,0.005419500055722892,9.620003402233124e-05,9.049999061971903e-05,0.00020670006051659584,1.6799895092844963e-05,1.1599971912801266e-05,0.006206800113432109
6,1.2200092896819115e-05,1.1699972674250603e-05,1.1400086805224419e-05,6.800051778554916e-06,0.0002960000419989228,7.5999414548277855e-06,5.300040356814861e-06,1.0399962775409222e-05,1.9000144675374031e-06,0.005264599923975766,9.390001650899649e-05,8.749996777623892e-05,0.00020589993800967932,1.640012487769127e-05,1.1399970389902592e-05,0.0060430001467466354
7,1.1499971151351929e-05,9.549991227686405e-05,1.2100092135369778e-05,7.100054062902927e-06,0.00274560006801039,8.600065484642982e-06,5.700043402612209e-06,1.179997343569994e-05,2.100015990436077e-06,9.670003782957792e-05,0.01563089992851019,0.06102399993687868,0.002329000039026141,1.6500125639140606e-05,0.002863300032913685,0.08486040029674768
8,1.1999974958598614e-05,1.2100092135369778e-05,1.1499971151351929e-05,7.200054824352264e-06,0.0020822000224143267,8.499948307871819e-06,5.700043402612209e-06,1.0900082997977734e-05,1.9000144675374031e-06,0.002655500080436468,0.007207700051367283,0.030659200041554868,0.0015045999316498637,2.0099920220673084e-05,1.2399978004395962e-05,0.04421150020789355
9,1.289986539632082e-05,1.2600095942616463e-05,1.1500087566673756e-05,7.4999406933784485e-06,0.0010809999657794833,8.70006624609232e-06,6.100046448409557e-06,1.1400086805224419e-05,2.399901859462261e-06,0.0029209001222625375,0.003062599920667708,0.015491400030441582,0.000739299925044179,1.7100130207836628e-05,1.3100099749863148e-05,0.023398500285111368
10,1.2499862350523472e-05,1.3299868442118168e-05,1.2200092896819115e-05,7.699942216277122e-06,0.000318199978210032,8.400063961744308e-06,5.899928510189056e-06,1.0999967344105244e-05,2.100015990436077e-06,0.005621600081212819,9.959994349628687e-05,9.270000737160444e-05,0.0002172000240534544,1.7600134015083313e-05,1.209997572004795e-05,0.00645209988579154
11,1.2899981811642647e-05,2.0200037397444248e-05,1.1799857020378113e-05,7.6000578701496124e-06,0.000372299924492836,9.00006853044033e-06,5.599926225841045e-06,1.1199968867003918e-05,2.300017513334751e-06,0.00936359993647784,0.00013780011795461178,9.980006143450737e-05,0.00026809994596987963,1.8299906514585018e-05,1.2599979527294636e-05,0.010353099787607789
12,1.2100092135369778e-05,1.2100092135369778e-05,2.650008536875248e-05,7.300055585801601e-06,0.00037070002872496843,8.399947546422482e-06,5.499925464391708e-06,1.0600080713629723e-05,3.00002284348011e-06,0.008099300088360906,9.359989780932665e-05,9.129999671131372e-05,0.0002734999870881438,1.7300131730735302e-05,1.1699972674250603e-05,0.009042900404892862
