class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
Full_Consensus_Sequence,subkind,subkind,False,True,False,2,0,8
Virus_Infected_Tissue,subkind,subkind,False,True,False,1,0,1
Virus_Sequence,kind,kind,False,False,True,1,4,8
Biological_Data_Institution,subkind,subkind,False,True,False,1,0,5
Publication,relator,kind,True,False,False,0,1,1
Thymine,subkind,subkind,False,True,False,1,0,5
Animal_Species,type,other,False,True,False,1,0,2
Regular_Sequence,rolemixin,rolemixin,False,True,False,1,0,8
Negative_Stranded_Molecule_Type,type,other,False,True,False,1,0,2
Assembling_Laboratory,historicalrole,role,False,True,False,2,0,5
In_Vitro_Host,role,role,False,True,False,2,0,13
Cytosine,subkind,subkind,False,True,False,1,0,5
Organization,kind,kind,True,False,False,0,5,5
Author,role,role,False,True,False,4,0,13
Bat,kind,kind,False,True,False,2,0,13
Project_Participant,role,role,False,True,False,4,0,13
Threonine,subkind,subkind,False,True,False,1,0,4
Biological_Species,type,other,True,False,False,0,2,2
Person,kind,kind,False,False,True,2,4,13
Guanine,subkind,subkind,False,True,False,1,0,5
Reference_Sequence,rolemixin,rolemixin,False,True,False,1,0,8
Protein,kind,kind,False,True,False,1,0,8
Codon,subkind,subkind,False,True,False,3,0,8
Arginine,subkind,subkind,False,True,False,1,0,4
Nucleotide_Subsequence,subkind,subkind,False,False,True,2,2,8
Sequencing_Laboratory,historicalrole,role,False,True,False,2,0,5
Research_Laboratory,subkind,subkind,False,False,True,1,3,5
Sampled_Animal,historicalrolemixin,rolemixin,False,True,False,2,0,13
Virus_Host,rolemixin,rolemixin,True,False,False,0,2,13
Leucine,subkind,subkind,False,True,False,1,0,4
Biological_Tissue,quantity,kind,True,False,False,0,1,1
Viral_Disease,event,other,False,True,False,1,0,1
Viral_Response,event,other,True,False,False,0,1,1
Animal,category,category,False,False,True,1,8,13
Virus_Sequencing_Publication,subkind,subkind,False,True,False,1,0,1
Double-Stranded_Molecule_Type,type,other,True,False,False,0,2,2
Biological_Organism,category,category,True,False,False,0,10,13
Virus,kind,kind,False,True,False,1,0,13
Analyst,role,role,False,True,False,3,0,13
Cell_Line,kind,kind,True,False,False,0,1,13
Positive_Stranded_Molecule_Type,type,other,False,True,False,1,0,2
Researcher,role,role,False,False,True,3,2,13
Nucleotide,kind,kind,True,False,False,0,5,5
Coding_Region,subkind,subkind,False,True,False,3,0,8
Living_Host,rolemixin,rolemixin,False,True,False,3,0,13
Virus_Species,type,other,False,True,False,1,0,2
Sampling_Laboratory,historicalrole,role,False,True,False,2,0,5
Sequence,category,category,True,False,False,0,8,8
Uracil,subkind,subkind,False,True,False,1,0,5
Proline,subkind,subkind,False,True,False,1,0,4
Adenine,subkind,subkind,False,True,False,1,0,5
Amino_acid,kind,kind,True,False,False,0,4,4
