execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.170008908957243e-05,8.5500068962574e-05,1.1200085282325745e-05,9.89984255284071e-06,8.929998148232698e-05,1.1799857020378113e-05,8.140003774315119e-05,1.3900105841457844e-05,1.3599870726466179e-05,1.9400031305849552e-05,1.1299969628453255e-05,8.499948307871819e-06,0.00040220003575086594,0.0002463000128045678,7.999944500625134e-06,0.0010239998809993267
2,1.209997572004795e-05,1.0599964298307896e-05,1.1599971912801266e-05,0.004703700076788664,1.1900090612471104e-05,0.0031757999677211046,1.1600088328123093e-05,0.00015460001304745674,1.1199968867003918e-05,2.0300038158893585e-05,7.999944500625134e-06,0.002341300016269088,6.00004568696022e-06,5.700043402612209e-06,7.500057108700275e-06,0.01049190026242286
3,1.109996810555458e-05,9.269989095628262e-05,1.4800112694501877e-05,1.0200077667832375e-05,8.22999281808734e-05,1.1399853974580765e-05,8.289993274956942e-05,1.1200085282325745e-05,1.0600080713629723e-05,1.6400008462369442e-05,8.200062438845634e-06,5.200039595365524e-06,0.0004680000711232424,0.0003029000945389271,8.00006091594696e-06,0.0011359002673998475
4,0.009359100018627942,8.859997615218163e-05,0.00010750000365078449,0.0010248000035062432,8.759996853768826e-05,0.006408700020983815,1.2399978004395962e-05,0.0003176999744027853,1.1600088328123093e-05,1.6600009985268116e-05,7.79994297772646e-06,0.0023392000002786517,6.400048732757568e-06,5.700043402612209e-06,7.200054824352264e-06,0.019800900132395327
5,1.170008908957243e-05,1.0100076906383038e-05,1.0900082997977734e-05,8.489994797855616e-05,1.0299962013959885e-05,8.409994188696146e-05,1.0200077667832375e-05,1.0999967344105244e-05,1.0199961252510548e-05,1.6400008462369442e-05,7.3999399319291115e-06,0.0011807999107986689,5.900044925510883e-06,5.300040356814861e-06,7.3999399319291115e-06,0.0014665999915450811
6,9.180000051856041e-05,0.0010961999651044607,0.0019567999988794327,1.1999858543276787e-05,0.004568499978631735,9.14999982342124e-05,1.109996810555458e-05,1.1500087566673756e-05,1.0999967344105244e-05,1.6700010746717453e-05,7.3999399319291115e-06,5.399924702942371e-06,0.00022759998682886362,0.00019269995391368866,7.899943739175797e-06,0.008308099582791328
7,1.1399970389902592e-05,8.610007353127003e-05,1.079996582120657e-05,1.009996049106121e-05,8.020002860575914e-05,1.0999967344105244e-05,8.009991142898798e-05,1.0600080713629723e-05,9.999959729611874e-06,1.4999997802078724e-05,7.500057108700275e-06,5.300040356814861e-06,0.00027600000612437725,0.00018400000408291817,7.699942216277122e-06,0.0008057999657467008
8,1.1399853974580765e-05,1.3699871487915516e-05,1.1300086043775082e-05,0.013636999996379018,1.1599855497479439e-05,1.2200092896819115e-05,8.330016862601042e-05,0.0004295001272112131,1.1299969628453255e-05,1.6399892047047615e-05,7.500057108700275e-06,0.004498000023886561,6.00004568696022e-06,5.299923941493034e-06,7.0999376475811005e-06,0.018761599902063608
9,0.009080899995751679,0.004300700034946203,0.005390199949033558,0.0009765999857336283,0.018741300096735358,0.0061672000447288156,1.170008908957243e-05,0.00029859994538128376,1.109996810555458e-05,1.6700010746717453e-05,7.70005863159895e-06,0.00219440006185323,0.0011523999273777008,0.0010192999616265297,8.199946023523808e-06,0.049377000075764954
10,1.1300086043775082e-05,8.500006515532732e-05,1.0799849405884743e-05,1.0200077667832375e-05,8.160015568137169e-05,1.1300086043775082e-05,8.080003317445517e-05,1.0999850928783417e-05,1.0399962775409222e-05,1.5600118786096573e-05,8.199946023523808e-06,5.200039595365524e-06,0.000404300051741302,0.0003010000800713897,7.6000578701496124e-06,0.0010543004609644413
11,1.1599971912801266e-05,0.0019134999020025134,1.2599979527294636e-05,1.0399962775409222e-05,0.008943299995735288,1.3199984095990658e-05,0.011429100064560771,1.2200092896819115e-05,1.0900082997977734e-05,0.0022612999891862273,8.199946023523808e-06,5.499925464391708e-06,0.0010650999611243606,0.0008600000292062759,7.500057108700275e-06,0.026564399944618344
12,1.100008375942707e-05,9.900075383484364e-06,1.0999850928783417e-05,0.0100822999374941,1.1200085282325745e-05,1.859990879893303e-05,8.480006363242865e-05,0.00029640004504472017,1.0800082236528397e-05,1.6300124116241932e-05,7.2999391704797745e-06,0.0032438000198453665,5.900044925510883e-06,5.299923941493034e-06,6.9999368861317635e-06,0.013821600121445954
13,0.004692899878136814,8.41999426484108e-05,9.96000599116087e-05,8.510006591677666e-05,7.860001642256975e-05,0.0032303999178111553,1.4600111171603203e-05,0.00017140002455562353,1.0499963536858559e-05,1.580000389367342e-05,7.400056347250938e-06,0.0011563999578356743,6.500049494206905e-06,5.600042641162872e-06,6.8999361246824265e-06,0.009665900026448071
14,1.4200108125805855e-05,1.3100099749863148e-05,1.1599971912801266e-05,8.489994797855616e-05,1.2899981811642647e-05,1.170008908957243e-05,0.012807599967345595,1.4499877579510212e-05,1.0999850928783417e-05,1.789990346878767e-05,7.79994297772646e-06,0.0012817999813705683,6.3999323174357414e-06,5.699926987290382e-06,6.8999361246824265e-06,0.014307999517768621
