class_name,stereotype_original,stereotype_gufo,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses,number_reachable_classes
PublicEntity,category,category,False,False,True,3,6,14
Foundation,subkind,subkind,False,True,False,5,0,14
OrganizationalUnit,category,category,True,False,False,0,11,14
Organization,category,category,True,False,False,0,10,14
NonEmpresarialPublicEntity,kind,kind,False,False,True,4,2,14
PublicOrganization,category,category,False,False,True,2,8,14
MixedEconomyCompany,phase,phase,False,True,False,6,0,14
Órgão,kind,kind,False,True,False,3,0,14
StateCompany,phase,phase,False,False,True,5,2,14
PublicAdmnistrativeUnit,subkind,subkind,False,True,False,2,0,14
UnityOfOrganization,kind,kind,True,False,False,0,1,14
PublicCompany,phase,phase,False,True,False,6,0,14
Autarchy,subkind,subkind,False,True,False,5,0,14
Company,kind,kind,False,False,True,1,3,14
Órgão_Colegiado,kind,kind,False,True,False,1,0,14
