execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.759990118443966e-05,1.5299883671104908e-05,1.4299992471933365e-05,1.0699965059757233e-05,0.0006235999753698707,1.1300086043775082e-05,7.300055585801601e-06,1.379998866468668e-05,1.5700003132224083e-05,0.020412600017152727,0.00015050009824335575,0.0001472998410463333,0.0004857999738305807,2.789997961372137e-05,1.5300000086426735e-05,0.021968999761156738
2,2.2400054149329662e-05,0.010165799991227686,1.5300000086426735e-05,1.0399962775409222e-05,0.0019058000762015581,1.2899981811642647e-05,0.0017514999490231276,0.00013209995813667774,0.0002616001293063164,0.008131699869409204,0.006546700024046004,0.021492100087925792,0.0017244999762624502,2.52000754699111e-05,0.011527099995873868,0.0637251001317054
3,2.1499930880963802e-05,3.1100003980100155e-05,2.2000051103532314e-05,1.8400023691356182e-05,0.0010429000249132514,2.3900065571069717e-05,1.3199984095990658e-05,2.6099965907633305e-05,2.1200045011937618e-05,0.025504200020805,0.0002264000941067934,0.0002245999639853835,0.0011184000177308917,5.0200033001601696e-05,2.550007775425911e-05,0.028369600302539766
4,0.00011929997708648443,1.5799887478351593e-05,0.00041960005182772875,1.0499963536858559e-05,0.0007561000529676676,1.0900082997977734e-05,7.00005330145359e-06,1.3699987903237343e-05,1.5600002370774746e-05,1.5600118786096573e-05,0.00011729996185749769,0.0001132000470533967,0.0007043000077828765,2.3999949917197227e-05,1.589988823980093e-05,0.0023588000331074
5,3.550003748387098e-05,0.03179509995970875,1.6900012269616127e-05,1.1199968867003918e-05,0.0010240999981760979,1.0499963536858559e-05,0.007155100000090897,0.006493299966678023,0.0010913999285548925,0.030741399968974292,0.00310850003734231,0.014575199922546744,0.0009359000250697136,2.7799978852272034e-05,0.013877099961973727,0.11089899973012507
6,2.4000066332519054e-05,2.8399983420968056e-05,2.3700064048171043e-05,1.6700010746717453e-05,1.2899981811642647e-05,1.6700010746717453e-05,0.0028389999642968178,0.00019569997675716877,2.459995448589325e-05,0.00019310007337480783,2.2700056433677673e-05,2.3900065571069717e-05,1.2100092135369778e-05,3.7800054997205734e-05,2.5699962861835957e-05,0.003497000318020582
7,2.3300177417695522e-05,2.4999957531690598e-05,2.240017056465149e-05,1.7000013031065464e-05,1.2699980288743973e-05,1.6200006939470768e-05,0.002830800018273294,0.00019160006195306778,2.3800181224942207e-05,0.00020700006280094385,3.0499999411404133e-05,2.380006480962038e-05,1.1299969628453255e-05,3.6400044336915016e-05,2.4000066332519054e-05,0.0034958007745444775
8,3.650004509836435e-05,2.729997504502535e-05,3.1800009310245514e-05,1.750001683831215e-05,0.0006772000342607498,1.8600025214254856e-05,1.2599979527294636e-05,2.3999949917197227e-05,3.220001235604286e-05,0.015129099949263036,0.000206500175409019,0.00020530004985630512,0.0004582999972626567,5.0900038331747055e-05,2.6099965907633305e-05,0.016953900223597884
9,0.00019269995391368866,2.589996438473463e-05,0.0006849999772384763,1.8400023691356182e-05,0.0013021000195294619,1.9799917936325073e-05,1.179997343569994e-05,2.3799948394298553e-05,2.4999957531690598e-05,2.7999980375170708e-05,0.00021279999054968357,0.00019620009697973728,0.0010652999626472592,4.090007860213518e-05,2.629996743053198e-05,0.0038739998126402497
10,2.219993621110916e-05,2.0900042727589607e-05,1.6000005416572094e-05,1.650000922381878e-05,9.199953638017178e-06,1.0399962775409222e-05,0.008235699962824583,0.03232400002889335,0.0006712998729199171,0.01542060007341206,1.4800112694501877e-05,3.2199895940721035e-05,7.699942216277122e-06,2.5399960577487946e-05,1.5500118024647236e-05,0.056842399877496064
11,1.6300007700920105e-05,1.550000160932541e-05,1.989991869777441e-05,1.0899966582655907e-05,8.600065484642982e-06,9.999959729611874e-06,0.00686880003195256,0.013232799945399165,0.0005339999916031957,0.008905100054107606,1.3999873772263527e-05,1.5199999324977398e-05,7.699942216277122e-06,2.9999995604157448e-05,1.4999997802078724e-05,0.029703799751587212
12,0.031011200044304132,2.4700071662664413e-05,0.0007520000217482448,2.9099988751113415e-05,0.003880899981595576,0.0005326999817043543,1.5400000847876072e-05,2.4699955247342587e-05,2.7999980375170708e-05,3.7100049667060375e-05,0.004116200027056038,0.020849499851465225,0.0030519000720232725,4.309997893869877e-05,3.309990279376507e-05,0.06442959990818053
13,1.4399876818060875e-05,0.00016739999409765005,1.479999627918005e-05,1.0100076906383038e-05,0.0003226000117138028,1.1399970389902592e-05,6.900052540004253e-06,2.1700048819184303e-05,1.4899997040629387e-05,0.00012310000602155924,0.0022345000179484487,0.006445700069889426,0.00026270002126693726,2.4700071662664413e-05,0.0035001998767256737,0.013175100088119507
14,2.1400046534836292e-05,0.03004219988361001,2.1799933165311813e-05,1.7700018361210823e-05,1.7700018361210823e-05,1.8700025975704193e-05,0.008555599953979254,0.004051600000821054,0.0009817000245675445,0.016918300068937242,0.00019710010383278131,0.0002275001024827361,1.3999990187585354e-05,3.3100019209086895e-05,0.00024839991237968206,0.06136680010240525
15,2.719997428357601e-05,0.007188200019299984,2.5400076992809772e-05,1.750001683831215e-05,2.350006252527237e-05,1.1199968867003918e-05,0.0035400999477133155,0.0001716000260785222,0.00040040002204477787,0.007591600064188242,0.00017260003369301558,0.00016219995450228453,8.09994526207447e-06,4.1500083170831203e-05,0.00020330003462731838,0.01958440023008734
