execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0500196367502213e-05,1.0899733752012253e-05,1.00000761449337e-05,7.200054824352264e-06,0.0004070000723004341,7.300172001123428e-06,4.8996880650520325e-06,9.200070053339005e-06,1.80024653673172e-06,0.010799100156873465,7.910002022981644e-05,7.520010694861412e-05,0.00031690020114183426,1.6099773347377777e-05,1.0100193321704865e-05,0.011765300761908293
2,1.4500226825475693e-05,0.00470069982111454,1.1099502444267273e-05,7.80029222369194e-06,0.0013096998445689678,8.00006091594696e-06,0.0012082001194357872,8.849985897541046e-05,2.400483936071396e-06,0.0030006002634763718,0.003367699682712555,0.013953299727290869,0.0012954999692738056,1.7900019884109497e-05,0.00534899951890111,0.03433489939197898
3,1.0899733752012253e-05,1.090019941329956e-05,1.0299962013959885e-05,7.300172001123428e-06,0.00041949981823563576,7.4999406933784485e-06,5.200039595365524e-06,9.29972156882286e-06,1.900363713502884e-06,0.011744599789381027,8.209981024265289e-05,0.00010480033233761787,0.0003757001832127571,1.6299542039632797e-05,1.0300427675247192e-05,0.012816600035876036
4,7.560057565569878e-05,1.070043072104454e-05,0.0002749003469944,7.3998235166072845e-06,0.0005127000622451305,7.200054824352264e-06,4.90015372633934e-06,9.09995287656784e-06,1.8998980522155762e-06,1.019984483718872e-05,8.12998041510582e-05,7.599964737892151e-05,0.0004059998318552971,1.5600118786096573e-05,1.0400544852018356e-05,0.0015039010904729366
5,1.090019941329956e-05,0.016132500022649765,1.0299962013959885e-05,1.0500196367502213e-05,0.0006725001148879528,7.300172001123428e-06,0.004474699962884188,0.003769699949771166,1.80024653673172e-06,0.010964100249111652,0.0016744001768529415,0.008093900512903929,0.0006222999654710293,1.600012183189392e-05,0.007636199705302715,0.05409710155799985
6,9.500421583652496e-06,1.0799616575241089e-05,9.600073099136353e-06,7.0999376475811005e-06,5.300156772136688e-06,6.600283086299896e-06,0.0011728000827133656,7.729977369308472e-05,1.7997808754444122e-06,7.600011304020882e-05,9.399373084306717e-06,9.499490261077881e-06,5.3998082876205444e-06,1.5400350093841553e-05,9.999610483646393e-06,0.0014264988712966442
7,9.100418537855148e-06,1.270044595003128e-05,9.799841791391373e-06,6.800051778554916e-06,5.400273948907852e-06,6.5998174250125885e-06,0.001168699935078621,7.769977673888206e-05,1.6996636986732483e-06,7.670000195503235e-05,8.999835699796677e-06,9.300187230110168e-06,5.000270903110504e-06,1.4800112694501877e-05,9.799841791391373e-06,0.0014231004752218723
8,1.0799616575241089e-05,1.0500196367502213e-05,1.0299496352672577e-05,7.0999376475811005e-06,0.0002501998096704483,6.9998204708099365e-06,4.90015372633934e-06,9.200070053339005e-06,1.80024653673172e-06,0.004350299946963787,7.919967174530029e-05,7.509998977184296e-05,0.0001730998046696186,1.7900019884109497e-05,1.0400079190731049e-05,0.005017798859626055
9,7.370021194219589e-05,1.0500196367502213e-05,0.0002605002373456955,7.199589163064957e-06,0.0005151000805199146,9.300187230110168e-06,5.000270903110504e-06,9.000301361083984e-06,1.900363713502884e-06,1.0500196367502213e-05,7.799966260790825e-05,7.800059393048286e-05,0.0004149000160396099,1.5399884432554245e-05,9.899958968162537e-06,0.0014989017508924007
10,1.0999850928783417e-05,1.090019941329956e-05,1.0600313544273376e-05,7.4999406933784485e-06,5.499925464391708e-06,6.4997002482414246e-06,0.00457199988886714,0.013244000263512135,2.00001522898674e-06,0.008371599949896336,9.799376130104065e-06,1.3699289411306381e-05,5.09992241859436e-06,1.6099773347377777e-05,1.0500196367502213e-05,0.02629679860547185
11,1.1300202459096909e-05,1.0999850928783417e-05,1.0299962013959885e-05,7.300172001123428e-06,5.700159817934036e-06,6.600283086299896e-06,0.0036546001210808754,0.008228799793869257,1.8998980522155762e-06,0.0056016999296844006,9.499490261077881e-06,1.0600313544273376e-05,5.100388079881668e-06,1.820037141442299e-05,1.0200310498476028e-05,0.017592801246792078
12,0.010368499904870987,1.0800082236528397e-05,0.0002814996987581253,7.3998235166072845e-06,0.0014257002621889114,0.0002063000574707985,4.800036549568176e-06,9.600073099136353e-06,2.200249582529068e-06,1.1499971151351929e-05,0.0017369999550282955,0.008063399698585272,0.0011396999470889568,1.639965921640396e-05,1.1400319635868073e-05,0.02329619973897934
13,2.019992098212242e-05,8.249981328845024e-05,9.700190275907516e-06,6.70040026307106e-06,0.00020360015332698822,7.0999376475811005e-06,4.7995708882808685e-06,9.900424629449844e-06,1.7997808754444122e-06,7.809977978467941e-05,0.0009422004222869873,0.004074400290846825,0.0001697000116109848,1.4599878340959549e-05,0.0017492999322712421,0.0073746005073189735
14,1.109996810555458e-05,0.012305299751460552,1.0699965059757233e-05,7.300172001123428e-06,5.900394171476364e-06,6.400048732757568e-06,0.003339099697768688,0.001631299965083599,1.900363713502884e-06,0.008333300240337849,8.170027285814285e-05,7.769931107759476e-05,4.999805241823196e-06,1.600012183189392e-05,9.8399817943573e-05,0.025931099895387888
15,1.0400079190731049e-05,0.00417939992621541,1.00000761449337e-05,6.90016895532608e-06,5.600042641162872e-06,6.500165909528732e-06,0.0011354000307619572,8.080014958977699e-05,1.8998980522155762e-06,0.0028258999809622765,8.270004764199257e-05,7.54999928176403e-05,4.999805241823196e-06,1.529976725578308e-05,9.630061686038971e-05,0.008537600748240948
