execution_number,input_class_name,input_class_stereotype
1,CategorematicConcept,subkind
2,CategorematicTerm,subkind
3,ComplexConcept,subkind
4,Concept,subkind
5,Expression,subkind
6,MentalSuppositum,role
7,MixedTerm,mixin
8,SemanticallyComplexExpression,role
9,SemanticallyComplexSpoken-WrittenTerm,subkind
10,SemanticallySimple_Expression,role
11,Spoken-WrittenSuppositum,role
12,Spoken-WrittenTerm,subkind
13,Suppositum,role
14,SyncategorematicConcept,subkind
15,SyncategorematicTerm,subkind
16,Term,kind
