execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.659989356994629e-05,2.019992098212242e-05,1.970015000551939e-05,1.0100076906383038e-05,0.0004225000739097595,1.1499971151351929e-05,7.00005330145359e-06,1.3999873772263527e-05,1.9300030544400215e-05,0.007416600128635764,0.00014849996659904718,0.0001148999435827136,0.00034829997457563877,2.969987690448761e-05,1.6099889762699604e-05,0.00861499982420355
2,2.1300045773386955e-05,2.5400076992809772e-05,1.910002902150154e-05,1.9200029782950878e-05,0.0008551999926567078,2.2700056433677673e-05,1.1999974958598614e-05,2.4499837309122086e-05,1.950003206729889e-05,0.018272300017997622,0.00019459996838122606,0.00019479996990412474,0.0007538000354543328,3.4800032153725624e-05,2.6000081561505795e-05,0.02049520018044859
3,2.610008232295513e-05,2.1099927835166454e-05,1.5099998563528061e-05,9.70007386058569e-06,0.00045190006494522095,1.2399978004395962e-05,7.70005863159895e-06,1.8500140868127346e-05,1.5600002370774746e-05,0.007006900035776198,0.0001509999856352806,0.00017709995154291391,0.0004387999651953578,2.489995677024126e-05,2.050003968179226e-05,0.008397300262004137
4,3.580015618354082e-05,0.00014760007616132498,3.0300114303827286e-05,2.0699924789369106e-05,0.01984179997816682,2.950010821223259e-05,1.559988595545292e-05,6.35999022051692e-05,3.2600248232483864e-05,0.005510600167326629,0.035854200017638505,0.1332810998428613,0.005477000027894974,5.439994856715202e-05,0.0067897000117227435,0.20718450041022152
5,1.7400016076862812e-05,2.550007775425911e-05,1.5199999324977398e-05,1.0400079190731049e-05,0.0012398000108078122,2.889998722821474e-05,7.699942216277122e-06,2.4999957531690598e-05,1.5400000847876072e-05,0.012192799942567945,0.003953199950046837,0.02039590000640601,0.0009003001032397151,2.6300083845853806e-05,2.7699978090822697e-05,0.038881500135175884
6,0.00029099988751113415,2.7000089175999165e-05,2.41999514400959e-05,1.0600080713629723e-05,0.00042360008228570223,1.1299969628453255e-05,7.200054824352264e-06,2.3099943064153194e-05,3.2400013878941536e-05,3.66999302059412e-05,0.00019519997294992208,0.0001957000931724906,0.0002623999025672674,2.9900111258029938e-05,3.23000131174922e-05,0.0016026000957936049
7,1.4599994756281376e-05,2.9400107450783253e-05,1.3999990187585354e-05,1.5300000086426735e-05,8.599949069321156e-06,9.899958968162537e-06,0.0020750000840052962,0.00015110010281205177,1.479999627918005e-05,0.0001227000029757619,2.180004958063364e-05,1.4699995517730713e-05,7.3999399319291115e-06,2.389994915574789e-05,2.100015990436077e-05,0.0025442002806812525
8,0.0002394000766798854,3.250001464039087e-05,2.4099950678646564e-05,1.5600002370774746e-05,0.0005761999636888504,1.1299969628453255e-05,1.2199976481497288e-05,2.8700102120637894e-05,2.95999925583601e-05,3.0800001695752144e-05,0.0002442999975755811,0.0003290000604465604,0.00046030001249164343,3.600004129111767e-05,3.169989213347435e-05,0.0021017000544816256
9,2.3799948394298553e-05,2.310005947947502e-05,2.1000043489038944e-05,1.0499963536858559e-05,0.000457199988886714,1.1599971912801266e-05,7.300055585801601e-06,1.9200146198272705e-05,2.220005262643099e-05,0.009537700098007917,0.0001634999644011259,0.00019379984587430954,0.0002813000464811921,3.6300159990787506e-05,2.129992935806513e-05,0.01082980027422309
10,0.00019399996381253004,2.559996210038662e-05,2.3799948394298553e-05,1.5900004655122757e-05,0.000790199963375926,1.6900012269616127e-05,1.1899974197149277e-05,2.3400061763823032e-05,2.510007470846176e-05,2.519995905458927e-05,0.00020119990222156048,0.00019969989079982042,0.0005738000618293881,3.659992944449186e-05,2.5300076231360435e-05,0.002188599784858525
