execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.6900128684937954e-05,9.180000051856041e-05,1.6000005416572094e-05,1.5400000847876072e-05,0.00012900005094707012,0.006143600097857416,2.150004729628563e-05,2.0900042727589607e-05,1.619989052414894e-05,2.619996666908264e-05,7.200054824352264e-06,5.200039595365524e-06,0.0002812999300658703,0.00019200006499886513,8.300063200294971e-06,0.006991500384174287
2,1.4400109648704529e-05,8.929998148232698e-05,1.1100084520876408e-05,1.00000761449337e-05,8.099991828203201e-05,0.007137799984775484,1.1499971151351929e-05,1.1199968867003918e-05,1.0499963536858559e-05,1.700012944638729e-05,7.0999376475811005e-06,5.799927748739719e-06,0.0003322999691590667,0.00024049996864050627,7.899943739175797e-06,0.007987399934791028
3,1.200009137392044e-05,8.60999571159482e-05,1.1200085282325745e-05,1.0399962775409222e-05,8.699996396899223e-05,0.004848099895752966,1.1799857020378113e-05,1.1199968867003918e-05,1.0500079952180386e-05,1.719989813864231e-05,7.400056347250938e-06,5.399924702942371e-06,0.00028389994986355305,0.0001892000436782837,7.800059393048286e-06,0.005599199794232845
4,0.0001015000743791461,0.021258900058455765,0.003056099987588823,2.6199850253760815e-05,0.06676810001954436,0.0037380001740530133,2.4399952962994576e-05,2.319994382560253e-05,2.2099935449659824e-05,3.550003748387098e-05,1.4500110410153866e-05,1.1100084520876408e-05,0.01040390005800873,0.0032732998952269554,1.680001150816679e-05,0.10877360019367188
5,1.1199968867003918e-05,0.0018714000470936298,1.2100092135369778e-05,1.0399962775409222e-05,0.008628600044175982,0.004965600091964006,1.2100092135369778e-05,1.1599971912801266e-05,1.0500079952180386e-05,1.750001683831215e-05,7.0999376475811005e-06,5.700043402612209e-06,0.0009715000633150339,0.0006285000126808882,1.1399970389902592e-05,0.017175200395286083
6,1.1499854736030102e-05,8.429994340986013e-05,1.0999850928783417e-05,1.0100076906383038e-05,8.170015644282103e-05,1.0899966582655907e-05,8.33999365568161e-05,1.3599987141788006e-05,1.00000761449337e-05,1.580000389367342e-05,7.100054062902927e-06,5.300040356814861e-06,0.00028009992092847824,0.00019350007642060518,7.900060154497623e-06,0.0008262000046670437
7,1.1200085282325745e-05,1.0100076906383038e-05,1.0799849405884743e-05,8.669996168464422e-05,1.019984483718872e-05,8.359993807971478e-05,1.170008908957243e-05,2.019992098212242e-05,1.1200085282325745e-05,1.640012487769127e-05,7.400056347250938e-06,0.0012808000901713967,5.800044164061546e-06,5.800044164061546e-06,7.3999399319291115e-06,0.001579300151206553
8,1.0900082997977734e-05,8.22999281808734e-05,1.100008375942707e-05,9.800074622035027e-06,7.849989924579859e-05,1.079996582120657e-05,7.800001185387373e-05,1.0499963536858559e-05,1.00000761449337e-05,1.8499908037483692e-05,7.100054062902927e-06,4.900037311017513e-06,0.000332399969920516,0.0002351999282836914,7.70005863159895e-06,0.0009076000424101949
9,1.1500087566673756e-05,8.569995407015085e-05,1.1500087566673756e-05,1.0299962013959885e-05,8.68999632075429e-05,0.004964499967172742,1.1900090612471104e-05,1.1199968867003918e-05,1.0499963536858559e-05,2.050003968179226e-05,7.1999384090304375e-06,5.199923180043697e-06,0.00027660001069307327,0.00019299995619803667,8.09994526207447e-06,0.005714599858038127
10,1.109996810555458e-05,8.279993198812008e-05,1.1199968867003918e-05,1.00000761449337e-05,8.300004992634058e-05,1.100008375942707e-05,7.82000133767724e-05,1.0199961252510548e-05,1.009996049106121e-05,1.580000389367342e-05,7.400056347250938e-06,5.300040356814861e-06,0.000462199910543859,0.0002498999238014221,7.899943739175797e-06,0.0010560998925939202
