class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Certification,kind,kind,True,False,False,0,12
CertificationArea,subkind,subkind,False,False,True,1,7
EnergyAtmosphere,subkind,subkind,False,True,False,2,0
IndoorEnvironmentQuality,subkind,subkind,False,True,False,2,0
IntegrativeProcess,subkind,subkind,False,True,False,2,0
LEEDCertified,role,role,False,True,False,1,0
LEEDGold,role,role,False,True,False,1,0
LEEDPlatinum,role,role,False,True,False,1,0
LEEDSilver,role,role,False,True,False,1,0
LocationTransportation,subkind,subkind,False,True,False,2,0
MaterialResource,subkind,subkind,False,True,False,2,0
SustainableSite,subkind,subkind,False,True,False,2,0
WaterEfficiency,subkind,subkind,False,True,False,2,0
