execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,8.759996853768826e-05,0.012717199977487326,0.0052547999657690525,1.0999967344105244e-05,0.05747570004314184,8.68999632075429e-05,1.0900082997977734e-05,1.1699972674250603e-05,1.079996582120657e-05,1.819990575313568e-05,6.4999330788850784e-06,5.400041118264198e-06,0.002214499982073903,0.001889500068500638,7.900060154497623e-06,0.07980859989766032
2,9.61000332608819e-05,0.020319300005212426,0.004940300132147968,2.2500054910779e-05,0.05861619999632239,0.0034435000270605087,2.3999949917197227e-05,2.289994154125452e-05,2.150004729628563e-05,2.9999995604157448e-05,1.370010431855917e-05,1.0800082236528397e-05,0.01070310000795871,0.0034604999236762524,1.589988823980093e-05,0.1017403001897037
3,1.1400086805224419e-05,9.040010627359152e-05,1.4699995517730713e-05,1.3199984095990658e-05,9.96999442577362e-05,0.005728700081817806,1.8100137822329998e-05,1.1200085282325745e-05,1.3599987141788006e-05,2.220005262643099e-05,6.6999346017837524e-06,5.399924702942371e-06,0.00027660001069307327,0.00018690002616494894,7.100054062902927e-06,0.006505900411866605
4,1.109996810555458e-05,9.079999290406704e-05,1.1500087566673756e-05,1.0299962013959885e-05,8.430005982518196e-05,0.004905299982056022,1.1399853974580765e-05,1.070008147507906e-05,1.0400079190731049e-05,1.5400000847876072e-05,6.6999346017837524e-06,5.100038833916187e-06,0.00026780006010085344,0.0001906000543385744,7.5999414548277855e-06,0.0056390000972896814
5,1.100008375942707e-05,8.599995635449886e-05,1.100008375942707e-05,1.00000761449337e-05,8.570007048547268e-05,0.005107399891130626,1.759990118443966e-05,1.379998866468668e-05,1.3599987141788006e-05,1.5400000847876072e-05,6.5999338403344154e-06,1.0899966582655907e-05,0.0002770000137388706,0.00019509997218847275,7.4999406933784485e-06,0.005868599866516888
6,9.96000599116087e-05,0.0132696001091972,0.005310600157827139,2.0700041204690933e-05,0.056347199832089245,9.619991760700941e-05,0.00016169983427971601,2.470018807798624e-05,2.0700041204690933e-05,2.889998722821474e-05,1.6300124116241932e-05,1.3400102034211159e-05,0.013709499966353178,0.0021015999373048544,1.5199999324977398e-05,0.09123590029776096
7,9.700004011392593e-05,0.012954500154592097,0.005158500047400594,2.429983578622341e-05,0.0559992000926286,9.760004468262196e-05,0.00016749987844377756,2.1799933165311813e-05,2.0800158381462097e-05,2.9300106689333916e-05,1.3600103557109833e-05,1.0300078429281712e-05,0.013722299947403371,0.002062799991108477,1.4999881386756897e-05,0.09039450029376894
8,0.00011080014519393444,0.013250400079414248,0.005166999995708466,2.629996743053198e-05,0.05574029986746609,9.840005077421665e-05,0.000157100148499012,2.119992859661579e-05,2.050003968179226e-05,2.929999027401209e-05,1.3199984095990658e-05,1.3299868442118168e-05,0.013569199945777655,0.002081400132738054,1.5099998563528061e-05,0.09031350014265627
9,0.0001102999085560441,0.013568699825555086,0.005259600002318621,2.4000066332519054e-05,0.06009280006401241,0.00011849985457956791,0.00019689998589456081,2.5099958293139935e-05,2.039980608969927e-05,3.250024747103453e-05,1.2999982573091984e-05,1.0599964298307896e-05,0.013446900062263012,0.0021197000751271844,1.4900113455951214e-05,0.09505389991682023
10,1.1300086043775082e-05,8.539995178580284e-05,1.100008375942707e-05,1.3599987141788006e-05,0.00010339985601603985,0.005120099987834692,1.1599855497479439e-05,1.610000617802143e-05,1.0200077667832375e-05,1.5099882148206234e-05,6.7999353632330894e-06,5.299923941493034e-06,0.00027650000993162394,0.00019230006728321314,7.6000578701496124e-06,0.005886299768462777
11,1.4399993233382702e-05,0.00011500006075948477,1.1599971912801266e-05,1.0800082236528397e-05,8.380005601793528e-05,0.007637699949555099,1.1499854736030102e-05,1.3899989426136017e-05,1.3600103557109833e-05,1.5700003132224083e-05,6.900052540004253e-06,5.400041118264198e-06,0.0002799999201670289,0.00023849995341151953,7.699942216277122e-06,0.008466499974019825
12,1.0699965059757233e-05,8.25999304652214e-05,1.0799849405884743e-05,9.800074622035027e-06,8.020014502108097e-05,0.004735199850983918,1.1299969628453255e-05,1.0500079952180386e-05,1.0299962013959885e-05,1.4699879102408886e-05,6.600050255656242e-06,5.200039595365524e-06,0.0002671999391168356,0.0001868000254034996,7.00005330145359e-06,0.00544889981392771
13,1.1399970389902592e-05,8.479994721710682e-05,1.1299969628453255e-05,9.899958968162537e-06,8.329993579536676e-05,0.004939500126056373,1.4800112694501877e-05,1.4299992471933365e-05,1.0399962775409222e-05,1.5099882148206234e-05,6.900052540004253e-06,6.800051778554916e-06,0.0002688000677153468,0.00019090005662292242,7.4999406933784485e-06,0.005675700027495623
