execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.2199976481497288e-05,9.720004163682461e-05,1.279998105019331e-05,7.70005863159895e-06,0.002637699944898486,8.200062438845634e-06,6.6999346017837524e-06,1.1999974958598614e-05,2.00001522898674e-06,0.00010000006295740604,0.013648600201122463,0.05948950012680143,0.002060699975118041,1.6900012269616127e-05,0.005352999898605049,0.08346520026680082
2,1.3199867680668831e-05,1.1999974958598614e-05,1.2200092896819115e-05,7.500057108700275e-06,0.002118299948051572,8.79995059221983e-06,5.899928510189056e-06,1.1500087566673756e-05,2.200016751885414e-06,0.0026424999814480543,0.006312799989245832,0.03249770007096231,0.0014934999635443091,1.6500125639140606e-05,1.2899981811642647e-05,0.045167500036768615
3,1.1999858543276787e-05,1.2199976481497288e-05,1.1300086043775082e-05,7.1999384090304375e-06,0.00029829994309693575,1.1200085282325745e-05,5.899928510189056e-06,1.0500079952180386e-05,2.299901098012924e-06,0.005274199997074902,9.089999366551638e-05,8.669996168464422e-05,0.00019890000112354755,1.5900121070444584e-05,1.1499971151351929e-05,0.00604899984318763
4,1.2099859304726124e-05,1.209997572004795e-05,1.0999967344105244e-05,1.0100076906383038e-05,0.0002875999780371785,7.699942216277122e-06,5.500041879713535e-06,1.0399962775409222e-05,2.500019036233425e-06,0.005243899999186397,0.00010059995111078024,8.669996168464422e-05,0.00021009996999055147,1.559988595545292e-05,1.1699856258928776e-05,0.006027599447406828
5,1.2600095942616463e-05,1.550000160932541e-05,1.179997343569994e-05,7.79994297772646e-06,0.00030259997583925724,8.00006091594696e-06,6.09993003308773e-06,1.1099851690232754e-05,2.300017513334751e-06,0.005422399961389601,9.350001346319914e-05,8.969998452812433e-05,0.00020769995171576738,1.6699894331395626e-05,1.2199976481497288e-05,0.006219999631866813
6,8.68999632075429e-05,1.1800089851021767e-05,1.1599855497479439e-05,7.100054062902927e-06,0.0002513999352231622,8.09994526207447e-06,5.300040356814861e-06,1.0500079952180386e-05,1.9000144675374031e-06,1.1500087566673756e-05,9.979994501918554e-05,8.699996396899223e-05,0.0001479999627918005,1.5199999324977398e-05,1.170008908957243e-05,0.0007678000256419182
7,8.79999715834856e-05,1.2299977242946625e-05,1.1200085282325745e-05,7.3999399319291115e-06,0.00028909998945891857,9.200070053339005e-06,5.699926987290382e-06,1.070008147507906e-05,2.00001522898674e-06,1.2599863111972809e-05,9.04998742043972e-05,9.089999366551638e-05,0.0001716000260785222,1.6399892047047615e-05,1.1499971151351929e-05,0.000829099677503109
8,9.009998757392168e-05,1.2499978765845299e-05,1.109996810555458e-05,1.309998333454132e-05,0.0002527000615373254,8.200062438845634e-06,5.500041879713535e-06,1.0500079952180386e-05,2.100015990436077e-06,1.2599979527294636e-05,9.450002107769251e-05,9.400001727044582e-05,0.0001629000762477517,1.5400000847876072e-05,1.1900090612471104e-05,0.0007971003651618958
9,8.919998072087765e-05,1.2399978004395962e-05,1.1299969628453255e-05,7.00005330145359e-06,0.00024970003869384527,7.999944500625134e-06,5.300040356814861e-06,1.0500079952180386e-05,1.9000144675374031e-06,1.1500087566673756e-05,9.14999982342124e-05,8.579995483160019e-05,0.00015540001913905144,1.6700010746717453e-05,1.1699856258928776e-05,0.0007679000264033675
10,1.2500095181167126e-05,1.2500095181167126e-05,1.1499971151351929e-05,7.400056347250938e-06,0.00030860002152621746,8.199946023523808e-06,5.800044164061546e-06,1.070008147507906e-05,2.00001522898674e-06,0.0055296000791713595,9.730004239827394e-05,9.350001346319914e-05,0.00021160009782761335,1.6600009985268116e-05,1.1900090612471104e-05,0.006339700659736991
11,1.2399861589074135e-05,1.2400094419717789e-05,1.1600088328123093e-05,7.200054824352264e-06,0.00030129996594041586,8.00006091594696e-06,5.800044164061546e-06,1.2599979527294636e-05,2.00001522898674e-06,0.005447400035336614,9.380001574754715e-05,9.290000889450312e-05,0.0002117999829351902,1.6800127923488617e-05,1.1999858543276787e-05,0.0062480001943185925
12,1.2699980288743973e-05,1.209997572004795e-05,1.2300093658268452e-05,7.70005863159895e-06,0.00034629995934665203,8.599949069321156e-06,5.900044925510883e-06,1.079996582120657e-05,2.300017513334751e-06,0.005526100052520633,9.210000280290842e-05,9.469990618526936e-05,0.00021580001339316368,1.6900128684937954e-05,1.2299977242946625e-05,0.0063766001258045435
13,1.300009898841381e-05,1.2399861589074135e-05,1.1599971912801266e-05,7.100054062902927e-06,0.00030479999259114265,8.200062438845634e-06,5.600042641162872e-06,1.2899981811642647e-05,2.00001522898674e-06,0.005466500064358115,9.360001422464848e-05,8.979998528957367e-05,0.00021410000044852495,1.6700010746717453e-05,1.1800089851021767e-05,0.006270100246183574
