class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Bishop,role,role,False,False,True,3,4
Cardinal,role,role,False,False,True,3,2
Cardinal_Nominator,role,role,False,True,False,5,0
Clergy_Member,role,role,False,False,True,1,15
Clergyman,role,role,False,False,True,3,1
Deacon,role,role,False,True,False,3,0
Layman,role,role,False,True,False,3,0
Ordained_Bishop,role,role,False,True,False,4,0
Ordinator_of_Bishop,role,role,False,True,False,4,0
Ordinator_of_Deacon,role,role,False,True,False,4,0
Ordinator_of_Priest,role,role,False,True,False,4,0
Person,kind,kind,True,False,False,0,16
Pope,role,role,False,False,True,4,1
Priest,role,role,False,True,False,3,0
Regular_Clergy_Member,role,role,False,False,True,2,3
Secular_Clergy_Member,role,role,False,False,True,2,10
Witness_of_Profession,role,role,False,True,False,4,0
