execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.022023900179192424,1.3200100511312485e-05,1.0500079952180386e-05,7.899943739175797e-06,0.0017941000405699015,1.0399962775409222e-05,5.300040356814861e-06,1.0100076906383038e-05,1.6399892047047615e-05,1.200009137392044e-05,0.0032761000329628587,0.015843599918298423,0.0013064000522717834,0.004157499992288649,1.189985778182745e-05,0.04849930026102811
2,0.010729100089520216,1.379998866468668e-05,1.0199961252510548e-05,7.2999391704797745e-06,0.0010314000537618995,7.0999376475811005e-06,5.200039595365524e-06,9.900075383484364e-06,1.170008908957243e-05,1.1999974958598614e-05,0.002178699942305684,0.008426899905316532,0.0007938999915495515,0.00215419998858124,1.8900027498602867e-05,0.025410300004296005
3,7.860001642256975e-05,1.0800082236528397e-05,9.499955922365189e-06,7.5999414548277855e-06,0.0004440000047907233,7.5999414548277855e-06,5.00003807246685e-06,9.400071576237679e-06,1.0499963536858559e-05,1.0399962775409222e-05,7.790001109242439e-05,7.579999510198832e-05,0.0003532000118866563,1.610000617802143e-05,1.0199961252510548e-05,0.0011265999637544155
4,0.10569850006140769,5.16998115926981e-05,1.6400008462369442e-05,1.4599994756281376e-05,0.017740099923685193,1.1299969628453255e-05,1.070008147507906e-05,1.5800120308995247e-05,1.8300139345228672e-05,5.550007335841656e-05,0.03649479988962412,0.09100060001946986,0.007195900077931583,0.018024700111709535,0.000512799946591258,0.27686170022934675
5,0.005444400128908455,1.0699965059757233e-05,9.900075383484364e-06,6.9999368861317635e-06,0.0006246999837458134,7.3999399319291115e-06,5.00003807246685e-06,9.500072337687016e-06,1.3499869965016842e-05,1.1499971151351929e-05,0.0009546000510454178,0.004086200031451881,0.0004708999767899513,0.0011136999819427729,1.1299853213131428e-05,0.012780299875885248
6,7.329997606575489e-05,1.0299962013959885e-05,9.500072337687016e-06,6.500049494206905e-06,0.0003065000055357814,7.2999391704797745e-06,4.799920134246349e-06,8.899951353669167e-06,9.399955160915852e-06,9.900075383484364e-06,7.960002403706312e-05,7.389998063445091e-05,0.00022040004841983318,1.4699879102408886e-05,9.800074622035027e-06,0.0008447999134659767
7,7.349997758865356e-05,1.0999967344105244e-05,9.600073099136353e-06,6.6999346017837524e-06,0.00031940010376274586,7.6000578701496124e-06,4.800036549568176e-06,9.09995287656784e-06,9.999843314290047e-06,1.0199961252510548e-05,7.819989696145058e-05,7.730000652372837e-05,0.00022879999596625566,1.559988595545292e-05,9.800074622035027e-06,0.0008715997682884336
8,7.760000880807638e-05,1.0900082997977734e-05,9.500072337687016e-06,6.700051017105579e-06,0.0003717999206855893,7.400056347250938e-06,4.900037311017513e-06,9.299954399466515e-06,1.0100076906383038e-05,1.0300078429281712e-05,7.780001033097506e-05,7.449998520314693e-05,0.0002709000837057829,1.5600002370774746e-05,1.009996049106121e-05,0.0009674003813415766
9,7.219996768981218e-05,1.0500079952180386e-05,9.399955160915852e-06,6.4999330788850784e-06,0.00035909994039684534,7.1999384090304375e-06,4.700035788118839e-06,9.00006853044033e-06,9.70007386058569e-06,9.999959729611874e-06,7.489998824894428e-05,7.639988325536251e-05,0.0002668000524863601,1.5400000847876072e-05,9.999959729611874e-06,0.0009417998371645808
10,7.440010085701942e-05,1.079996582120657e-05,1.209997572004795e-05,6.7999353632330894e-06,0.0003826000029221177,7.300055585801601e-06,4.900037311017513e-06,9.400071576237679e-06,1.0500079952180386e-05,1.079996582120657e-05,8.019991219043732e-05,7.790001109242439e-05,0.00027269998099654913,1.6699894331395626e-05,1.109996810555458e-05,0.0009881999576464295
11,7.429998368024826e-05,1.089985016733408e-05,9.400071576237679e-06,6.500049494206905e-06,0.0003677000058814883,7.500057108700275e-06,4.599918611347675e-06,9.499955922365189e-06,9.999959729611874e-06,1.0399962775409222e-05,7.779989391565323e-05,7.589999586343765e-05,0.00027199997566640377,1.5699886716902256e-05,1.0399962775409222e-05,0.0009625995298847556
12,1.0400079190731049e-05,8.600007276982069e-05,1.0299962013959885e-05,6.600050255656242e-06,0.004029999952763319,7.5999414548277855e-06,5.200039595365524e-06,1.0400079190731049e-05,1.0500079952180386e-05,7.900013588368893e-05,0.024621499935165048,0.0826369000133127,0.003601800068281591,1.5900004655122757e-05,0.0010128999128937721,0.11614500032737851
13,0.005316099966876209,1.0599964298307896e-05,9.699957445263863e-06,6.8999361246824265e-06,0.0007850000401958823,6.9999368861317635e-06,4.800036549568176e-06,9.499955922365189e-06,1.0600080713629723e-05,1.1699972674250603e-05,0.0010031999554485083,0.003996500046923757,0.0005649999948218465,0.0011233000550419092,1.1300086043775082e-05,0.012871199985966086
14,7.210008334368467e-05,1.200009137392044e-05,9.200070053339005e-06,6.3999323174357414e-06,0.00030529999639838934,7.300055585801601e-06,4.700035788118839e-06,8.800067007541656e-06,9.599956683814526e-06,1.009996049106121e-05,7.840001489967108e-05,7.199996616691351e-05,0.00021929992362856865,1.7099897377192974e-05,9.899958968162537e-06,0.0008422000100836158
15,0.016787800006568432,1.1499854736030102e-05,1.070008147507906e-05,7.500057108700275e-06,0.0012016999535262585,7.3999399319291115e-06,5.300040356814861e-06,1.00000761449337e-05,1.1699972674250603e-05,1.1699972674250603e-05,0.0029879999347031116,0.013028300018049777,0.000889900024048984,0.0032911001471802592,1.3299984857439995e-05,0.03827590006403625
16,0.05411989998538047,1.0999967344105244e-05,1.109996810555458e-05,7.70005863159895e-06,0.003478499944321811,6.900052540004253e-06,5.300040356814861e-06,9.599956683814526e-06,1.1800089851021767e-05,1.2499978765845299e-05,0.010140999918803573,0.042278700158931315,0.0026458000065758824,0.010256600100547075,1.4899997040629387e-05,0.12301130022387952
17,8.870009332895279e-05,1.0200077667832375e-05,8.999952115118504e-06,6.400048732757568e-06,0.00035420001950114965,7.1999384090304375e-06,4.699919372797012e-06,8.79995059221983e-06,9.599956683814526e-06,1.0299962013959885e-05,7.51999905332923e-05,7.560010999441147e-05,0.0004921000218018889,1.5200115740299225e-05,9.699957445263863e-06,0.0011769001139327884
