execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,0.02406720002181828,1.719989813864231e-05,1.2800097465515137e-05,8.500064723193645e-06,0.001914600026793778,8.999952115118504e-06,6.100046448409557e-06,1.179997343569994e-05,2.199900336563587e-06,1.400010660290718e-05,0.0038111999165266752,0.018443700042553246,0.0014553999062627554,0.004671500064432621,1.3999990187585354e-05,0.05445920000784099
2,0.013002199935726821,1.3499986380338669e-05,1.4299992471933365e-05,8.699949830770493e-06,0.001218800083734095,8.899951353669167e-06,6.200047209858894e-06,1.209997572004795e-05,2.400018274784088e-06,1.6099889762699604e-05,0.0026442999951541424,0.010638399980962276,0.0009301999816671014,0.0025819999864324927,1.4399993233382702e-05,0.031112499767914414
3,9.129999671131372e-05,1.27000967040658e-05,1.1599971912801266e-05,8.00006091594696e-06,0.0005629999795928597,9.100069291889668e-06,5.700043402612209e-06,1.1100084520876408e-05,2.00001522898674e-06,1.2499978765845299e-05,9.360001422464848e-05,9.290000889450312e-05,0.00038219999987632036,1.8699909560382366e-05,1.2499978765845299e-05,0.0013269002083688974
4,0.10339050006587058,1.4399993233382702e-05,1.4200108125805855e-05,8.70006624609232e-06,0.005461800028569996,7.100054062902927e-06,6.300047971308231e-06,1.2399978004395962e-05,2.400018274784088e-06,1.619989052414894e-05,0.022002500016242266,0.0835203001042828,0.004142699996009469,0.01859410002361983,1.4200108125805855e-05,0.23720780049916357
5,0.006807899917475879,1.4200108125805855e-05,1.379998866468668e-05,8.900067768990993e-06,0.0009167001117020845,1.0400079190731049e-05,6.299931555986404e-06,1.2499978765845299e-05,2.500019036233425e-06,1.5800120308995247e-05,0.001325199962593615,0.005309200030751526,0.000623099971562624,0.0014316999586299062,1.4599878340959549e-05,0.01651280012447387
6,0.00013020006008446217,1.4499877579510212e-05,2.050003968179226e-05,1.3199984095990658e-05,0.0006651999428868294,2.159993164241314e-05,1.1899974197149277e-05,1.6200006939470768e-05,2.600019797682762e-06,1.7699901945888996e-05,0.0003247000277042389,0.00012960005551576614,0.00046929996460676193,2.789997961372137e-05,1.800013706088066e-05,0.0018830999033525586
7,0.00010869989637285471,1.4999881386756897e-05,1.3999990187585354e-05,9.400071576237679e-06,0.0005320999771356583,1.079996582120657e-05,6.600050255656242e-06,1.7999904230237007e-05,2.299901098012924e-06,1.5199999324977398e-05,0.0001156999496743083,0.00014260003808885813,0.0003333999775350094,2.1999934688210487e-05,1.9900035113096237e-05,0.0013656995724886656
8,9.950005915015936e-05,1.5099998563528061e-05,1.3299984857439995e-05,8.600065484642982e-06,0.0005037999944761395,1.0100076906383038e-05,6.4999330788850784e-06,1.2799864634871483e-05,2.300017513334751e-06,1.4100107364356518e-05,0.00010469998233020306,0.0001007000682875514,0.00035610003396868706,2.0900042727589607e-05,1.4299992471933365e-05,0.0012828002218157053
9,0.0001007000682875514,1.389987301081419e-05,1.2399978004395962e-05,8.299946784973145e-06,0.00048379995860159397,9.599956683814526e-06,6.200047209858894e-06,1.179997343569994e-05,2.100015990436077e-06,1.309998333454132e-05,9.860005229711533e-05,9.700004011392593e-05,0.00034820009022951126,2.0300038158893585e-05,1.2899981811642647e-05,0.0012389000039547682
10,9.119999594986439e-05,1.3099866919219494e-05,1.2299977242946625e-05,8.200062438845634e-06,0.0004723999882116914,9.299954399466515e-06,6.100046448409557e-06,1.1499854736030102e-05,2.200016751885414e-06,1.2899981811642647e-05,9.609991684556007e-05,9.210000280290842e-05,0.0003401999128982425,1.8900027498602867e-05,1.289986539632082e-05,0.0011993994703516364
11,9.049999061971903e-05,1.3100099749863148e-05,1.2199976481497288e-05,7.999944500625134e-06,0.0004480000352486968,9.100069291889668e-06,5.800044164061546e-06,1.1100084520876408e-05,1.999898813664913e-06,2.8400099836289883e-05,9.80000477284193e-05,9.019998833537102e-05,0.00032300001475960016,1.8700025975704193e-05,1.2600095942616463e-05,0.001170700415968895
12,1.309998333454132e-05,0.00017420004587620497,1.2999982573091984e-05,8.500064723193645e-06,0.005108100012876093,1.0499963536858559e-05,6.5999338403344154e-06,1.3299984857439995e-05,2.400018274784088e-06,0.00011190003715455532,0.03140239999629557,0.10386269993614405,0.004556200001388788,2.0499923266470432e-05,0.0012827998725697398,0.14658619975671172
13,0.006581100053153932,1.740013249218464e-05,1.2899981811642647e-05,8.400063961744308e-06,0.0009310999885201454,9.100069291889668e-06,6.199930794537067e-06,1.209997572004795e-05,2.500019036233425e-06,1.479999627918005e-05,0.0012523999903351068,0.005082599935121834,0.0007168999873101711,0.0013599999947473407,1.750001683831215e-05,0.016025000135414302
14,8.709996473044157e-05,1.2499978765845299e-05,1.1900090612471104e-05,7.899943739175797e-06,0.00039130006916821003,9.09995287656784e-06,5.700043402612209e-06,1.100008375942707e-05,2.100015990436077e-06,1.2299860827624798e-05,9.689992293715477e-05,9.049999061971903e-05,0.0002674000570550561,1.8799910321831703e-05,1.1999974958598614e-05,0.001036499859765172
15,0.01919150003232062,1.3599987141788006e-05,1.3399985618889332e-05,8.500064723193645e-06,0.0013855999568477273,9.100069291889668e-06,6.3999323174357414e-06,1.2399978004395962e-05,2.499902620911598e-06,1.479999627918005e-05,0.003617200069129467,0.015006299945525825,0.0010646999580785632,0.0037529999390244484,1.5700003132224083e-05,0.04411469982005656
16,0.06599819997791201,1.309998333454132e-05,1.389987301081419e-05,8.500064723193645e-06,0.0039805000415071845,8.200062438845634e-06,6.100046448409557e-06,1.1900090612471104e-05,2.900022082030773e-06,1.4999881386756897e-05,0.01200519991107285,0.05185409996192902,0.0030230000847950578,0.012194499955512583,1.400010660290718e-05,0.14914910006336868
17,8.399994112551212e-05,1.2299860827624798e-05,1.0999967344105244e-05,7.0999376475811005e-06,0.00043249991722404957,8.299946784973145e-06,5.400041118264198e-06,1.0699848644435406e-05,2.100015990436077e-06,1.1699856258928776e-05,9.009998757392168e-05,8.569995407015085e-05,0.0003347999881953001,2.159993164241314e-05,1.4199875295162201e-05,0.0011314990697428584
