execution,classes_b_total_classes_number,classes_b_tu_classes_types_v,classes_b_pk_classes_types_v,classes_b_tk_classes_types_v,classes_b_tu_classes_types_p,classes_b_pk_classes_types_p,classes_b_tk_classes_types_p,classes_a_total_classes_number,classes_a_tu_classes_types_v,classes_a_pk_classes_types_v,classes_a_tk_classes_types_v,classes_a_tu_classes_types_p,classes_a_pk_classes_types_p,classes_a_tk_classes_types_p,classif_b_total_classif_types_v,classif_b_unknown_classif_types_v,classif_b_known_classif_types_v,classif_a_total_classif_types_v,classif_a_unknown_classif_types_v,classif_a_known_classif_types_v,classif_b_unknown_classif_types_p,classif_b_known_classif_types_p,classif_a_unknown_classif_types_p,classif_a_known_classif_types_p,diff_tu_classes_types_v,diff_pk_classes_types_v,diff_tk_classes_types_v,diff_tu_classes_types_p,diff_pk_classes_types_p,diff_tk_classes_types_p,diff_unknown_classif_types_v,diff_known_classif_types_v,diff_unknown_classif_types_p,diff_known_classif_types_p,incomplete_classes_found
1,25,24,0,1,96.0,0.0,4.0,25,24,0,1,96.0,0.0,4.0,350,336,14,350,336,14,96.0,4.0,96.0,4.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
2,25,24,0,1,96.0,0.0,4.0,25,24,0,1,96.0,0.0,4.0,350,336,14,350,336,14,96.0,4.0,96.0,4.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
3,25,24,0,1,96.0,0.0,4.0,25,23,1,1,92.0,4.0,4.0,350,336,14,350,327,23,96.0,4.0,93.42857142857143,6.571428571428571,-1,1,0,-4.0,4.0,0.0,-9,9,-2.5714285714285694,2.571428571428571,2
4,25,24,0,1,96.0,0.0,4.0,25,22,2,1,88.0,8.0,4.0,350,336,14,350,326,24,96.0,4.0,93.14285714285714,6.857142857142858,-2,2,0,-8.0,8.0,0.0,-10,10,-2.857142857142861,2.8571428571428577,1
5,25,24,0,1,96.0,0.0,4.0,25,24,0,1,96.0,0.0,4.0,350,336,14,350,336,14,96.0,4.0,96.0,4.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
6,25,24,0,1,96.0,0.0,4.0,25,16,8,1,64.0,32.0,4.0,350,336,14,350,284,66,96.0,4.0,81.14285714285714,18.857142857142858,-8,8,0,-32.0,32.0,0.0,-52,52,-14.857142857142861,14.857142857142858,7
7,25,24,0,1,96.0,0.0,4.0,25,24,0,1,96.0,0.0,4.0,350,336,14,350,336,14,96.0,4.0,96.0,4.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
8,25,24,0,1,96.0,0.0,4.0,25,24,0,1,96.0,0.0,4.0,350,336,14,350,336,14,96.0,4.0,96.0,4.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1
9,25,24,0,1,96.0,0.0,4.0,25,23,1,1,92.0,4.0,4.0,350,336,14,350,327,23,96.0,4.0,93.42857142857143,6.571428571428571,-1,1,0,-4.0,4.0,0.0,-9,9,-2.5714285714285694,2.571428571428571,2
10,25,24,0,1,96.0,0.0,4.0,25,22,2,1,88.0,8.0,4.0,350,336,14,350,326,24,96.0,4.0,93.14285714285714,6.857142857142858,-2,2,0,-8.0,8.0,0.0,-10,10,-2.857142857142861,2.8571428571428577,1
