class_name,ontouml_stereotype,gufo_classification,is_root,is_leaf,is_intermediate,number_superclasses,number_subclasses
Automated_Affiliation_Action,event,other,False,True,False,5,0
Centralized_Transaction_Creation,event,other,False,True,False,4,0
Decentralized_Transaction_Creation,event,other,False,True,False,4,0
Delivery,event,other,True,False,False,0,15
Digital_Content_Consumption,event,other,False,False,True,2,2
Digital_Content_Creation,event,other,False,False,True,2,4
Digital_Delivery,event,other,False,False,True,1,1
Digital_Good_Transfer,event,other,False,True,False,5,0
External_Payment,event,other,False,True,False,4,0
In-house_Payment,event,other,False,True,False,4,0
Job_acceptance,event,other,False,True,False,4,0
Job_done,event,other,False,True,False,1,0
Listing_Creation,event,other,False,True,False,2,0
Listing_Search,event,other,False,True,False,3,0
MS_Platform_Supported_Interaction,event,other,False,True,False,1,0
Main_Digital_Content_Consumption,event,other,False,True,False,3,0
Main_Digital_Content_Creation,event,other,False,False,True,4,1
Manual_Affiliation_Check,event,other,False,True,False,2,0
Manually-Checked_Affiliation_Action,event,other,False,True,False,4,0
Match_Target_Customer_To_Offering,event,other,False,True,False,2,0
Meal_Delivery,event,other,False,True,False,4,0
Meal_Preparation,event,other,False,True,False,6,0
Offering_Creation,event,other,False,True,False,5,0
Offline_Action,event,other,True,False,False,0,5
Offline_Good_Transfer,event,other,False,True,False,3,0
Offline_Payment,event,other,False,True,False,5,0
Offline_Service_Delivery,event,other,False,True,False,2,0
Outer-Platform_Delivery,event,other,False,False,True,1,1
Ownership_Transfer,event,other,False,False,True,1,2
Payment_Action,event,other,False,False,True,2,5
Peer_Action,event,other,False,True,False,2,0
Physical_Delivery,event,other,False,True,False,2,0
Platform_Company_Action,event,other,False,False,True,1,2
Platform_Software_Action,event,other,False,False,True,1,2
Platform_Supported_Action,event,other,True,False,False,0,39
Platform_Supported_Interaction,event,other,True,False,False,0,5
Price_Acceptance,event,other,False,True,False,2,0
Price_Offer_Creation,event,other,False,True,False,2,0
Price_Proposal,event,other,False,True,False,2,0
Product-Oriented_Delivery,event,other,False,False,True,1,3
Registration_Action,event,other,False,False,True,4,1
Rent_Home,event,other,False,True,False,6,0
Request_Quote,event,other,False,True,False,2,0
Result-Oriented_Delivery,event,other,False,False,True,2,4
Review_Creation,event,other,False,False,True,2,2
Review_Creation_by_Customer,event,other,False,True,False,3,0
Review_Creation_by_Provider,event,other,False,True,False,3,0
Send_Message,event,other,False,True,False,2,0
Service_Delivery,event,other,False,False,True,1,6
Subscription_Action,event,other,False,True,False,3,0
Subscription_Payment,event,other,False,True,False,3,0
Transaction_Creation,event,other,False,False,True,3,3
Transaction_Payment,event,other,False,False,True,3,3
User-Oriented_Delivery,event,other,False,False,True,4,2
User_Action,event,other,False,False,True,1,33
User_Affiliation_Action,event,other,False,False,True,2,6
User_Payment_Action,event,other,False,True,False,2,0
User_Role_Action,event,other,False,True,False,2,0
