taxonomy_name,dataset_name,num_classes
derave2019dpo_tx001.ttl,derave2019dpo,53
derave2019dpo_tx002.ttl,derave2019dpo,3
derave2019dpo_tx003.ttl,derave2019dpo,2
derave2019dpo_tx004.ttl,derave2019dpo,7
derave2019dpo_tx005.ttl,derave2019dpo,58
derave2019dpo_tx006.ttl,derave2019dpo,3
derave2019dpo_tx007.ttl,derave2019dpo,2
derave2019dpo_tx008.ttl,derave2019dpo,2
derave2019dpo_tx009.ttl,derave2019dpo,4
derave2019dpo_tx010.ttl,derave2019dpo,2
derave2019dpo_tx011.ttl,derave2019dpo,16
derave2019dpo_tx012.ttl,derave2019dpo,5
derave2019dpo_tx013.ttl,derave2019dpo,2
derave2019dpo_tx014.ttl,derave2019dpo,3
derave2019dpo_tx015.ttl,derave2019dpo,2
derave2019dpo_tx016.ttl,derave2019dpo,3
derave2019dpo_tx017.ttl,derave2019dpo,3
derave2019dpo_tx018.ttl,derave2019dpo,3
derave2019dpo_tx019.ttl,derave2019dpo,5
derave2019dpo_tx020.ttl,derave2019dpo,12
derave2019dpo_tx021.ttl,derave2019dpo,10
derave2019dpo_tx022.ttl,derave2019dpo,13
derave2019dpo_tx023.ttl,derave2019dpo,3
