execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.550000160932541e-05,1.3599987141788006e-05,1.8200022168457508e-05,9.029998909682035e-05,1.3900105841457844e-05,9.390001650899649e-05,1.3899989426136017e-05,1.4299992471933365e-05,1.5300000086426735e-05,5.1299924962222576e-05,1.2300093658268452e-05,0.004614699981175363,8.199946023523808e-06,7.5999414548277855e-06,1.379998866468668e-05,0.004996799980290234
2,1.6600126400589943e-05,1.470011193305254e-05,1.640012487769127e-05,0.1484222001163289,2.1099927835166454e-05,1.919991336762905e-05,8.949998300522566e-05,0.0021772999316453934,1.6600009985268116e-05,4.789989907294512e-05,1.2800097465515137e-05,0.06250330002512783,8.70006624609232e-06,7.400056347250938e-06,1.2999982573091984e-05,0.21338670037221164
3,1.5399884432554245e-05,1.3699987903237343e-05,1.5400000847876072e-05,0.13625850004609674,1.6200006939470768e-05,1.780001912266016e-05,0.00578580005094409,0.0016636000946164131,1.5300116501748562e-05,4.650000482797623e-05,1.2399978004395962e-05,0.05228740000165999,8.09994526207447e-06,7.2999391704797745e-06,1.279998105019331e-05,0.1961762000573799
4,1.5800120308995247e-05,1.3999990187585354e-05,1.6299891285598278e-05,0.09580200002528727,1.7400016076862812e-05,1.810002140700817e-05,0.005822999984957278,0.001336099929176271,1.580000389367342e-05,4.610000178217888e-05,1.5900004655122757e-05,0.04281270003411919,8.699949830770493e-06,1.0599964298307896e-05,1.3199984095990658e-05,0.1459656999213621
5,1.6200006939470768e-05,8.999998681247234e-05,1.5399884432554245e-05,1.4099990949034691e-05,8.510006591677666e-05,1.6200006939470768e-05,8.459994569420815e-05,1.470011193305254e-05,1.379998866468668e-05,4.6900007873773575e-05,1.2299977242946625e-05,6.9999368861317635e-06,0.002348099951632321,0.002127499901689589,1.3999990187585354e-05,0.004905899753794074
6,1.5600002370774746e-05,9.489990770816803e-05,1.5500118024647236e-05,1.3600103557109833e-05,8.730008266866207e-05,1.800013706088066e-05,8.540006820112467e-05,1.4599994756281376e-05,1.3999990187585354e-05,4.369998350739479e-05,1.2299977242946625e-05,7.200054824352264e-06,0.0021509999642148614,0.0020209000213071704,1.4399993233382702e-05,0.004608400398865342
7,1.5499885194003582e-05,8.929998148232698e-05,1.5099882148206234e-05,1.3499986380338669e-05,8.770008571445942e-05,1.5900004655122757e-05,8.44000605866313e-05,1.3899989426136017e-05,1.3499986380338669e-05,4.329998046159744e-05,1.5300000086426735e-05,6.900052540004253e-06,0.0023597999243065715,0.0021240999922156334,1.4100107364356518e-05,0.0049122999189421535
8,1.489988062530756e-05,0.00013479997869580984,2.6499968953430653e-05,1.910002902150154e-05,8.79000872373581e-05,1.5800120308995247e-05,8.150003850460052e-05,1.3899989426136017e-05,1.309998333454132e-05,4.3899985030293465e-05,1.1800089851021767e-05,7.4999406933784485e-06,0.00216599996201694,0.00202369992621243,1.379998866468668e-05,0.004674199968576431
9,1.5400000847876072e-05,8.979998528957367e-05,1.5099882148206234e-05,1.3799872249364853e-05,8.68999632075429e-05,1.889991108328104e-05,8.619995787739754e-05,1.3999873772263527e-05,1.3599987141788006e-05,4.6900007873773575e-05,1.2200092896819115e-05,6.900052540004253e-06,0.00266100000590086,0.0025394000113010406,1.4299992471933365e-05,0.005634399596601725
10,1.5399884432554245e-05,9.109999518841505e-05,1.5099882148206234e-05,1.3599987141788006e-05,9.42000187933445e-05,1.5799887478351593e-05,8.439994417130947e-05,1.3900105841457844e-05,1.309998333454132e-05,4.449987318366766e-05,1.550000160932541e-05,6.9999368861317635e-06,0.002665800042450428,0.0024253000738099217,1.379998866468668e-05,0.0055284996051341295
