execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,9.499955922365189e-06,9.370001498609781e-05,9.299954399466515e-06,5.799927748739719e-06,0.0020551999332383275,6.900052540004253e-06,5.00003807246685e-06,9.999959729611874e-06,9.800074622035027e-06,8.579995483160019e-05,0.011356799979694188,0.04320670000743121,0.0016093000303953886,1.2599979527294636e-05,0.0020767999812960625,0.06055319984443486
2,1.3500102795660496e-05,1.0400079190731049e-05,1.0400079190731049e-05,8.999952115118504e-06,0.00031560007482767105,6.600050255656242e-06,4.900037311017513e-06,9.400071576237679e-06,1.3100099749863148e-05,0.005168000119738281,8.169992361217737e-05,7.729989010840654e-05,0.00018200010526925325,1.4299992471933365e-05,1.00000761449337e-05,0.005926200654357672
3,1.2299977242946625e-05,1.0300078429281712e-05,1.2299977242946625e-05,5.700043402612209e-06,0.0003342999843880534,6.400048732757568e-06,4.599918611347675e-06,8.999952115118504e-06,1.2699863873422146e-05,0.005015500006265938,7.920002099126577e-05,7.82000133767724e-05,0.0001775999553501606,1.6099889762699604e-05,9.599956683814526e-06,0.005783799686469138
4,1.0099844075739384e-05,9.900075383484364e-06,9.19983722269535e-06,5.600042641162872e-06,0.00031560007482767105,6.700051017105579e-06,4.599918611347675e-06,1.1800089851021767e-05,9.70007386058569e-06,0.00747040007263422,8.41999426484108e-05,9.720004163682461e-05,0.00027110008522868156,1.3100099749863148e-05,1.2800097465515137e-05,0.008332000346854329
5,2.3900065571069717e-05,9.63001511991024e-05,1.9700033590197563e-05,1.1899974197149277e-05,0.010929000098258257,1.4999997802078724e-05,1.2699863873422146e-05,2.989999484270811e-05,2.080004196614027e-05,0.003501200000755489,0.021603000001050532,0.058834899798966944,0.0030774999177083373,2.9699993319809437e-05,0.003074799897149205,0.10128029983025044
6,1.0699965059757233e-05,1.0400079190731049e-05,9.70007386058569e-06,6.00004568696022e-06,0.0011458999942988157,6.8999361246824265e-06,4.900037311017513e-06,9.70007386058569e-06,1.0499963536858559e-05,0.004731300054118037,0.0026576999807730317,0.012805999955162406,0.0008483999408781528,1.3699987903237343e-05,1.1499854736030102e-05,0.02228329994250089
7,1.0500079952180386e-05,1.0299962013959885e-05,9.199953638017178e-06,5.700043402612209e-06,0.00031649996526539326,6.4999330788850784e-06,4.700035788118839e-06,9.199953638017178e-06,1.0400079190731049e-05,0.007451200042851269,0.0001056998735293746,7.800001185387373e-05,0.00027920003049075603,1.3200100511312485e-05,1.300009898841381e-05,0.008323300164192915
8,1.0300078429281712e-05,1.2800097465515137e-05,9.199953638017178e-06,5.800044164061546e-06,0.00025670009199529886,6.4999330788850784e-06,4.600035026669502e-06,9.19983722269535e-06,9.899958968162537e-06,0.00490399997215718,7.979990914463997e-05,8.910009637475014e-05,0.00017580005805939436,1.6300124116241932e-05,9.70007386058569e-06,0.005599700263701379
9,1.019984483718872e-05,9.800074622035027e-06,9.19983722269535e-06,5.699926987290382e-06,0.0003120000474154949,6.299931555986404e-06,4.500034265220165e-06,9.900075383484364e-06,9.900075383484364e-06,0.006973100011236966,7.770000956952572e-05,7.68998870626092e-05,0.00022309995256364346,1.2800097465515137e-05,9.699957445263863e-06,0.007750799763016403
10,2.00001522898674e-05,9.650015272200108e-05,1.8299906514585018e-05,1.4299992471933365e-05,0.008429899928160012,1.7000013031065464e-05,9.499955922365189e-06,1.850002445280552e-05,1.9999919459223747e-05,0.0035811000270769,0.010619100066833198,0.03883059986401349,0.001717899926006794,2.8799870051443577e-05,0.0019770999206230044,0.06539859971962869
