execution,ar_r_sub,k_s_sup,ks_sf_in,n_r_t,nk_k_sup,nrs_ns_r,ns_s_spe,ns_s_sup,ns_sub_r,r_ar_sup,s_k_sub,s_ns_sub,s_nsup_k,sub_r_r,t_k_sup,total_time
1,1.0500196367502213e-05,1.0500196367502213e-05,1.3200100511312485e-05,6.1998143792152405e-06,0.00035879993811249733,7.0999376475811005e-06,5.09992241859436e-06,9.300187230110168e-06,2.0996667444705963e-06,0.007393500301986933,7.899990305304527e-05,7.689977064728737e-05,0.000268399715423584,1.4299992471933365e-05,1.0400079190731049e-05,0.0082652997225523
2,1.0299962013959885e-05,1.039961352944374e-05,1.00000761449337e-05,6.00004568696022e-06,0.00035450002178549767,6.90016895532608e-06,5.200039595365524e-06,9.200535714626312e-06,1.9995495676994324e-06,0.0074756997637450695,7.819989696145058e-05,7.54999928176403e-05,0.0002747001126408577,1.4600344002246857e-05,1.0099261999130249e-05,0.008343299385160208
3,1.090019941329956e-05,1.0400079190731049e-05,1.0100193321704865e-05,6.00004568696022e-06,0.00035460013896226883,6.800051778554916e-06,5.1995739340782166e-06,9.29972156882286e-06,1.80024653673172e-06,0.007452499587088823,7.990002632141113e-05,8.720019832253456e-05,0.00027139997109770775,1.4199875295162201e-05,1.0099727660417557e-05,0.008330399636179209
4,1.0400079190731049e-05,1.0200310498476028e-05,9.599607437849045e-06,6.00004568696022e-06,0.0003490997478365898,6.800051778554916e-06,4.599802196025848e-06,8.90018418431282e-06,1.600012183189392e-06,0.007227099966257811,7.75996595621109e-05,7.780035957694054e-05,0.00026670005172491074,1.4199875295162201e-05,9.799841791391373e-06,0.008080399595201015
5,1.0400079190731049e-05,1.0699499398469925e-05,9.999610483646393e-06,6.0996972024440765e-06,0.0002557998523116112,6.500165909528732e-06,4.90015372633934e-06,9.400304406881332e-06,1.80024653673172e-06,0.0046617998741567135,7.959967479109764e-05,7.609976455569267e-05,0.00017490005120635033,1.4100223779678345e-05,9.900424629449844e-06,0.005331999622285366
6,1.0400079190731049e-05,1.0499730706214905e-05,1.0099727660417557e-05,6.1998143792152405e-06,0.0031506000086665154,7.0999376475811005e-06,4.800036549568176e-06,9.29972156882286e-06,1.7997808754444122e-06,0.002265600021928549,0.00881240051239729,0.03727319976314902,0.0023646000772714615,1.3799872249364853e-05,1.1200085282325745e-05,0.053951599169522524
7,1.1899974197149277e-05,1.0800082236528397e-05,1.0200310498476028e-05,6.0996972024440765e-06,0.000959599856287241,7.4999406933784485e-06,4.699919372797012e-06,9.400304406881332e-06,2.50060111284256e-06,0.002277200110256672,0.002170899882912636,0.008047800045460463,0.0007308004423975945,1.619989052414894e-05,1.2499745935201645e-05,0.014278100803494453
8,1.0400544852018356e-05,1.0400079190731049e-05,9.80030745267868e-06,6.1998143792152405e-06,0.00035299966111779213,6.600283086299896e-06,4.599802196025848e-06,8.800067007541656e-06,1.7997808754444122e-06,0.007353899534791708,7.880013436079025e-05,7.469998672604561e-05,0.00026950007304549217,1.4100223779678345e-05,1.0299962013959885e-05,0.008212900254875422
9,1.0499730706214905e-05,1.0400079190731049e-05,9.700190275907516e-06,6.299931555986404e-06,0.0003945999778807163,6.9998204708099365e-06,5.400273948907852e-06,8.999835699796677e-06,2.00001522898674e-06,0.008311900310218334,7.929978892207146e-05,7.830001413822174e-05,0.00031219981610774994,1.5199650079011917e-05,1.0299962013959885e-05,0.009262099396437407
10,1.1400319635868073e-05,1.0999850928783417e-05,1.019984483718872e-05,6.1998143792152405e-06,0.000404400285333395,7.000286132097244e-06,8.599832653999329e-06,9.199604392051697e-06,2.299901098012924e-06,0.008495300076901913,8.309958502650261e-05,8.030002936720848e-05,0.00031669996678829193,1.569977030158043e-05,1.0299962013959885e-05,0.009471699129790068
11,1.039961352944374e-05,1.0499730706214905e-05,9.899958968162537e-06,6.00004568696022e-06,0.0019092001020908356,7.0999376475811005e-06,4.600267857313156e-06,9.600073099136353e-06,1.8998980522155762e-06,0.005004699807614088,0.00391770014539361,0.019660599995404482,0.001474900171160698,1.4099758118391037e-05,1.090019941329956e-05,0.03205209970474243
12,9.600073099136353e-06,1.0699965059757233e-05,9.600073099136353e-06,6.00004568696022e-06,0.003285100217908621,6.90016895532608e-06,4.699919372797012e-06,9.499955922365189e-06,2.200249582529068e-06,8.029956370592117e-05,0.019696599803864956,0.05650840001180768,0.002538600005209446,1.3699755072593689e-05,1.1600088328123093e-05,0.08219349989667535
