execution,k_s_sup,s_k_sub,t_k_sup,ns_s_sup,s_ns_sub,r_ar_sup,ar_r_sub,ns_sub_r,ks_sf_in,sub_r_r,n_r_t,ns_s_spe,nk_k_sup,s_nsup_k,nrs_ns_r,total_time
1,1.0499847121536732e-05,7.780001033097506e-05,9.70007386058569e-06,9.00006853044033e-06,7.309997454285622e-05,0.008576599997468293,1.0499847121536732e-05,1.700012944638729e-06,9.500072337687016e-06,1.6099889762699604e-05,6.299931555986404e-06,4.800036549568176e-06,0.0003502999898046255,0.00026249990332871675,6.900052540004253e-06,0.00942529970780015
2,1.0699965059757233e-05,0.0036944999592378736,1.0999967344105244e-05,9.500072337687016e-06,0.016544600133784115,0.006531100021675229,1.0200077667832375e-05,2.00001522898674e-06,9.999843314290047e-06,1.570011954754591e-05,5.999929271638393e-06,4.700035788118839e-06,0.001695500104688108,0.0013185000279918313,1.3299984857439995e-05,0.02987730025779456
3,1.0599964298307896e-05,0.016668800148181617,1.1100084520876408e-05,9.899958968162537e-06,0.05606059997808188,8.079991675913334e-05,1.0100076906383038e-05,1.800013706088066e-06,1.009996049106121e-05,1.4200108125805855e-05,6.199930794537067e-06,4.700035788118839e-06,0.0033584999619051814,0.002470300067216158,6.800051778554916e-06,0.07872450025752187
4,1.0300078429281712e-05,0.001039199996739626,1.8200022168457508e-05,9.399955160915852e-06,0.004260400077328086,0.006899500032886863,1.109996810555458e-05,1.9000144675374031e-06,1.0100076906383038e-05,1.7300015315413475e-05,6.300047971308231e-06,4.999921657145023e-06,0.0006333000492304564,0.0004775999113917351,7.200054824352264e-06,0.013406800222583115
5,1.0800082236528397e-05,0.011904899962246418,1.1499971151351929e-05,9.7999582067132e-06,0.042624000110663474,0.0022505999077111483,1.0799849405884743e-05,1.800013706088066e-06,1.00000761449337e-05,1.4999997802078724e-05,6.800051778554916e-06,5.100038833916187e-06,0.0029832000145688653,0.002216299995779991,7.2999391704797745e-06,0.062067899969406426
6,1.0600080713629723e-05,0.007941300049424171,1.1100084520876408e-05,9.599956683814526e-06,0.02998279989697039,0.004453200032003224,1.170008908957243e-05,1.7998972907662392e-06,9.999959729611874e-06,1.7900019884109497e-05,6.199930794537067e-06,5.00003807246685e-06,0.0026977999368682504,0.0019417000003159046,7.2999391704797745e-06,0.047107999911531806
7,1.0499963536858559e-05,7.589999586343765e-05,1.009996049106121e-05,9.199953638017178e-06,7.700000423938036e-05,0.008617599960416555,1.0699965059757233e-05,2.00001522898674e-06,9.499955922365189e-06,1.5400000847876072e-05,6.100046448409557e-06,4.800036549568176e-06,0.0003599999472498894,0.0002652000403031707,7.00005330145359e-06,0.009480999899096787
8,1.3199984095990658e-05,7.659988477826118e-05,1.0200077667832375e-05,9.00006853044033e-06,7.22998520359397e-05,0.0022286000894382596,9.999843314290047e-06,1.600012183189392e-06,9.500072337687016e-06,1.4399993233382702e-05,5.800044164061546e-06,4.800036549568176e-06,0.00018750003073364496,0.00012670003343373537,6.700051017105579e-06,0.0027769000735133886
9,1.0400079190731049e-05,7.609999738633633e-05,9.7999582067132e-06,8.900067768990993e-06,7.580011151731014e-05,0.002285099937580526,1.0100076906383038e-05,1.600012183189392e-06,9.599956683814526e-06,1.4500110410153866e-05,6.00004568696022e-06,4.700035788118839e-06,0.00019400008022785187,0.00012040010187774897,6.5999338403344154e-06,0.0028336005052551627
10,1.0500079952180386e-05,0.0009405999444425106,1.0499847121536732e-05,9.200070053339005e-06,0.004004399990662932,0.00869709998369217,1.0299962013959885e-05,1.700012944638729e-06,9.399955160915852e-06,1.5400000847876072e-05,6.299931555986404e-06,4.700035788118839e-06,0.0007584000704810023,0.0005782999796792865,7.0999376475811005e-06,0.015063899802044034
11,1.0500079952180386e-05,7.660000119358301e-05,9.7999582067132e-06,8.79995059221983e-06,7.319997530430555e-05,0.008721499936655164,1.0100076906383038e-05,1.5998957678675652e-06,9.699841029942036e-06,1.5200115740299225e-05,6.100046448409557e-06,4.799920134246349e-06,0.0003654999891296029,0.00026380002964287996,6.9999368861317635e-06,0.009584199753589928
12,1.009996049106121e-05,7.889990229159594e-05,9.600073099136353e-06,9.00006853044033e-06,7.449998520314693e-05,0.010893500060774386,1.0300078429281712e-05,1.700012944638729e-06,9.500072337687016e-06,1.4999997802078724e-05,5.899928510189056e-06,4.700035788118839e-06,0.0004164999118074775,0.00032460002694278955,6.700051017105579e-06,0.011870500165969133
13,1.0399962775409222e-05,7.680000271648169e-05,1.009996049106121e-05,8.599949069321156e-06,7.700000423938036e-05,0.00437349989078939,1.0199961252510548e-05,1.9000144675374031e-06,9.7999582067132e-06,1.479999627918005e-05,6.100046448409557e-06,4.899920895695686e-06,0.0002489000326022506,0.00016930000856518745,6.900052540004253e-06,0.005029199761338532
