class_name,class_original_classification,classification_final_list
Agent,category,can
Airbnb_Home_Renter,rolemixin,can
Airbnb_Home_Seeker,rolemixin,can
Airbnb_Homeowner,rolemixin,is
B2B_Platform_Customer,role,can
B2B_Platform_Provider,role,can
B2C_Platform_Customer,role,can
B2C_Platform_Provider,role,can
C2C_Platform_Customer,role,is
C2C_Platform_Provider,role,can
Capital-Giving_Agent,rolemixin,can
Capital-Seeking_Agent,rolemixin,is
Centralized_Platform_Customer,rolemixin,can
Centralized_Target_Platform_Customer,rolemixin,can
Content_Consumer,rolemixin,is
Content_Creator,rolemixin,can
Decentralized_Platform_Customer,rolemixin,can
Decentralized_Target_Platform_Customer,rolemixin,can
Immediate_Access_Customer,rolemixin,can
Logged_In_User,rolemixin,is
MS_Platform_User,rolemixin,is
Marketplace_Company,rolemixin,can
Non-Peer_User,rolemixin,can
Offering_Creator,rolemixin,can
One-Sided_Platform_User,rolemixin,is
Organization,kind,is
Payment_Provider,subkind,can
Peer_Consumer,rolemixin,can
Peer_Creator,rolemixin,can
Peer_User,rolemixin,is
Person,kind,not
Platform_Company,rolemixin,can
Platform_Customer,rolemixin,can
Platform_Customer_of_Offline_Physical_Good,rolemixin,can
Platform_Provider,rolemixin,is
Platform_Service_Provider,rolemixin,is
Platform_User,rolemixin,is
Platform_Visitor,rolemixin,is
Private_Airbnb_Homeowner,role,is
Private_Customer,subkind,can
Registered_User,rolemixin,can
SafaRide_Customer,rolemixin,is
SafaRide_Trip_Provider,rolemixin,is
Subscribed_Platform_User,rolemixin,is
Target_Platform_Customer,rolemixin,is
Target_Platform_User,rolemixin,can
Transaction_Platform_Company,rolemixin,is
Uber_Eats_Customer,role,can
Uber_Eats_Restaurant,role,is
Uber_Eats_Rider,rolemixin,is
Worker,rolemixin,can
immediate_Access_Provider,rolemixin,can
jobDropper,rolemixin,is
